aggregation,seed,test_fold,channel,tp_opportunities,lost_tp,tp_preservation
SEED_ALL_FOLDS,17,ALL,positive_pair,128713,1198,0.9906924708459907
SEED_ALL_FOLDS,17,ALL,unpaired,131910,1707,0.9870593586536275
SEED_FOLD,17,0,positive_pair,27471,324,0.9882057442393797
SEED_FOLD,17,0,unpaired,27990,499,0.9821722043586996
SEED_FOLD,17,1,positive_pair,21742,127,0.9941587710422224
SEED_FOLD,17,1,unpaired,21930,31,0.9985864113087095
SEED_FOLD,17,2,positive_pair,29728,404,0.9864101184068891
SEED_FOLD,17,2,unpaired,31350,720,0.9770334928229665
SEED_FOLD,17,3,positive_pair,24497,112,0.9954280115932563
SEED_FOLD,17,3,unpaired,25020,399,0.984052757793765
SEED_FOLD,17,4,positive_pair,25275,231,0.990860534124629
SEED_FOLD,17,4,unpaired,25620,58,0.997736143637783
SEED_ALL_FOLDS,29,ALL,positive_pair,128713,1110,0.9913761624699914
SEED_ALL_FOLDS,29,ALL,unpaired,131910,1287,0.9902433477370934
SEED_FOLD,29,0,positive_pair,27471,350,0.9872592916166139
SEED_FOLD,29,0,unpaired,27990,548,0.9804215791354055
SEED_FOLD,29,1,positive_pair,21742,59,0.9972863582007175
SEED_FOLD,29,1,unpaired,21930,30,0.9986320109439124
SEED_FOLD,29,2,positive_pair,29728,276,0.9907158234660925
SEED_FOLD,29,2,unpaired,31350,398,0.987304625199362
SEED_FOLD,29,3,positive_pair,24497,236,0.9903661672857901
SEED_FOLD,29,3,unpaired,25020,253,0.9898880895283773
SEED_FOLD,29,4,positive_pair,25275,189,0.9925222551928783
SEED_FOLD,29,4,unpaired,25620,58,0.997736143637783
SEED_ALL_FOLDS,41,ALL,positive_pair,128713,1397,0.9891463954689892
SEED_ALL_FOLDS,41,ALL,unpaired,131910,1442,0.9890683041467667
SEED_FOLD,41,0,positive_pair,27471,265,0.990353463652579
SEED_FOLD,41,0,unpaired,27990,517,0.9815291175419792
SEED_FOLD,41,1,positive_pair,21742,88,0.9959525342654769
SEED_FOLD,41,1,unpaired,21930,34,0.9984496124031008
SEED_FOLD,41,2,positive_pair,29728,579,0.9805234122712594
SEED_FOLD,41,2,unpaired,31350,415,0.986762360446571
SEED_FOLD,41,3,positive_pair,24497,222,0.990937665836633
SEED_FOLD,41,3,unpaired,25020,273,0.9890887290167866
SEED_FOLD,41,4,positive_pair,25275,243,0.9903857566765578
SEED_FOLD,41,4,unpaired,25620,203,0.9920765027322405
SEED_ALL_FOLDS,53,ALL,positive_pair,128713,1222,0.9905060094939905
SEED_ALL_FOLDS,53,ALL,unpaired,131910,1524,0.988446668182852
SEED_FOLD,53,0,positive_pair,27471,266,0.9903170616286265
SEED_FOLD,53,0,unpaired,27990,489,0.982529474812433
SEED_FOLD,53,1,positive_pair,21742,91,0.9958145524790728
SEED_FOLD,53,1,unpaired,21930,25,0.998860009119927
SEED_FOLD,53,2,positive_pair,29728,543,0.9817343918191603
SEED_FOLD,53,2,unpaired,31350,513,0.9836363636363636
SEED_FOLD,53,3,positive_pair,24497,149,0.9939176225660284
SEED_FOLD,53,3,unpaired,25020,308,0.9876898481215028
SEED_FOLD,53,4,positive_pair,25275,173,0.9931552917903066
SEED_FOLD,53,4,unpaired,25620,189,0.9926229508196721
SEED_ALL_FOLDS,67,ALL,positive_pair,128713,1349,0.9895193181729895
SEED_ALL_FOLDS,67,ALL,unpaired,131910,1209,0.9908346599954514
SEED_FOLD,67,0,positive_pair,27471,395,0.9856212005387499
SEED_FOLD,67,0,unpaired,27990,337,0.9879599857091819
SEED_FOLD,67,1,positive_pair,21742,34,0.9984362064207525
SEED_FOLD,67,1,unpaired,21930,30,0.9986320109439124
SEED_FOLD,67,2,positive_pair,29728,389,0.9869146932185145
SEED_FOLD,67,2,unpaired,31350,478,0.9847527910685805
SEED_FOLD,67,3,positive_pair,24497,291,0.9881209944074785
SEED_FOLD,67,3,unpaired,25020,257,0.9897282174260591
SEED_FOLD,67,4,positive_pair,25275,240,0.9905044510385757
SEED_FOLD,67,4,unpaired,25620,107,0.995823575331772
FOLD_ALL_SEEDS,ALL,0,positive_pair,137355,1600,0.9883513523351899
FOLD_ALL_SEEDS,ALL,0,unpaired,139950,2390,0.9829224723115398
FOLD_ALL_SEEDS,ALL,1,positive_pair,108710,399,0.9963296844816484
FOLD_ALL_SEEDS,ALL,1,unpaired,109650,150,0.9986320109439124
FOLD_ALL_SEEDS,ALL,2,positive_pair,148640,2191,0.9852596878363832
FOLD_ALL_SEEDS,ALL,2,unpaired,156750,2524,0.9838979266347687
FOLD_ALL_SEEDS,ALL,3,positive_pair,122485,1010,0.9917540923378373
FOLD_ALL_SEEDS,ALL,3,unpaired,125100,1490,0.9880895283772981
FOLD_ALL_SEEDS,ALL,4,positive_pair,126375,1076,0.9914856577645895
FOLD_ALL_SEEDS,ALL,4,unpaired,128100,615,0.9951990632318501
