epoch,train_weighted_binary_log_loss,validation_unweighted_binary_log_loss,validation_auprc
0,0.28719985236057993,0.2959565702645239,0.8300862417231676
1,0.07177431379496252,0.4166494911187869,0.8390569735050215
2,0.036016242872355476,0.5416084777762937,0.8296709990027576
3,0.02476960992671677,0.6098483371872349,0.8208073683241683
4,0.01619938437109124,0.6916603659023991,0.8263077999255265
5,0.01649162525672908,0.72110145315761,0.8153604711746223
6,0.013995602636438897,0.8124343945594238,0.8182768098800167
7,0.008912229789460288,0.8999784734069527,0.8203014269207576
8,0.011599998837794926,1.0384858151890537,0.8022653703325406
9,0.008680404261720606,0.9292051964243087,0.829677801696608
10,0.012603445942858322,1.0720242089729455,0.8021229105821321
11,0.006846508122481507,1.0830257198107984,0.8092068370670304
12,0.007425004542571383,1.2755912724178764,0.7870713347507776
