metric,ern_mean,ern_population_sd,ern_min,ern_max,ern_n,b4_mean,b4_population_sd,b4_min,b4_max,b4_n,difference_mean,difference_population_sd,difference_min,difference_max,difference_n
event_auprc,0.8114055445908711,0.007118625692556548,0.80080966600006,0.8180268063680379,5,0.7717258528667821,0.00686506031358794,0.7608063720109697,0.7811515600492851,5,0.03967969172408912,0.004290115755359265,0.03264157067127882,0.04420279647848746,5
event_auroc,0.9302540148563642,0.0009286262804280279,0.9290885354022583,0.9314789166050802,5,0.9156767763456388,0.0011530838948181504,0.9139773239429317,0.917558278577401,5,0.014577238510725298,0.0007024877652989635,0.013573434112834293,0.015374063423084339,5
event_brier,0.061184129998866396,0.0013574872454988932,0.059676632558688346,0.06336122598865565,5,0.06780975560386931,0.001194352228696328,0.06621279679085268,0.06931890003223125,5,-0.006625625605002919,0.0004735204752052524,-0.007181120580282606,-0.005957674043575598,5
event_ece,0.018252464510640172,0.0019432055085697223,0.015625821509762997,0.020292420627760235,5,0.024126508141594234,0.0028412261301784337,0.020466892711177475,0.028047594577244105,5,-0.005874043630954063,0.002993929587223998,-0.009889056488664172,-0.0011734052624366755,5
rna_auprc,0.8971936060269069,0.0028262099512422964,0.8923634984872479,0.9009018611659158,5,0.8843024498451634,0.0016855730270979668,0.8819626506185936,0.8864079320676959,5,0.012891156181743501,0.004053219094291075,0.006715918868300252,0.01893921054732217,5
rna_auroc,0.9379629591150763,0.001174864033806428,0.9358494870849994,0.9389244332670601,5,0.9219390900378512,0.0007647603247387433,0.9213224564341809,0.9234375309429138,5,0.016023869077224993,0.0012356781576552472,0.014043364207708575,0.017532601801998893,5
rna_brier,0.05275618554353341,0.0012637298016854612,0.051563427799917995,0.054298854539618295,5,0.059538159151774184,0.0010567157610670889,0.05826108560862549,0.061087087941508994,5,-0.006781973608240781,0.0005008055763248409,-0.00748726104092446,-0.006117524610103044,5
rna_ece,0.08152479538601655,0.003014740851643522,0.07801672693550572,0.08595308756794381,5,0.09761887267050592,0.0031098119645700966,0.09299375917795821,0.1014680245694347,5,-0.0160940772844894,0.0013913179413311784,-0.0180617954757845,-0.014343624192320478,5
event_tp_preservation,0.9896824148290827,0.0007174807228739776,0.9888536314906973,0.9908028071198628,5,0.9918855972036237,0.0015525885462810377,0.9891145447638927,0.9934579833706157,5,-0.0022031823745410238,0.0013188193255827588,-0.003994275255829294,-7.673919799944251e-06,5
event_fp_removal,0.47553121577217955,0.01680946989955422,0.452414617146271,0.49923329682365825,5,0.3866215274320422,0.016255050571889154,0.3584387135318132,0.4036443293836503,5,0.08890968834013739,0.018846971547278466,0.058707557502738206,0.1091307378273424,5
event_modification_precision,0.8988375289913959,0.005151167096797132,0.8935228593931666,0.9055391432791728,5,0.9023495936437695,0.014158632586122537,0.8757227965656211,0.9134693463256192,5,-0.0035120646523737475,0.011931960178231745,-0.019056303683253617,0.017800062827545426,5
event_delta_f1,0.030235461867706825,0.0011251223014886894,0.029008573217232936,0.03165630225729876,5,0.02450921565520725,0.0008836831591111999,0.023148005705360353,0.02553893350966785,5,0.005726246212499575,0.0011130358302372256,0.003642018553410842,0.006987117761796724,5
rna_tp_preservation,0.9919357603393568,0.001449573604196335,0.9897701483446276,0.9936677882201717,5,0.9935697725302729,0.001844419842785925,0.9906858286587142,0.9960737434101692,5,-0.0016340121909162563,0.0009758958601776569,-0.0034432037448949293,-0.0008304388876889668,5
rna_fp_removal,0.6608056989362379,0.0066703414843159,0.6522207051531231,0.6699449866645839,5,0.6152360692883171,0.016370019666522448,0.5938875474749052,0.6333272156315704,5,0.045569629647920704,0.01647076826764685,0.024997405451135046,0.07269585848278526,5
rna_modification_precision,0.9442176409830768,0.007318953514381635,0.9359856670432581,0.957304058734733,5,0.9473884084201444,0.00487053880426533,0.94204747200672,0.9563346067430952,5,-0.0031707674370676565,0.008988819953995718,-0.017470728798261836,0.010250998379080944,5
rna_delta_f1,0.027921823088599685,0.0005295797520148558,0.027174100674289305,0.028587198753144166,5,0.024783882222172083,0.0007911246262576162,0.024075728305151436,0.02579108005550334,5,0.0031379408664276008,0.0007265891200697827,0.0023137494405964,0.004416279325914062,5
