condition,track,seed,evidence_item_count,fp_removed_per_evidence_item,delta_f1_per_evidence_item,rna_balanced_fp_removed_per_evidence_item,rna_balanced_fp_removed_per_evidence_item_defined_rnas,rna_balanced_delta_f1_per_evidence_item,rna_balanced_delta_f1_per_evidence_item_defined_rnas,zero_denominator_is_na
ERN,positive_pair,17,22080,0.535054347826087,1.4297659981262799e-06,0.6803143599058424,121,0.00020144699763075587,121,True
ERN,unpaired,17,24690,0.5368570271364925,1.2839129803059269e-06,0.4698944077955515,121,0.00017214839368864885,121,True
ERN,combined,17,46770,0.5360059867436391,6.768505934851136e-07,0.500377383978362,121,8.810546543631052e-05,121,True
ERN,positive_pair,29,22080,0.4885869565217391,1.297582474324513e-06,0.646712986939347,121,0.00021366595683292825,121,True
ERN,unpaired,29,24690,0.48319157553665454,1.1878832199592683e-06,0.44473085115305716,121,0.000169229851630876,121,True
ERN,combined,29,46770,0.4857387214026085,6.202388970971336e-07,0.47872854627525013,121,8.777165212428988e-05,121,True
ERN,positive_pair,41,22080,0.5329257246376812,1.3879564862952914e-06,0.6905579736533735,121,0.00018378880951741124,121,True
ERN,unpaired,41,24690,0.4883353584447145,1.1794854353700144e-06,0.4478005146176451,121,0.000166921125625094,121,True
ERN,combined,41,46770,0.5093863587769938,6.38485240714073e-07,0.48857825329468907,121,8.467575145314393e-05,121,True
ERN,positive_pair,53,22080,0.4943840579710145,1.2962629758801636e-06,0.6463917016969148,121,0.0002059361840860483,121,True
ERN,unpaired,53,24690,0.5,1.201693959908238e-06,0.4539578840905706,121,0.00017044981954386022,121,True
ERN,combined,53,46770,0.4973487278169767,6.237799878265205e-07,0.47827596519217175,121,8.622732400213861e-05,121,True
ERN,positive_pair,67,22080,0.5346920289855073,1.4020395289938618e-06,0.6924120640801192,121,0.00021587736775182642,121,True
ERN,unpaired,67,24690,0.5150263264479547,1.2947772408083177e-06,0.45453558539578215,121,0.0001699696288165818,121,True
ERN,combined,67,46770,0.5243104554201411,6.730016917930056e-07,0.4972806077555331,121,8.916807674938832e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,17,22080,0.4342844202898551,1.1570720313577302e-06,0.5584915120098678,121,0.00019965015156516325,121,True
B4_EVIDENCE_MASKED,unpaired,17,24690,0.43256379100850545,1.0328467541161382e-06,0.41522271153329865,121,0.00015295106032847693,121,True
B4_EVIDENCE_MASKED,combined,17,46770,0.4333760957878982,5.460537419214849e-07,0.43675724420099754,121,8.100422415591558e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,29,22080,0.41847826086956524,1.0982108661664017e-06,0.5497046482461406,121,0.0001925750565629824,121,True
B4_EVIDENCE_MASKED,unpaired,29,24690,0.4264884568651276,1.0698529279712985e-06,0.41129875191641857,121,0.0001552814069388771,121,True
B4_EVIDENCE_MASKED,combined,29,46770,0.4227068633739577,5.423680706397711e-07,0.4310769742782327,121,8.106375329044305e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,41,22080,0.4407155797101449,1.1119744024533162e-06,0.5686433164613246,121,0.00018137490127896952,121,True
B4_EVIDENCE_MASKED,unpaired,41,24690,0.4155528554070474,9.506401454097494e-07,0.39100148912644445,121,0.00014015481967906426,121,True
B4_EVIDENCE_MASKED,combined,41,46770,0.4274321146033782,5.132224296306138e-07,0.4244856733562161,121,7.60853042679888e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,53,22080,0.40484601449275365,1.0928648348234675e-06,0.5151341729250462,121,0.00019480984676305068,121,True
B4_EVIDENCE_MASKED,unpaired,53,24690,0.3669501822600243,8.997493267277628e-07,0.35742049754246047,121,0.00013720054867224745,121,True
B4_EVIDENCE_MASKED,combined,53,46770,0.3848407098567458,4.949327711216667e-07,0.3933399278234325,121,7.633116854384296e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,67,22080,0.41947463768115945,1.1169308918378835e-06,0.5519533197981885,121,0.00018453186898984266,121,True
B4_EVIDENCE_MASKED,unpaired,67,24690,0.39611178614823817,9.85089372117565e-07,0.3878112171291775,121,0.00014271816645036725,121,True
B4_EVIDENCE_MASKED,combined,67,46770,0.407141329912337,5.236085388788144e-07,0.41482541917106763,121,7.554758945236509e-05,121,True
