condition,track,metric,mean,population_sd,min,max,n
ERN,positive_pair,evidence_item_count,22080.0,0.0,22080.0,22080.0,5
ERN,positive_pair,fp_removed_per_evidence_item,0.5171286231884057,0.021029955892571933,0.4885869565217391,0.535054347826087,5
ERN,positive_pair,delta_f1_per_evidence_item,1.3627214927240219e-06,5.538502461934781e-08,1.2962629758801636e-06,1.4297659981262799e-06,5
ERN,positive_pair,rna_balanced_fp_removed_per_evidence_item,0.6712778172551193,0.02060480312305115,0.6463917016969148,0.6924120640801192,5
ERN,positive_pair,rna_balanced_delta_f1_per_evidence_item,0.00020414306316379402,1.1429427820323323e-05,0.00018378880951741124,0.00021587736775182642,5
ERN,unpaired,evidence_item_count,24690.0,0.0,24690.0,24690.0,5
ERN,unpaired,fp_removed_per_evidence_item,0.5046820575131632,0.019458723589336945,0.48319157553665454,0.5368570271364925,5
ERN,unpaired,delta_f1_per_evidence_item,1.2295505672703532e-06,4.9453951772828965e-08,1.1794854353700144e-06,1.2947772408083177e-06,5
ERN,unpaired,rna_balanced_fp_removed_per_evidence_item,0.45418384861052125,0.008684498401544586,0.44473085115305716,0.4698944077955515,5
ERN,unpaired,rna_balanced_delta_f1_per_evidence_item,0.00016974376386101215,1.706643876416356e-06,0.000166921125625094,0.00017214839368864885,5
ERN,combined,evidence_item_count,46770.0,0.0,46770.0,46770.0,5
ERN,combined,fp_removed_per_evidence_item,0.5105580500320718,0.018047627346720455,0.4857387214026085,0.5360059867436391,5
ERN,combined,delta_f1_per_evidence_item,6.464712821831693e-07,2.4056495648678417e-08,6.202388970971336e-07,6.768505934851136e-07,5
ERN,combined,rna_balanced_fp_removed_per_evidence_item,0.48864815129920125,0.00914417735953808,0.47827596519217175,0.500377383978362,5
ERN,combined,rna_balanced_delta_f1_per_evidence_item,8.718965395305425e-05,1.570819787163674e-06,8.467575145314393e-05,8.916807674938832e-05,5
B4_EVIDENCE_MASKED,positive_pair,evidence_item_count,22080.0,0.0,22080.0,22080.0,5
B4_EVIDENCE_MASKED,positive_pair,fp_removed_per_evidence_item,0.42355978260869565,0.012665343397947936,0.40484601449275365,0.4407155797101449,5
B4_EVIDENCE_MASKED,positive_pair,delta_f1_per_evidence_item,1.1154106053277598e-06,2.2600601651145762e-08,1.0928648348234675e-06,1.1570720313577302e-06,5
B4_EVIDENCE_MASKED,positive_pair,rna_balanced_fp_removed_per_evidence_item,0.5487853938881135,0.01806560972327673,0.5151341729250462,0.5686433164613246,5
B4_EVIDENCE_MASKED,positive_pair,rna_balanced_delta_f1_per_evidence_item,0.00019058836503200172,6.7149517504530845e-06,0.00018137490127896952,0.00019965015156516325,5
B4_EVIDENCE_MASKED,unpaired,evidence_item_count,24690.0,0.0,24690.0,24690.0,5
B4_EVIDENCE_MASKED,unpaired,fp_removed_per_evidence_item,0.40753341433778856,0.023780568306634397,0.3669501822600243,0.43256379100850545,5
B4_EVIDENCE_MASKED,unpaired,delta_f1_per_evidence_item,9.876357052685028e-07,5.983791681141448e-08,8.997493267277628e-07,1.0698529279712985e-06,5
B4_EVIDENCE_MASKED,unpaired,rna_balanced_fp_removed_per_evidence_item,0.39255093344955994,0.020613119289789882,0.35742049754246047,0.41522271153329865,5
B4_EVIDENCE_MASKED,unpaired,rna_balanced_delta_f1_per_evidence_item,0.00014566120041380662,7.1589766972434475e-06,0.00013720054867224745,0.0001552814069388771,5
B4_EVIDENCE_MASKED,combined,evidence_item_count,46770.0,0.0,46770.0,46770.0,5
B4_EVIDENCE_MASKED,combined,fp_removed_per_evidence_item,0.4150994227068633,0.017452370418375326,0.3848407098567458,0.4333760957878982,5
B4_EVIDENCE_MASKED,combined,delta_f1_per_evidence_item,5.240371104384701e-07,1.8894230470626452e-08,4.949327711216667e-07,5.460537419214849e-07,5
B4_EVIDENCE_MASKED,combined,rna_balanced_fp_removed_per_evidence_item,0.4200970477659893,0.015238861517197971,0.3933399278234325,0.43675724420099754,5
B4_EVIDENCE_MASKED,combined,rna_balanced_delta_f1_per_evidence_item,7.800640794211109e-05,2.485039933862989e-06,7.554758945236509e-05,8.106375329044305e-05,5
