condition,track,seed,event_n_events,event_positive_count,event_positive_prevalence,event_auprc,event_auroc,event_brier,event_ece,rna_rna_count,rna_positive_prevalence,rna_auprc,rna_auroc,rna_brier,rna_ece,event_context_count,event_pair_event_count,event_tp_before,event_fp_before,event_fn_before,event_tp_after,event_fp_after,event_fn_after,event_lost_tp,event_removed_fp,event_deleted_pair_count,event_tp_preservation,event_fp_removal,event_modification_precision,event_coverage,event_resulting_precision,event_resulting_recall,event_resulting_f1,event_original_precision,event_original_recall,event_original_f1,event_delta_f1,rna_lost_tp,rna_removed_fp,rna_deleted_pair_count,rna_tp_preservation,rna_fp_removal,rna_modification_precision,rna_coverage,rna_resulting_precision,rna_resulting_recall,rna_resulting_f1,rna_original_precision,rna_original_recall,rna_original_f1,rna_delta_f1,evidence_item_count,fp_removed_per_evidence_item,delta_f1_per_evidence_item,rna_balanced_fp_removed_per_evidence_item,rna_balanced_fp_removed_per_evidence_item_defined_rnas,rna_balanced_delta_f1_per_evidence_item,rna_balanced_delta_f1_per_evidence_item_defined_rnas,zero_denominator_is_na
ERN,positive_pair,17,152138,23425,0.1539720516899131,0.8117465923060198,0.929147843015362,0.058562309724586016,0.020263292724266496,121,0.14780537404819033,0.8982405611587094,0.9364421389832399,0.05357579040302657,0.0851175872860963,10569,152138,128713,23425,14957,127515,11611,16155,1198,11814,13012,0.9906924708459907,0.504332977588047,0.9079311404857056,0.08552761308811736,0.9165432773169645,0.8875548131133848,0.9018161501577109,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.03156923323862826,1198,11814,13012,0.9897328726534718,0.6571490456597656,0.944145794697824,0.0845182053546051,0.9167322075668117,0.9055972773757497,0.9061844286730713,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.027549132240978394,22080,0.535054347826087,1.4297659981262799e-06,0.6803143599058424,121,0.00020144699763075587,121,True
ERN,unpaired,17,158700,26790,0.16880907372400755,0.82349284490389,0.933570086173825,0.06142215375257718,0.011509338086749128,121,0.14780537404819033,0.898544734562516,0.9357699808553498,0.05038893161139256,0.08093362115399169,10890,158700,131910,26790,18930,130203,13535,20637,1707,13255,14962,0.9870593586536275,0.4947741694662187,0.885910974468654,0.09427851291745432,0.9058356175819895,0.8631861575178997,0.8839967682583221,0.8311909262759924,0.874502784407319,0.8522969567745687,0.03169981148375334,1707,13255,14962,0.9913505546947682,0.6832332926460196,0.9492589640052101,0.08542005796897563,0.9182427771205154,0.9052089712463228,0.9075970285098279,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028961732077734604,24690,0.5368570271364925,1.2839129803059269e-06,0.4698944077955515,121,0.00017214839368864885,121,True
ERN,combined,17,310838,50215,0.16154717248212896,0.8180268063680379,0.9314789166050802,0.06002241835751096,0.015625821509762997,121,0.14780537404819033,0.89711790313242,0.9358494870849994,0.05189924030500235,0.07960379326424477,21459,310838,260623,50215,33887,257718,25146,36792,2905,25069,27974,0.9888536314906973,0.49923329682365825,0.8961535711732322,0.08999543170397442,0.9111021550992703,0.8750738514821228,0.8927246464163611,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.03165630225729876,2905,25069,27974,0.9907328538932417,0.6699449866645839,0.9359856670432581,0.08476460451250259,0.9173332783348306,0.9054613041828814,0.9069321733165439,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028296876884450796,46770,0.5360059867436391,6.768505934851136e-07,0.500377383978362,121,8.810546543631052e-05,121,True
ERN,positive_pair,29,152138,23425,0.1539720516899131,0.7998430445920262,0.930001070195958,0.06117904652082757,0.02077149014036697,121,0.14780537404819033,0.8960068534965069,0.9411355716001866,0.05520893529193318,0.08928392473878582,10569,152138,128713,23425,14957,127603,12637,16067,1110,10788,11898,0.9913761624699914,0.46053361792956243,0.9067070095814422,0.078205313596866,0.9098901882487165,0.8881673279042249,0.8988975379521679,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.028650621033085244,1110,10788,11898,0.9926077032825481,0.6532781142454257,0.9527234485812147,0.0806202072156005,0.9166387354596713,0.9065841132188814,0.9062850296152629,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.027649733183169677,22080,0.4885869565217391,1.297582474324513e-06,0.646712986939347,121,0.00021366595683292825,121,True
ERN,unpaired,29,158700,26790,0.16880907372400755,0.8028174439432527,0.9281831054909818,0.06545317570432298,0.020240874453410433,121,0.14780537404819033,0.8933601626101144,0.9335266157859292,0.05336662822203072,0.08652293701273385,10890,158700,131910,26790,18930,130623,14860,20217,1287,11930,13217,0.9902433477370934,0.44531541620007464,0.9026254066732239,0.08328292375551355,0.8978574816301561,0.8659705648369133,0.8816257934753631,0.8311909262759924,0.874502784407319,0.8522969567745687,0.029328836700794336,1287,11930,13217,0.9945121166080148,0.6582439505856473,0.9651857270707237,0.07949341338434077,0.9155721382258425,0.9072753237420563,0.9073160540704681,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028680757638375052,24690,0.48319157553665454,1.1878832199592683e-06,0.44473085115305716,121,0.000169229851630876,121,True
ERN,combined,29,310838,50215,0.16154717248212896,0.80080966600006,0.9290885354022583,0.06336122598865565,0.020292420627760235,121,0.14780537404819033,0.8923634984872479,0.9375095062314083,0.054298048281803415,0.08418573639331318,21459,310838,260623,50215,33887,258226,27497,36284,2397,22718,25115,0.9908028071198628,0.452414617146271,0.9045590284690425,0.08079771456514326,0.903763435215226,0.8767987504668772,0.8900769173762952,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.029008573217232936,2397,22718,25115,0.9936677882201717,0.655209722876627,0.957304058734733,0.07976241709990212,0.9156263221946299,0.906957156531725,0.9067401259281926,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02810482949609974,46770,0.4857387214026085,6.202388970971336e-07,0.47872854627525013,121,8.777165212428988e-05,121,True
ERN,positive_pair,41,152138,23425,0.1539720516899131,0.8192794460861818,0.9307290173704819,0.05690649269994492,0.024096145420927507,121,0.14780537404819033,0.8965789188176433,0.9403617665920142,0.05198266904547488,0.0828626742842707,10569,152138,128713,23425,14957,127316,11658,16354,1397,11767,13164,0.9891463954689892,0.5023265741728922,0.8938772409601945,0.08652670601690571,0.9161138054600141,0.8861696944386441,0.9008929961364827,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.030646079217400035,1397,11767,13164,0.9857874587948433,0.6636707455466985,0.9411456999467097,0.0867399107939803,0.9171020646920969,0.9041190376823287,0.9047581603861063,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.026122863954012813,22080,0.5329257246376812,1.3879564862952914e-06,0.6905579736533735,121,0.00018378880951741124,121,True
ERN,unpaired,41,158700,26790,0.16880907372400755,0.8173556806540173,0.9316450352756437,0.06233223141079583,0.021096395593855063,121,0.14780537404819033,0.9055527877323333,0.9388009874880562,0.05092377518389307,0.08119056675606276,10890,158700,131910,26790,18930,130468,14733,20372,1442,12057,13499,0.9890683041467667,0.45005599104143335,0.8931772723905474,0.08505986137366099,0.8985337566545685,0.8649429859453726,0.8814184521738544,0.8311909262759924,0.874502784407319,0.8522969567745687,0.029121495399285657,1442,12057,13499,0.9927561491028586,0.6580761912869926,0.9557014077864336,0.08044395027712761,0.9149587983311527,0.9062960950884353,0.906693650279113,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028058353847019702,24690,0.4883353584447145,1.1794854353700144e-06,0.4478005146176451,121,0.000166921125625094,121,True
ERN,combined,41,310838,50215,0.16154717248212896,0.8177241857584469,0.9311232402793281,0.059676632558688346,0.018979634664077243,121,0.14780537404819033,0.8988251997643869,0.9388550582361798,0.051563427799917995,0.07801672693550572,21459,310838,260623,50215,33887,257784,26391,36726,2839,23824,26663,0.9891068708440928,0.4744399083939062,0.8935228593931666,0.08577780065500357,0.9071311691739246,0.8752979525313233,0.8909302988672595,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.02986195470819719,2839,23824,26663,0.9897701483446276,0.6600696740291644,0.9445861275652083,0.08294269635905543,0.9154711451185338,0.9053744803881854,0.9058093971063824,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.027174100674289305,46770,0.5093863587769938,6.38485240714073e-07,0.48857825329468907,121,8.467575145314393e-05,121,True
ERN,positive_pair,53,152138,23425,0.1539720516899131,0.8004118738391637,0.928454896314827,0.0595378679072033,0.02158384831574904,121,0.14780537404819033,0.9043454497356167,0.9407378970455652,0.054392201675244646,0.08896991002779832,10569,152138,128713,23425,14957,127491,12509,16179,1222,10916,12138,0.9905060094939905,0.46599786552828176,0.8993244356566156,0.07978282874758442,0.91065,0.8873877636249738,0.8988684034265166,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.028621486507434013,1222,10916,12138,0.9917143770481959,0.6404972865819786,0.9332843867563579,0.08011854851626908,0.9150930279110856,0.9058441118397532,0.9050954617806659,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.026460165348572675,22080,0.4943840579710145,1.2962629758801636e-06,0.6463917016969148,121,0.0002059361840860483,121,True
