condition,track,metric,mean,population_sd,min,max,n
ERN,positive_pair,event_auprc,0.808631227221202,0.007461946308136468,0.7998430445920262,0.8192794460861818,5
ERN,positive_pair,event_auroc,0.9293094032531123,0.000943343486982521,0.9282141893689319,0.9307290173704819,5
ERN,positive_pair,event_brier,0.05901802022160148,0.0013870407309650105,0.05690649269994492,0.06117904652082757,5
ERN,positive_pair,event_ece,0.021990378793416875,0.0014575591257579533,0.020263292724266496,0.024096145420927507,5
ERN,positive_pair,rna_auprc,0.8973049219976226,0.004197236028724699,0.8913528267796367,0.9043454497356167,5
ERN,positive_pair,rna_auroc,0.939723137461983,0.0016878273573382367,0.9364421389832399,0.9411355716001866,5
ERN,positive_pair,rna_brier,0.05353516136292037,0.001182047498542347,0.05198266904547488,0.05520893529193318,5
ERN,positive_pair,rna_ece,0.08661602960488268,0.002410159048480411,0.0828626742842707,0.08928392473878582,5
ERN,unpaired,event_auprc,0.8143683294051709,0.007561639980439831,0.8028174439432527,0.82349284490389,5
ERN,unpaired,event_auroc,0.9310950363778352,0.001731435852737912,0.9281831054909818,0.933570086173825,5
ERN,unpaired,event_brier,0.06326067448086942,0.0014672743272412666,0.06142215375257718,0.06545317570432298,5
ERN,unpaired,event_ece,0.017320666567753454,0.0036912605817280113,0.011509338086749128,0.021096395593855063,5
ERN,unpaired,rna_auprc,0.9002708675013853,0.004391640347963722,0.8933601626101144,0.9055527877323333,5
ERN,unpaired,rna_auroc,0.936590986735488,0.00180955614526915,0.9335266157859292,0.9388009874880562,5
ERN,unpaired,rna_brier,0.05193954664029685,0.0015184304945471741,0.05038893161139256,0.05415333831091053,5
ERN,unpaired,rna_ece,0.08321463864948644,0.0030287743842721195,0.08016861395057227,0.08725745437407163,5
ERN,combined,event_auprc,0.8114055445908711,0.007118625692556548,0.80080966600006,0.8180268063680379,5
ERN,combined,event_auroc,0.9302540148563642,0.0009286262804280279,0.9290885354022583,0.9314789166050802,5
ERN,combined,event_brier,0.061184129998866396,0.0013574872454988932,0.059676632558688346,0.06336122598865565,5
ERN,combined,event_ece,0.018252464510640172,0.0019432055085697223,0.015625821509762997,0.020292420627760235,5
ERN,combined,rna_auprc,0.8971936060269069,0.0028262099512422964,0.8923634984872479,0.9009018611659158,5
ERN,combined,rna_auroc,0.9379629591150763,0.001174864033806428,0.9358494870849994,0.9389244332670601,5
ERN,combined,rna_brier,0.05275618554353341,0.0012637298016854612,0.051563427799917995,0.054298854539618295,5
ERN,combined,rna_ece,0.08152479538601655,0.003014740851643522,0.07801672693550572,0.08595308756794381,5
B4_EVIDENCE_MASKED,positive_pair,event_auprc,0.7714079324473778,0.005818196433863223,0.7635824645467196,0.7785056251785359,5
B4_EVIDENCE_MASKED,positive_pair,event_auroc,0.9151307349873179,0.0019574860994281003,0.9116387098045214,0.917379900270539,5
B4_EVIDENCE_MASKED,positive_pair,event_brier,0.06520690106290956,0.001311463012588801,0.0634760749665448,0.06739400245280565,5
B4_EVIDENCE_MASKED,positive_pair,event_ece,0.02580207282161512,0.0015614397775600803,0.02386155048504808,0.027897248132807802,5
B4_EVIDENCE_MASKED,positive_pair,rna_auprc,0.8914715381145253,0.0020400112267074076,0.8889941958119041,0.8949254832127133,5
B4_EVIDENCE_MASKED,positive_pair,rna_auroc,0.9216196491969784,0.0008014410447457754,0.9205859400637363,0.9228065790682846,5
B4_EVIDENCE_MASKED,positive_pair,rna_brier,0.05971040013882104,0.0011305140905361814,0.05828019574030489,0.06176005564503914,5
B4_EVIDENCE_MASKED,positive_pair,rna_ece,0.10155837495129275,0.0021851818809697295,0.09821576026748566,0.10416674430440502,5
B4_EVIDENCE_MASKED,unpaired,event_auprc,0.7733844338517162,0.008873134104939446,0.7581246774956989,0.7858916367720586,5
B4_EVIDENCE_MASKED,unpaired,event_auroc,0.9160511302499084,0.0018329877581084978,0.91430403657589,0.9195341117493069,5
B4_EVIDENCE_MASKED,unpaired,event_brier,0.07030498612782769,0.0013893019890141506,0.06800021213341755,0.07212001457193097,5
B4_EVIDENCE_MASKED,unpaired,event_ece,0.024345568109127608,0.00440776654122323,0.017513374147950567,0.030218734917064727,5
B4_EVIDENCE_MASKED,unpaired,rna_auprc,0.8891410182590427,0.0032864171160634716,0.8830606809240403,0.892022241941878,5
B4_EVIDENCE_MASKED,unpaired,rna_auroc,0.9220762999535967,0.00046622319136316656,0.9214556906646353,0.9225603570147581,5
B4_EVIDENCE_MASKED,unpaired,rna_brier,0.05944068127304003,0.0015039160848013338,0.05713025857351912,0.06148912050155178,5
B4_EVIDENCE_MASKED,unpaired,rna_ece,0.10102307933622004,0.0035832288197021117,0.09698217027035456,0.10674963294015133,5
B4_EVIDENCE_MASKED,combined,event_auprc,0.7717258528667821,0.00686506031358794,0.7608063720109697,0.7811515600492851,5
B4_EVIDENCE_MASKED,combined,event_auroc,0.9156767763456388,0.0011530838948181504,0.9139773239429317,0.917558278577401,5
B4_EVIDENCE_MASKED,combined,event_brier,0.06780975560386931,0.001194352228696328,0.06621279679085268,0.06931890003223125,5
B4_EVIDENCE_MASKED,combined,event_ece,0.024126508141594234,0.0028412261301784337,0.020466892711177475,0.028047594577244105,5
B4_EVIDENCE_MASKED,combined,rna_auprc,0.8843024498451634,0.0016855730270979668,0.8819626506185936,0.8864079320676959,5
B4_EVIDENCE_MASKED,combined,rna_auroc,0.9219390900378512,0.0007647603247387433,0.9213224564341809,0.9234375309429138,5
