condition,track,seed,scope,opportunity_count,deleted_pair_count,removed_fp,lost_tp,tp_preservation,fp_removal,modification_precision,coverage,delta_f1
ERN,positive_pair,17,DIRECT,20610,1,0,1,0.9999514798641436,,0.0,4.8520135856380395e-05,-3.819223625800561e-06
ERN,positive_pair,17,LOCAL_CONFLICT,1357,1020,1020,0,,0.7516580692704495,1.0,0.7516580692704495,0.003011153287303059
ERN,positive_pair,17,NON_EVIDENCED,130171,11991,10794,1197,0.9889272268114668,0.4891245241979337,0.9001751313485113,0.09211729186992494,0.02833209702299977
ERN,unpaired,17,DIRECT,0,0,0,0,,,,,0.0
ERN,unpaired,17,LOCAL_CONFLICT,4621,4052,4052,0,,0.8768664791170743,1.0,0.8768664791170743,0.011304886833035988
ERN,unpaired,17,NON_EVIDENCED,154079,10910,9203,1707,0.9870593586536275,0.41512923451666744,0.843538038496792,0.07080783234574471,0.019705186345680414
ERN,combined,17,DIRECT,20610,1,0,1,0.9999514798641436,,0.0,4.8520135856380395e-05,-1.881452548535556e-06
ERN,combined,17,LOCAL_CONFLICT,5978,5072,5072,0,,0.8484442957510874,1.0,0.8484442957510874,0.007275550982505985
ERN,combined,17,NON_EVIDENCED,284250,22901,19997,2904,0.9879006553811669,0.45204240793905553,0.8731933103357932,0.08056640281442393,0.02388427813961902
ERN,positive_pair,29,DIRECT,20610,0,0,0,1.0,,,0.0,0.0
ERN,positive_pair,29,LOCAL_CONFLICT,1357,974,974,0,,0.7177597641857038,1.0,0.7177597641857038,0.0028749075652034772
ERN,positive_pair,29,NON_EVIDENCED,130171,10924,9814,1110,0.9897320148377011,0.4447163313394961,0.89838886854632,0.0839203816518272,0.02557734839592285
ERN,unpaired,29,DIRECT,0,0,0,0,,,,,0.0
ERN,unpaired,29,LOCAL_CONFLICT,4621,3615,3615,0,,0.7822982038519801,1.0,0.7822982038519801,0.010071270732172954
ERN,unpaired,29,NON_EVIDENCED,154079,9602,8315,1287,0.9902433477370934,0.3750733005548288,0.8659654238700271,0.06231868067679567,0.018703049893476043
ERN,combined,29,DIRECT,20610,0,0,0,1.0,,,0.0,0.0
ERN,combined,29,LOCAL_CONFLICT,5978,4589,4589,0,,0.7676480428236868,1.0,0.7676480428236868,0.006577417286042997
ERN,combined,29,NON_EVIDENCED,284250,20526,18129,2397,0.9900130409602813,0.40981531297330287,0.8832212803273897,0.07221108179419525,0.022024289155005983
ERN,positive_pair,41,DIRECT,20610,0,0,0,1.0,,,0.0,0.0
ERN,positive_pair,41,LOCAL_CONFLICT,1357,1027,1027,0,,0.7568165070007369,1.0,0.7568165070007369,0.003031890059657538
ERN,positive_pair,41,NON_EVIDENCED,130171,12137,10740,1397,0.9870771393948364,0.4866775421424687,0.8848974211090055,0.09323889345553157,0.027384494116941438
ERN,unpaired,41,DIRECT,0,0,0,0,,,,,0.0
ERN,unpaired,41,LOCAL_CONFLICT,4621,3875,3875,0,,0.8385630815840727,1.0,0.8385630815840727,0.010804804958047032
ERN,unpaired,41,NON_EVIDENCED,154079,9624,8182,1442,0.9890683041467667,0.3690739320673012,0.850166251039069,0.06246146457336821,0.017733318369138162
ERN,combined,41,DIRECT,20610,0,0,0,1.0,,,0.0,0.0
ERN,combined,41,LOCAL_CONFLICT,5978,4902,4902,0,,0.8200066912010706,1.0,0.8200066912010706,0.007029702959246431
ERN,combined,41,NON_EVIDENCED,284250,21761,18922,2839,0.9881714740451559,0.4277414833736465,0.8695372455309959,0.07655584872471416,0.02237833988290583
ERN,positive_pair,53,DIRECT,20610,5,0,5,0.999757399320718,,0.0,0.00024260067928190198,-1.9096376356442235e-05
ERN,positive_pair,53,LOCAL_CONFLICT,1357,961,961,0,,0.7081798084008843,1.0,0.7081798084008843,0.002836411044233933
ERN,positive_pair,53,NON_EVIDENCED,130171,11172,9955,1217,0.9887422180698038,0.45110567337321006,0.8910669530970283,0.08582556790683024,0.025606032110555232
ERN,unpaired,53,DIRECT,0,0,0,0,,,,,0.0
ERN,unpaired,53,LOCAL_CONFLICT,4621,3951,3951,0,,0.8550097381519152,1.0,0.8550097381519152,0.011019458410532867
ERN,unpaired,53,NON_EVIDENCED,154079,9918,8394,1524,0.988446668182852,0.37863683522035274,0.8463399879007865,0.06436957664574666,0.018039667371855916
ERN,combined,53,DIRECT,20610,5,0,5,0.999757399320718,,0.0,0.00024260067928190198,-9.407324903842884e-06
ERN,combined,53,LOCAL_CONFLICT,5978,4912,4912,0,,0.8216794914687187,1.0,0.8216794914687187,0.0070441607540342455
ERN,combined,53,NON_EVIDENCED,284250,21090,18349,2741,0.9885797852616317,0.4147885254425029,0.8700331910858227,0.0741952506596306,0.021699200316152467
ERN,positive_pair,67,DIRECT,20610,0,0,0,1.0,,,0.0,0.0
ERN,positive_pair,67,LOCAL_CONFLICT,1357,1030,1030,0,,0.759027266028003,1.0,0.759027266028003,0.0030407775492969913
ERN,positive_pair,67,NON_EVIDENCED,130171,12125,10776,1349,0.9875211603748277,0.4883088635127787,0.8887422680412371,0.09314670702383787,0.027684929543342007
ERN,unpaired,67,DIRECT,0,0,0,0,,,,,0.0
ERN,unpaired,67,LOCAL_CONFLICT,4621,3807,3807,0,,0.8238476520233715,1.0,0.8238476520233715,0.010612837065154035
ERN,unpaired,67,NON_EVIDENCED,154079,10118,8909,1209,0.9908346599954514,0.4018674725968695,0.8805099822099229,0.06566761206913337,0.020725065655312847
ERN,combined,67,DIRECT,20610,0,0,0,1.0,,,0.0,0.0
ERN,combined,67,LOCAL_CONFLICT,5978,4837,4837,0,,0.8091334894613583,1.0,0.8091334894613583,0.0069357390300883726
ERN,combined,67,NON_EVIDENCED,284250,22243,19685,2558,0.9893422439617854,0.44498948843728103,0.8849975273119634,0.07825153913808268,0.024072410936503696
B4_EVIDENCE_MASKED,positive_pair,17,DIRECT,20610,104,0,104,0.9949539058709365,,0.0,0.005046094129063561,-0.0003973376100439019
B4_EVIDENCE_MASKED,positive_pair,17,LOCAL_CONFLICT,1357,357,357,0,,0.2630803242446573,1.0,0.2630803242446573,0.001051538662384388
B4_EVIDENCE_MASKED,positive_pair,17,NON_EVIDENCED,130171,10063,9232,831,0.9923128867839005,0.4183433025194852,0.9174202524098182,0.07730600517780457,0.02483086221966002
B4_EVIDENCE_MASKED,unpaired,17,DIRECT,0,0,0,0,,,,,0.0
B4_EVIDENCE_MASKED,unpaired,17,LOCAL_CONFLICT,4621,2150,2150,0,,0.4652672581692274,1.0,0.4652672581692274,0.005961281944973251
B4_EVIDENCE_MASKED,unpaired,17,NON_EVIDENCED,154079,9850,8530,1320,0.9899931771662497,0.3847715278091028,0.8659898477157361,0.06392824460179518,0.019203593794352436
B4_EVIDENCE_MASKED,combined,17,DIRECT,20610,104,0,104,0.9949539058709365,,0.0,0.005046094129063561,-0.00019570436420268678
B4_EVIDENCE_MASKED,combined,17,LOCAL_CONFLICT,5978,2507,2507,0,,0.41937102709936436,1.0,0.41937102709936436,0.0035808751209800427
B4_EVIDENCE_MASKED,combined,17,NON_EVIDENCED,284250,19913,17762,2151,0.9910379854424552,0.40151909035422834,0.8919801134936975,0.07005452946350044,0.021940017144925328
B4_EVIDENCE_MASKED,positive_pair,29,DIRECT,20610,126,0,126,0.993886462882096,,0.0,0.00611353711790393,-0.00048142561423480945
B4_EVIDENCE_MASKED,positive_pair,29,LOCAL_CONFLICT,1357,345,345,0,,0.2542372881355932,1.0,0.2542372881355932,0.0010161515531119658
B4_EVIDENCE_MASKED,positive_pair,29,NON_EVIDENCED,130171,9757,8895,862,0.9920261232343228,0.40307232191408376,0.9116531720815825,0.07495525116961535,0.023656617765291932
B4_EVIDENCE_MASKED,unpaired,29,DIRECT,0,0,0,0,,,,,0.0
B4_EVIDENCE_MASKED,unpaired,29,LOCAL_CONFLICT,4621,2096,2096,0,,0.4535814758710236,1.0,0.4535814758710236,0.005810535972077813
B4_EVIDENCE_MASKED,unpaired,29,NON_EVIDENCED,154079,9394,8434,960,0.9927223106663634,0.3804411565699851,0.897807110921865,0.0609687238364735,0.020278389890054593
B4_EVIDENCE_MASKED,combined,29,DIRECT,20610,126,0,126,0.993886462882096,,0.0,0.00611353711790393,-0.00023711198310039094
B4_EVIDENCE_MASKED,combined,29,LOCAL_CONFLICT,5978,2441,2441,0,,0.40833054533288726,1.0,0.40833054533288726,0.003486222299777908
B4_EVIDENCE_MASKED,combined,29,NON_EVIDENCED,284250,19151,17329,1822,0.9924087445263382,0.3917309039943938,0.9048613649417785,0.06737379067722075,0.021914680319056856
B4_EVIDENCE_MASKED,positive_pair,41,DIRECT,20610,161,0,161,0.9921882581271227,,0.0,0.007811741872877244,-0.0006152277762874192
B4_EVIDENCE_MASKED,positive_pair,41,LOCAL_CONFLICT,1357,344,344,0,,0.25350036845983787,1.0,0.25350036845983787,0.0010132027570878277
B4_EVIDENCE_MASKED,positive_pair,41,NON_EVIDENCED,130171,10533,9387,1146,0.9893989991027076,0.42536704730831976,0.8911990885787525,0.08091664041914097,0.024097137063916252
B4_EVIDENCE_MASKED,unpaired,41,DIRECT,0,0,0,0,,,,,0.0
B4_EVIDENCE_MASKED,unpaired,41,LOCAL_CONFLICT,4621,2053,2053,0,,0.44427613070763905,1.0,0.44427613070763905,0.005690535379571093
B4_EVIDENCE_MASKED,unpaired,41,NON_EVIDENCED,154079,9737,8207,1530,0.9884011826245167,0.3702016329108214,0.8428674129608709,0.0631948545875817,0.017474192947081857
B4_EVIDENCE_MASKED,combined,41,DIRECT,20610,161,0,161,0.9921882581271227,,0.0,0.007811741872877244,-0.00030299394499611054
B4_EVIDENCE_MASKED,combined,41,LOCAL_CONFLICT,5978,2397,2397,0,,0.40097022415523587,1.0,0.40097022415523587,0.0034231319310346064
B4_EVIDENCE_MASKED,combined,41,NON_EVIDENCED,284250,20270,17594,2676,0.9888506039256207,0.39772136446865747,0.8679822397631969,0.07131046613896218,0.020684174308560843
B4_EVIDENCE_MASKED,positive_pair,53,DIRECT,20610,97,0,97,0.995293546821931,,0.0,0.004706453178068898,-0.00037058495983866013
B4_EVIDENCE_MASKED,positive_pair,53,LOCAL_CONFLICT,1357,309,309,0,,0.22770817980840088,1.0,0.22770817980840088,0.0009100074698323857
B4_EVIDENCE_MASKED,positive_pair,53,NON_EVIDENCED,130171,9308,8630,678,0.9937282036576228,0.39106398404930215,0.927159432746025,0.07150594218374293,0.023540168595751587
B4_EVIDENCE_MASKED,unpaired,53,DIRECT,0,0,0,0,,,,,0.0
B4_EVIDENCE_MASKED,unpaired,53,LOCAL_CONFLICT,4621,1813,1813,0,,0.3923393204933997,1.0,0.3923393204933997,0.005021380582894364
B4_EVIDENCE_MASKED,unpaired,53,NON_EVIDENCED,154079,8177,7247,930,0.9929497384580396,0.32689792051964456,0.8862663568545921,0.0530701782851654,0.016953747525561003
B4_EVIDENCE_MASKED,combined,53,DIRECT,20610,97,0,97,0.995293546821931,,0.0,0.004706453178068898,-0.00018252984400946026
B4_EVIDENCE_MASKED,combined,53,LOCAL_CONFLICT,5978,2122,2122,0,,0.3549682167949147,1.0,0.3549682167949147,0.0030290256492683243
B4_EVIDENCE_MASKED,combined,53,NON_EVIDENCED,284250,17485,15877,1608,0.9933003628970097,0.3589077016976739,0.908035458964827,0.06151275285839929,0.020140372837924914
B4_EVIDENCE_MASKED,positive_pair,67,DIRECT,20610,128,0,128,0.9937894226103833,,0.0,0.006210577389616691,-0.0004890705987362631
B4_EVIDENCE_MASKED,positive_pair,67,LOCAL_CONFLICT,1357,342,342,0,,0.2520265291083272,1.0,0.2520265291083272,0.0010073052249204295
B4_EVIDENCE_MASKED,positive_pair,67,NON_EVIDENCED,130171,9691,8920,771,0.9928679130088897,0.404205183976799,0.920441646888866,0.07444822579530003,0.02408652010143697
B4_EVIDENCE_MASKED,unpaired,67,DIRECT,0,0,0,0,,,,,0.0
