condition,track,scope,metric,mean,population_sd,min,max,n
ERN,positive_pair,DIRECT,opportunity_count,20610.0,0.0,20610.0,20610.0,5
ERN,positive_pair,DIRECT,deleted_pair_count,1.2,1.9390719429665317,0.0,5.0,5
ERN,positive_pair,DIRECT,removed_fp,0.0,0.0,0.0,0.0,5
ERN,positive_pair,DIRECT,lost_tp,1.2,1.9390719429665317,0.0,5.0,5
ERN,positive_pair,DIRECT,tp_preservation,0.9999417758369724,9.408403410804766e-05,0.999757399320718,1.0,5
ERN,positive_pair,DIRECT,fp_removal,,,,,0
ERN,positive_pair,DIRECT,modification_precision,0.0,0.0,0.0,0.0,2
ERN,positive_pair,DIRECT,coverage,5.822416302765647e-05,9.408403410803161e-05,0.0,0.00024260067928190198,5
ERN,positive_pair,DIRECT,delta_f1,-4.583119996448559e-06,7.405850586415121e-06,-1.9096376356442235e-05,0.0,5
ERN,positive_pair,LOCAL_CONFLICT,opportunity_count,1357.0,0.0,1357.0,1357.0,5
ERN,positive_pair,LOCAL_CONFLICT,deleted_pair_count,1002.4,28.97309096385817,961.0,1030.0,5
ERN,positive_pair,LOCAL_CONFLICT,removed_fp,1002.4,28.97309096385817,961.0,1030.0,5
ERN,positive_pair,LOCAL_CONFLICT,lost_tp,0.0,0.0,0.0,0.0,5
ERN,positive_pair,LOCAL_CONFLICT,tp_preservation,,,,,0
ERN,positive_pair,LOCAL_CONFLICT,fp_removal,0.7386882829771555,0.021350840798716398,0.7081798084008843,0.759027266028003,5
ERN,positive_pair,LOCAL_CONFLICT,modification_precision,1.0,0.0,1.0,1.0,5
ERN,positive_pair,LOCAL_CONFLICT,coverage,0.7386882829771555,0.021350840798716398,0.7081798084008843,0.759027266028003,5
ERN,positive_pair,LOCAL_CONFLICT,delta_f1,0.0029590279011389997,8.58138444726387e-05,0.002836411044233933,0.0030407775492969913,5
ERN,positive_pair,NON_EVIDENCED,opportunity_count,130171.0,0.0,130171.0,130171.0,5
ERN,positive_pair,NON_EVIDENCED,deleted_pair_count,11669.8,516.2702393127073,10924.0,12137.0,5
