condition,track,seed,event_n_events,event_positive_count,event_positive_prevalence,event_auprc,event_auroc,event_brier,event_ece,rna_rna_count,rna_positive_prevalence,rna_auprc,rna_auroc,rna_brier,rna_ece,event_context_count,event_pair_event_count,event_tp_before,event_fp_before,event_fn_before,event_tp_after,event_fp_after,event_fn_after,event_lost_tp,event_removed_fp,event_deleted_pair_count,event_tp_preservation,event_fp_removal,event_modification_precision,event_coverage,event_resulting_precision,event_resulting_recall,event_resulting_f1,event_original_precision,event_original_recall,event_original_f1,event_delta_f1,rna_lost_tp,rna_removed_fp,rna_deleted_pair_count,rna_tp_preservation,rna_fp_removal,rna_modification_precision,rna_coverage,rna_resulting_precision,rna_resulting_recall,rna_resulting_f1,rna_original_precision,rna_original_recall,rna_original_f1,rna_delta_f1,evidence_item_count,fp_removed_per_evidence_item,delta_f1_per_evidence_item,rna_balanced_fp_removed_per_evidence_item,rna_balanced_fp_removed_per_evidence_item_defined_rnas,rna_balanced_delta_f1_per_evidence_item,rna_balanced_delta_f1_per_evidence_item_defined_rnas,zero_denominator_is_na,source
ERN,positive_pair,17,48634,5657,0.11631780236048855,0.6021393173892019,0.8904317637634173,0.06549961926087619,0.015562466616037041,121,0.09306258383818086,0.695196020307327,0.8270448115716573,0.05813768333594462,0.09652939124549068,3523,48634,42977,5657,4913,42470,4153,5420,507,1504,2011,0.988202992298206,0.26586529962877853,0.747886623570363,0.041349673068223874,0.9109237929777149,0.886823971601587,0.8987123464496948,0.8836821976395115,0.8974107329296304,0.8904935560067962,0.008218790442898527,507,1504,2011,0.9885890049210986,0.23056349208490334,0.707880759136245,0.030417510489791764,0.9198163950621598,0.9066185714245738,0.915700820529278,0.9069374161618189,0.913867030654728,0.9133660920071889,0.002334728522088857,7360,0.20434782608695654,1.1166834840894738e-06,0.21656696551673132,121,-5.30337703227942e-06,120,True,rnafold
ERN,positive_pair,17,48945,6255,0.12779650628256206,0.6693500556374914,0.9046983935456461,0.06466640783362038,0.014287016255883795,121,0.10474439764694968,0.754784115147232,0.8594299373196559,0.05801538677741059,0.09657926213456593,3523,48945,42690,6255,5200,42297,4407,5593,393,1848,2241,0.9907940969782151,0.29544364508393284,0.8246318607764391,0.045786086423536626,0.9056397738951696,0.8832115264147004,0.8942850497917415,0.872203493717438,0.8914178325328879,0.8817059947333091,0.012579055058432376,393,1848,2241,0.9906298378722128,0.29588741684110237,0.8006557401643962,0.03451484015708574,0.9136000824405965,0.9018788825717748,0.9102735528744892,0.8952556023530502,0.9077787598919441,0.904322964758978,0.005950588115510523,7360,0.2510869565217391,1.7091107416348336e-06,0.2656882673029741,121,5.927188029248942e-05,120,True,petfold
ERN,positive_pair,17,54559,11513,0.21101926354955186,0.9270851257798873,0.9611687111494038,0.04690237838540381,0.035160588406401724,121,0.20943634431658956,0.9298880021036977,0.958585347229391,0.04483891497139543,0.09687750297158859,3523,54559,43046,11513,4844,42748,3051,5142,298,8462,8760,0.9930771732565162,0.7349952227916269,0.9659817351598173,0.16056012756832053,0.9333828249525099,0.8926289413238672,0.9125510999156784,0.7889807364504481,0.8988515347671747,0.840340071645404,0.07221102827027437,298,8462,8760,0.9959657843752671,0.7586607902323853,0.9619462177748879,0.15914843122053568,0.9065055230759436,0.9082943781309002,0.9424215391050711,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06321951264120305,7360,1.1497282608695651,9.81128101498293e-06,1.5586878468978214,121,0.001282146986403634,116,True,trrosettarna2_native_ss
ERN,unpaired,17,50790,6600,0.1299468399291199,0.6413091209012773,0.8979695889650064,0.06847989477284658,0.010845041085735505,121,0.09306258383818086,0.7360232957327223,0.8348816660710476,0.05352368546491382,0.09292128576116339,3630,50790,44190,6600,6090,43523,4914,6757,667,1686,2353,0.9849060873500792,0.25545454545454543,0.7165320866978325,0.04632801732624532,0.8985486301794083,0.865612569610183,0.8817731495081901,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.007329694477023585,667,1686,2353,0.9906734154471643,0.27818350984379997,0.804183247476351,0.030574577799216827,0.922416263357237,0.9069378988838861,0.9177754335709651,0.9069374161618189,0.913867030654728,0.9133660920071889,0.004409341563775918,8230,0.2048602673147023,8.90606862335794e-07,0.13084020360302864,121,9.641700480369892e-05,120,True,rnafold
ERN,unpaired,17,51120,7230,0.1414319248826291,0.6955726538422345,0.9095361360146248,0.06786738301970668,0.0124815748078838,121,0.10474439764694968,0.7874489724026307,0.8657315308468374,0.053604685858105613,0.0925548047255875,3630,51120,43890,7230,6390,43236,5156,7044,654,2074,2728,0.9850991114149009,0.28686030428769016,0.7602639296187683,0.053364632237871676,0.8934534633823773,0.8599045346062052,0.8763580347008271,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.010677561328045981,654,2074,2728,0.9907269589228569,0.3333495049012289,0.840932183410249,0.0366128780493373,0.9163086223997486,0.9009145631860375,0.911660019998154,0.8952556023530502,0.9077787598919441,0.904322964758978,0.007337055239175543,8230,0.2520048602673147,1.2973950580857815e-06,0.18741429624826564,121,0.0001473004043706012,120,True,petfold
ERN,unpaired,17,56790,12960,0.22820919175911253,0.9312452830877654,0.9644471599375252,0.049308352263665645,0.036652764219431644,121,0.20943634431658956,0.9344138097572162,0.9588141787104135,0.04437102425724509,0.09570868649641985,3630,56790,43830,12960,6450,43444,3465,6836,386,9495,9881,0.9911932466347251,0.7326388888888888,0.9609351280234794,0.17399189998239126,0.9261335777782516,0.864041368337311,0.8940106390640916,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.07529391168947686,386,9495,9881,0.9946706304551131,0.7891923978383467,0.957809224899677,0.1605715300135148,0.9097135262428887,0.9077744516690459,0.9438639065515966,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06466188008772844,8230,1.1537059538274606,9.14871344951116e-06,1.0914287235353606,121,0.0011423475482424115,116,True,trrosettarna2_native_ss
ERN,combined,17,99424,12257,0.12328009333762471,0.6242124833915249,0.8944287873231073,0.06702207051261552,0.012542818365135901,121,0.09306258383818086,0.7103700235368134,0.8304188619961806,0.05559601097307483,0.09263104273181288,7153,99424,87167,12257,11003,85993,9067,12177,1174,3190,4364,0.9865316002615668,0.26025944358325853,0.730980751604033,0.043892822658513034,0.9046181359141595,0.8759600692675971,0.8900584795321638,0.8767199066623753,0.8879189161658347,0.8822838750164478,0.007774604515715988,1174,3190,4364,0.9898948386540805,0.2548963467207968,0.7348431281211901,0.030294151324262913,0.9211169388806808,0.9069122838765699,0.916874868958544,0.9069374161618189,0.913867030654728,0.9133660920071889,0.0035087769513549912,15590,0.20461834509300833,4.98691758544964e-07,0.14166982187035015,121,3.75202113523304e-05,120,True,rnafold
ERN,combined,17,100065,13485,0.13476240443711587,0.6841921609343002,0.9073256001787704,0.06630168341961597,0.013093640858943146,121,0.10474439764694968,0.7672645722879607,0.8617215660706425,0.055607682861741295,0.09254989329828725,7153,100065,86580,13485,11590,85533,9563,12637,1047,3922,4969,0.9879071379071379,0.29084167593622545,0.78929362044677,0.049657722480387745,0.8994384621855809,0.8712743200570439,0.8851324081835398,0.8652375955628842,0.8819394927167159,0.8735087144046207,0.011623693778919031,1047,3922,4969,0.9908376365942889,0.31486377322625675,0.7986642469484092,0.03539581588123537,0.9149250367159194,0.9014818942673399,0.9110520969994734,0.8952556023530502,0.9077787598919441,0.904322964758978,0.006729132240494905,15590,0.2515715202052598,7.455865156458647e-07,0.18854320544408623,121,6.101672331438087e-05,120,True,petfold
ERN,combined,17,111349,24473,0.21978643723787372,0.9291000736985384,0.9628554648129727,0.04812946849440025,0.034001583273939005,121,0.20943634431658956,0.9294641402202419,0.9581279905584046,0.044788968774201195,0.094898032154636,7153,111349,86876,24473,11294,86192,6516,11978,684,17957,18641,0.9921267093328422,0.7337473950884649,0.9633066895552813,0.16741057396114917,0.9297148034689563,0.8779871651217276,0.9031108875826445,0.7802135627621263,0.8849546704695935,0.829289945064648,0.07382094251799642,684,17957,18641,0.9951961700020535,0.7738554761470284,0.9523158056854449,0.15971425897961314,0.9079230804473483,0.9079897344047345,0.9430756353047411,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06387360884087336,15590,1.1518280949326491,4.735147050544992e-06,1.1709191246206492,121,0.0005755297800448411,116,True,trrosettarna2_native_ss
ERN,positive_pair,29,48634,5657,0.11631780236048855,0.5696875795588214,0.8915814305039005,0.06818268844282593,0.013584155822645112,121,0.09306258383818086,0.7074453370990964,0.847683267121521,0.05948179998695272,0.10099429198786772,3523,48634,42977,5657,4913,42628,4703,5262,349,954,1303,0.9918793773413687,0.1686406222379353,0.7321565617805065,0.026791956244602542,0.90063594684245,0.8901231989977031,0.8953487150943594,0.8836821976395115,0.8974107329296304,0.8904935560067962,0.004855159087563177,349,954,1303,0.9936657040663405,0.17284338722817855,0.7133879806017958,0.020068615360442747,0.9165302567921106,0.9095476226010111,0.9154995423915154,0.9069374161618189,0.913867030654728,0.9133660920071889,0.0021334503843264616,7360,0.1296195652173913,6.596683542884751e-07,0.14346207115287346,121,2.2777561950976663e-05,120,True,rnafold
