condition,track,metric,mean,population_sd,min,max,n
CER,positive_pair,event_auprc,0.7910801592214329,0.006216642452054499,0.7845501905182226,0.8012081129720546,5
CER,positive_pair,event_auroc,0.9239658147223061,0.0013684951339498176,0.923200782235553,0.9266995686489249,5
CER,positive_pair,event_brier,0.06153502667958286,0.0013599567689739145,0.05947352034629321,0.06366888881218961,5
CER,positive_pair,event_ece,0.024835690165745154,0.0012221712087223133,0.02379011970469652,0.026674399764421562,5
CER,positive_pair,rna_auprc,0.8962311981047877,0.0017395074588846995,0.893699282761764,0.8982906115109579,5
CER,positive_pair,rna_auroc,0.9327497228289019,0.001737402319401724,0.9296624369271865,0.9345602393253738,5
CER,positive_pair,rna_brier,0.056038660007740194,0.001055668011116163,0.054498493764364046,0.05772706278418994,5
CER,positive_pair,rna_ece,0.09284535249003043,0.002639830079922927,0.08934227647005966,0.09746870291951876,5
CER,unpaired,event_auprc,0.7820068935590423,0.008327858469406788,0.7686258486034784,0.7915924820994906,5
CER,unpaired,event_auroc,0.920157418573168,0.0015343837567519808,0.9188462013970015,0.9230829771302496,5
CER,unpaired,event_brier,0.0683110109147362,0.0015529724699734544,0.06647094967279786,0.07022056546496087,5
CER,unpaired,event_ece,0.022232876636423822,0.005343255584379686,0.01623340181753332,0.03119822310990127,5
CER,unpaired,rna_auprc,0.8867542083004768,0.0037301937821948537,0.8810771787096154,0.8910683940483711,5
CER,unpaired,rna_auroc,0.9248416195006047,0.0012622690386241066,0.9227084893336759,0.9258478737294876,5
CER,unpaired,rna_brier,0.057563273004924385,0.0016871151916445428,0.05580209205404897,0.06006950818461202,5
CER,unpaired,rna_ece,0.09512007944644592,0.003272860261783159,0.09006051329252295,0.09986429002630672,5
CER,combined,event_auprc,0.7859561456242183,0.007000076721166315,0.7761215245730793,0.794255164377703,5
CER,combined,event_auroc,0.9219831652484654,0.001013520994199523,0.9209319242131275,0.9233274477750912,5
CER,combined,event_brier,0.06499454159770199,0.0013774513270100766,0.0631541733578428,0.06682567983222339,5
CER,combined,event_ece,0.02258364453021419,0.0027617044933729252,0.018384705349320036,0.02634235084176341,5
CER,combined,rna_auprc,0.8877213745258915,0.0013773385608931885,0.8858760211057121,0.8891086197384794,5
CER,combined,rna_auroc,0.9285891921287537,0.0011120535118177685,0.9265257081898655,0.9293824617076711,5
CER,combined,rna_brier,0.05682392885062332,0.0012091122531247378,0.05542338913732622,0.05837059459541896,5
