condition,track,scope,aggregation,metric,mean,population_sd,min,max,n
CER,combined,DIRECT,event_pooled,coverage,0.0,0.0,0.0,0.0,5
CER,combined,DIRECT,event_pooled,fp_removal,,,,,0
CER,combined,DIRECT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER,combined,DIRECT,event_pooled,modification_precision,,,,,0
CER,combined,DIRECT,event_pooled,opportunity_count,20610.0,0.0,20610.0,20610.0,5
CER,combined,DIRECT,event_pooled,removed_fp,0.0,0.0,0.0,0.0,5
CER,combined,DIRECT,event_pooled,tp_preservation,1.0,0.0,1.0,1.0,5
CER,combined,DIRECT,rna_balanced,coverage,0.0,0.0,0.0,0.0,5
CER,combined,DIRECT,rna_balanced,fp_removal,,,,,0
CER,combined,DIRECT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER,combined,DIRECT,rna_balanced,modification_precision,,,,,0
CER,combined,DIRECT,rna_balanced,removed_fp,0.0,0.0,0.0,0.0,5
CER,combined,DIRECT,rna_balanced,tp_preservation,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,coverage,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,fp_removal,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,lost_tp,0.0,0.0,0.0,0.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,modification_precision,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,opportunity_count,5978.0,0.0,5978.0,5978.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,removed_fp,5978.0,0.0,5978.0,5978.0,5
CER,combined,LOCAL_CONFLICT,event_pooled,tp_preservation,,,,,0
CER,combined,LOCAL_CONFLICT,rna_balanced,coverage,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,rna_balanced,fp_removal,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,rna_balanced,lost_tp,0.0,0.0,0.0,0.0,5
CER,combined,LOCAL_CONFLICT,rna_balanced,modification_precision,1.0,0.0,1.0,1.0,5
CER,combined,LOCAL_CONFLICT,rna_balanced,removed_fp,5978.0,0.0,5978.0,5978.0,5
CER,combined,LOCAL_CONFLICT,rna_balanced,tp_preservation,,,,,0
CER,combined,NON_EVIDENCED,event_pooled,coverage,0.0706976253298153,0.003194197105669628,0.0664872471416007,0.0749094107299912,5
CER,combined,NON_EVIDENCED,event_pooled,fp_removal,0.40470646743676103,0.015774818330334187,0.3795239279336302,0.42213531659018466,5
CER,combined,NON_EVIDENCED,event_pooled,lost_tp,2192.8,289.7829532598493,1793.0,2619.0,5
CER,combined,NON_EVIDENCED,event_pooled,modification_precision,0.8911699610709121,0.010776673013381711,0.8770018315878457,0.9088552257015047,5
CER,combined,NON_EVIDENCED,event_pooled,opportunity_count,284250.0,0.0,284250.0,284250.0,5
CER,combined,NON_EVIDENCED,event_pooled,removed_fp,17903.0,697.8306384789937,16789.0,18674.0,5
CER,combined,NON_EVIDENCED,event_pooled,tp_preservation,0.9908638282093053,0.0012073635730558236,0.9890880910617341,0.9925295713148871,5
CER,combined,NON_EVIDENCED,rna_balanced,coverage,0.07044298108591207,0.0025215220189320872,0.06644187773101069,0.07317019656455616,5
CER,combined,NON_EVIDENCED,rna_balanced,fp_removal,0.6315897193992708,0.010800689131670043,0.6142204795150114,0.6422521078603657,5
CER,combined,NON_EVIDENCED,rna_balanced,lost_tp,2192.8,289.7829532598493,1793.0,2619.0,5
CER,combined,NON_EVIDENCED,rna_balanced,modification_precision,0.9395946294318286,0.004277068624846255,0.9355767063963447,0.9476486099629972,5
CER,combined,NON_EVIDENCED,rna_balanced,removed_fp,17903.0,697.8306384789937,16789.0,18674.0,5
