condition,track,source,metric,mean,population_sd,min,max,n
CER,combined,rnafold,event_auprc,0.54335891468903,0.011382166815856402,0.5291786362901514,0.5582497275409907,5
CER,combined,rnafold,event_auroc,0.880628430794008,0.002132192630952679,0.8777509664844902,0.8839476782232241,5
CER,combined,rnafold,event_brier,0.07207976814723294,0.001545874443328987,0.06965118390215436,0.0739645045588631,5
CER,combined,rnafold,event_ece,0.021454981910962047,0.0023757570324530043,0.018003788981723435,0.02348402608930027,5
CER,combined,rnafold,rna_auprc,0.687578945263836,0.007059207301874198,0.675965337232386,0.6979733787835862,5
CER,combined,rnafold,rna_auroc,0.8150349240510909,0.004461520447669002,0.8083553913589928,0.8216586423677387,5
CER,combined,rnafold,rna_brier,0.06055296365946168,0.0010180203774282522,0.05914641749961287,0.061737719755392884,5
CER,combined,rnafold,rna_ece,0.10287981562769773,0.0018484225446975394,0.10024681228694386,0.10564163368707084,5
CER,combined,rnafold,event_tp_preservation,0.9911113150618928,0.0018255835139009097,0.9888031020913878,0.9926921885575963,5
CER,combined,rnafold,event_fp_removal,0.21036142612384762,0.01780928718627367,0.1874031165864404,0.2376601125887248,5
CER,combined,rnafold,event_modification_precision,0.7710518965286486,0.024003553643283968,0.7346383904295813,0.7975270479134466,5
CER,combined,rnafold,event_coverage,0.033726263276472476,0.003663912944965003,0.029570325072417122,0.03898455101383971,5
CER,combined,rnafold,event_delta_f1,0.007253438766959985,0.0005131317284018548,0.006668042308579425,0.007945031285807258,5
CER,combined,rnafold,event_lost_tp,774.8,159.13063815620174,637.0,976.0,5
CER,combined,rnafold,event_removed_fp,2578.4,218.28843304215638,2297.0,2913.0,5
CER,combined,rnafold,rna_tp_preservation,0.9931504331285262,0.0020156939789020916,0.990205682693879,0.9952723112212711,5
CER,combined,rnafold,rna_fp_removal,0.25591092430432477,0.01892773549563915,0.2338882886898761,0.2891673996387119,5
CER,combined,rnafold,rna_modification_precision,0.8603617880337333,0.029638072525851794,0.8182058274411876,0.9041519653880572,5
CER,combined,rnafold,rna_coverage,0.02653506534379581,0.0029147020813971546,0.022652229454529934,0.030483063400719917,5
CER,combined,rnafold,rna_delta_f1,0.004671941991126907,0.0006964092519694332,0.003338311936381515,0.005390365067461251,5
CER,combined,rnafold,rna_lost_tp,774.8,159.13063815620174,637.0,976.0,5
CER,combined,rnafold,rna_removed_fp,2578.4,218.28843304215638,2297.0,2913.0,5
CER,combined,petfold,event_auprc,0.6261266369058269,0.010677626667083823,0.6138421235215087,0.6423644476932696,5
CER,combined,petfold,event_auroc,0.895618983319762,0.0017291998070143315,0.8935088515399973,0.8982930757402393,5
CER,combined,petfold,event_brier,0.07100448346877139,0.001504491919651651,0.06864786137025979,0.07328243084948075,5
CER,combined,petfold,event_ece,0.02166580951572234,0.002205805709422192,0.019079282932341356,0.025319882696002646,5
CER,combined,petfold,rna_auprc,0.7547182016442255,0.003267142057670161,0.7509433987213678,0.7602235025894488,5
CER,combined,petfold,rna_auroc,0.8490478460351536,0.003400287506131039,0.8431003139333786,0.8536080065748087,5
CER,combined,petfold,rna_brier,0.06032652165322544,0.0009248268225076261,0.05910251535403729,0.06168322473220726,5
CER,combined,petfold,rna_ece,0.10235394492966407,0.0013908965067485105,0.09987218778005164,0.1041274045458138,5
CER,combined,petfold,event_tp_preservation,0.991864171864172,0.0016212299927434088,0.9898937398937399,0.9940632940632941,5
CER,combined,petfold,event_fp_removal,0.24894327030033372,0.019540813840944922,0.22639970337411938,0.2731924360400445,5
CER,combined,petfold,event_modification_precision,0.8280837635911954,0.019768112260531573,0.8080719456021057,0.8585191301954308,5
CER,combined,petfold,event_coverage,0.040587618048268624,0.003925830065623668,0.036306400839454356,0.04556038574926298,5
CER,combined,petfold,event_delta_f1,0.011016084265357695,0.0006203160272642124,0.0098301027377663,0.011526085983656564,5
CER,combined,petfold,event_lost_tp,704.4,140.36609277172317,514.0,875.0,5
CER,combined,petfold,event_removed_fp,3357.0,263.50787464514224,3053.0,3684.0,5
CER,combined,petfold,rna_tp_preservation,0.9939719673867486,0.0017502127827579836,0.9913639887229391,0.9956930179929112,5
CER,combined,petfold,rna_fp_removal,0.3154540281894339,0.020731220632394257,0.2949667053814209,0.34218016238888876,5
CER,combined,petfold,rna_modification_precision,0.8954425869238432,0.013927938253307487,0.8777961697292401,0.9183156629791203,5
CER,combined,petfold,rna_coverage,0.03164789528450697,0.002964102197297365,0.028552381216901804,0.03527938355116463,5
CER,combined,petfold,rna_delta_f1,0.007876876437802086,0.0004227447845243632,0.0072079491416223865,0.008279367954706488,5
CER,combined,petfold,rna_lost_tp,704.4,140.36609277172317,514.0,875.0,5
CER,combined,petfold,rna_removed_fp,3357.0,263.50787464514224,3053.0,3684.0,5
CER,combined,trrosettarna2_native_ss,event_auprc,0.9141250946301549,0.004365091676001748,0.9072457340439336,0.9199298119091124,5
CER,combined,trrosettarna2_native_ss,event_auroc,0.9565652688354195,0.0012399234890254195,0.9547172747199063,0.9585989797393722,5
CER,combined,trrosettarna2_native_ss,event_brier,0.05326721222978208,0.0015379115398521204,0.0513611543877081,0.05547368535929051,5
CER,combined,trrosettarna2_native_ss,event_ece,0.03825168273722514,0.003440990271517086,0.032509612621100054,0.04312474774969309,5
CER,combined,trrosettarna2_native_ss,rna_auprc,0.9283960485163611,0.0022474367982530945,0.9249944057890587,0.9312379558667653,5
CER,combined,trrosettarna2_native_ss,rna_auroc,0.954260402739927,0.0011353964772446747,0.9527864889239996,0.9559364630217558,5
CER,combined,trrosettarna2_native_ss,rna_brier,0.049573775871825536,0.0015361435204691944,0.04800001214260925,0.05162416257516222,5
CER,combined,trrosettarna2_native_ss,rna_ece,0.10701145927464029,0.00340971666322355,0.10361913038361188,0.11152491298936458,5
CER,combined,trrosettarna2_native_ss,event_tp_preservation,0.9917859938302869,0.001523562565641763,0.9898360882176895,0.9938993507988397,5
CER,combined,trrosettarna2_native_ss,event_fp_removal,0.7332815756139419,0.011515093016812734,0.7116822620847465,0.7463735545294815,5
CER,combined,trrosettarna2_native_ss,event_modification_precision,0.9617784893934589,0.006953099699980987,0.9533125363506583,0.9713931019593026,5
CER,combined,trrosettarna2_native_ss,event_coverage,0.1675740240145848,0.0026127435580081027,0.16357578424592947,0.17094001742269802,5
CER,combined,trrosettarna2_native_ss,event_delta_f1,0.07359835717234675,0.0016379890352578687,0.07062380522938505,0.07489452339476399,5
CER,combined,trrosettarna2_native_ss,event_lost_tp,713.6,132.36102145269203,530.0,883.0,5
CER,combined,trrosettarna2_native_ss,event_removed_fp,17945.6,281.8088714004582,17417.0,18266.0,5
CER,combined,trrosettarna2_native_ss,rna_tp_preservation,0.9949186951228958,0.0007975703678219753,0.9937414003732252,0.9961187864993446,5
CER,combined,trrosettarna2_native_ss,rna_fp_removal,0.799779784450426,0.0093791478816668,0.78477910258285,0.8135984480969025,5
CER,combined,trrosettarna2_native_ss,rna_modification_precision,0.9622739144503185,0.005711852000278289,0.9537996371553185,0.9679359340931944,5
CER,combined,trrosettarna2_native_ss,rna_coverage,0.1628789583371588,0.0019069294542429865,0.15933274002302047,0.16458022693705732,5
CER,combined,trrosettarna2_native_ss,rna_delta_f1,0.06580105279145092,0.0010922038487701502,0.06387129322806366,0.06682327139134626,5
CER,combined,trrosettarna2_native_ss,rna_lost_tp,713.6,132.36102145269203,530.0,883.0,5
CER,combined,trrosettarna2_native_ss,rna_removed_fp,17945.6,281.8088714004582,17417.0,18266.0,5
CER_EVIDENCE_MASKED,combined,rnafold,event_auprc,0.5190704262393553,0.010689211145661988,0.503792028261154,0.536354603017793,5
CER_EVIDENCE_MASKED,combined,rnafold,event_auroc,0.8715906990402962,0.0015903833595282966,0.8696007252277306,0.8740870818781004,5
CER_EVIDENCE_MASKED,combined,rnafold,event_brier,0.07437474961318065,0.0012913418037365074,0.07263813772091687,0.07565362593445986,5
CER_EVIDENCE_MASKED,combined,rnafold,event_ece,0.02428642082265034,0.004150345144408714,0.017500289193755562,0.02874643454905885,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_auprc,0.6903494970411843,0.006770093404319188,0.6830727643215789,0.7019890759366857,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_auroc,0.8004105969575672,0.0034918962745056773,0.7962594980860805,0.8062759249932552,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_brier,0.0626710243938506,0.0008952062469506651,0.06133724812432584,0.06387282573226692,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_ece,0.10949757747874109,0.0023311371970665363,0.10597761984712936,0.11227127196331202,5
CER_EVIDENCE_MASKED,combined,rnafold,event_tp_preservation,0.9915885598907843,0.002211582015887148,0.9881032959720996,0.9940803285647091,5
CER_EVIDENCE_MASKED,combined,rnafold,event_fp_removal,0.08752549563514726,0.01700605219112918,0.0602104919637758,0.11389410132985232,5
CER_EVIDENCE_MASKED,combined,rnafold,event_modification_precision,0.596474934569839,0.04786038135283737,0.5092285849503077,0.6506238859180036,5
CER_EVIDENCE_MASKED,combined,rnafold,event_coverage,0.018164628258770518,0.0035850629577876716,0.012612648857418732,0.022801335693595107,5
CER_EVIDENCE_MASKED,combined,rnafold,event_delta_f1,0.0006484602188102651,0.0009489237217582412,-0.001072913337307635,0.0015766534888428385,5
CER_EVIDENCE_MASKED,combined,rnafold,event_lost_tp,733.2,192.7769695788374,516.0,1037.0,5
CER_EVIDENCE_MASKED,combined,rnafold,event_removed_fp,1072.8,208.44318170667037,738.0,1396.0,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_tp_preservation,0.9938476330528057,0.0022192208385756564,0.9905638854519763,0.9967406596905608,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_fp_removal,0.11648299899149403,0.028212676693901297,0.07612244122299212,0.16358641444787583,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_modification_precision,0.6620268876913065,0.04350415333456359,0.6059889364550852,0.7355682997745687,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_coverage,0.013613556441420848,0.0032888802270011628,0.008309151177037358,0.017892168353995767,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_delta_f1,0.0005712995535546228,0.0009395619815681626,-0.001265074430275539,0.001306981730898588,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_lost_tp,733.2,192.7769695788374,516.0,1037.0,5
CER_EVIDENCE_MASKED,combined,rnafold,rna_removed_fp,1072.8,208.44318170667037,738.0,1396.0,5
CER_EVIDENCE_MASKED,combined,petfold,event_auprc,0.6053255281695813,0.008960045006094272,0.5901694604135355,0.6150248075427356,5
CER_EVIDENCE_MASKED,combined,petfold,event_auroc,0.8873037923694207,0.0012842218374633368,0.8848709126684655,0.8883990544835929,5
CER_EVIDENCE_MASKED,combined,petfold,event_brier,0.07347533159542148,0.0011033942850248036,0.07207401273228616,0.07506315619875707,5
CER_EVIDENCE_MASKED,combined,petfold,event_ece,0.02403768346288434,0.003630933002616644,0.016995951738809315,0.02688959628709428,5
CER_EVIDENCE_MASKED,combined,petfold,rna_auprc,0.7575958115695209,0.008125926547013365,0.7447669139011206,0.7667759246811563,5
CER_EVIDENCE_MASKED,combined,petfold,rna_auroc,0.8366356816366854,0.0017145767042073311,0.8347700575357331,0.8396274205184018,5
CER_EVIDENCE_MASKED,combined,petfold,rna_brier,0.06266310994384501,0.000722262493446751,0.061732691338375785,0.0638832392654048,5
CER_EVIDENCE_MASKED,combined,petfold,rna_ece,0.10904370506657597,0.0015855637157752174,0.10635054824080249,0.11069248566883483,5
CER_EVIDENCE_MASKED,combined,petfold,event_tp_preservation,0.9921044121044122,0.0022116338990086225,0.9882189882189882,0.9944444444444445,5
CER_EVIDENCE_MASKED,combined,petfold,event_fp_removal,0.1317315535780497,0.017255023486398534,0.10804597701149425,0.1532072673340749,5
CER_EVIDENCE_MASKED,combined,petfold,event_modification_precision,0.7263137048192848,0.03466238955308469,0.6694750486066104,0.7778290993071594,5
CER_EVIDENCE_MASKED,combined,petfold,event_coverage,0.024584020386748614,0.004058696603171795,0.01984709938539949,0.030839954029880576,5
CER_EVIDENCE_MASKED,combined,petfold,event_delta_f1,0.003992426243325098,0.0006229285118262887,0.0033597297073142407,0.0047526889964474295,5
CER_EVIDENCE_MASKED,combined,petfold,event_lost_tp,683.6,191.4832629761672,481.0,1020.0,5
CER_EVIDENCE_MASKED,combined,petfold,event_removed_fp,1776.4,232.6839917140842,1457.0,2066.0,5
CER_EVIDENCE_MASKED,combined,petfold,rna_tp_preservation,0.9944989248057212,0.0021291626910970975,0.9908091054760318,0.9969393619049404,5
CER_EVIDENCE_MASKED,combined,petfold,rna_fp_removal,0.19160854927824073,0.023555975707527054,0.16699753437104767,0.22944448775664744,5
CER_EVIDENCE_MASKED,combined,petfold,rna_modification_precision,0.7689106224567452,0.02384960831620534,0.738882282329229,0.8051797910568526,5
CER_EVIDENCE_MASKED,combined,petfold,rna_coverage,0.017800141196464687,0.003186997678312283,0.013504737941577083,0.02205487128263195,5
CER_EVIDENCE_MASKED,combined,petfold,rna_delta_f1,0.0033359040412679836,0.0007069469801165816,0.002044761158709684,0.004214144329078367,5
CER_EVIDENCE_MASKED,combined,petfold,rna_lost_tp,683.6,191.4832629761672,481.0,1020.0,5
CER_EVIDENCE_MASKED,combined,petfold,rna_removed_fp,1776.4,232.6839917140842,1457.0,2066.0,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_auprc,0.9064133626954163,0.0049333579848417075,0.8989888351361327,0.9132384921443341,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_auroc,0.9526103699382306,0.0014057679878766928,0.9510144822986893,0.9547562149689092,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_brier,0.05685641231930936,0.0013672129295613838,0.05491590915665375,0.05850045714043321,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_ece,0.0409455897111151,0.003320047857570307,0.03676705880127605,0.04641460921217597,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,rna_auprc,0.9275712518493329,0.0027362034221797902,0.9241627672251527,0.9308529127580881,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,rna_auroc,0.9500014120442076,0.0015242423810843339,0.9486278309992685,0.9528049861917699,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,rna_brier,0.052956931496374614,0.001397604913735765,0.05133408389770155,0.054887865422808886,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,rna_ece,0.11414892697792318,0.002973349099831931,0.11165758021085898,0.11934000514637255,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_tp_preservation,0.9919655601086607,0.0006844729843601773,0.9910216860813112,0.9926331783231273,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_fp_removal,0.6768683855677684,0.018957573818539946,0.6457728925754913,0.6970538961304295,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_modification_precision,0.9595449880229804,0.0034942183028691164,0.955354520354814,0.9634076615208691,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_coverage,0.1550350699153113,0.004174662458804847,0.14785943295404538,0.15904049430170006,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_delta_f1,0.06720734657265785,0.002203931670435141,0.06388557486490587,0.06978726675955294,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_lost_tp,698.0,59.464274989274024,640.0,780.0,5
CER_EVIDENCE_MASKED,combined,trrosettarna2_native_ss,event_removed_fp,16565.0,463.94870406112784,15804.0,17059.0,5
