condition,track,metric,mean,population_sd,min,max,n
CER,positive_pair,event_tp_preservation,0.9924793921359925,0.0011771847110184288,0.991003239765991,0.9943983902169944,5
CER,positive_pair,event_fp_removal,0.46582710779082176,0.017070308623839653,0.44046958377801493,0.4898185699039488,5
CER,positive_pair,event_modification_precision,0.9188150932138244,0.010182649642916911,0.9083280557314756,0.9365149247160341,5
CER,positive_pair,event_coverage,0.07808699996056212,0.0033796137515308203,0.07392630375054227,0.08302988076614652,5
CER,positive_pair,event_delta_f1,0.02959525786928221,0.000973859598945358,0.02786631715023824,0.030641576456062136,5
CER,positive_pair,event_lost_tp,968.0,151.51897570931504,721.0,1158.0,5
CER,positive_pair,event_removed_fp,10912.0,399.87197951344376,10318.0,11474.0,5
CER,positive_pair,rna_tp_preservation,0.9932211127674171,0.00192882040274985,0.9898527097315892,0.9954947863765317,5
CER,positive_pair,rna_fp_removal,0.6638970726817675,0.010563100246454264,0.6491911714763317,0.678959479284774,5
CER,positive_pair,rna_modification_precision,0.9589131768058019,0.007887119126271219,0.9496406935672902,0.9710951181817573,5
CER,positive_pair,rna_coverage,0.08031266342457491,0.002814931078462043,0.07643410269026066,0.08414718241302395,5
CER,positive_pair,rna_delta_f1,0.028314733206590413,0.0005452406865582147,0.027316971888748785,0.02886303946716621,5
CER,positive_pair,rna_lost_tp,968.0,151.51897570931504,721.0,1158.0,5
CER,positive_pair,rna_removed_fp,10912.0,399.87197951344376,10318.0,11474.0,5
CER,unpaired,event_tp_preservation,0.990714881358502,0.0015908345984187433,0.9888712000606474,0.9928587673413691,5
CER,unpaired,event_fp_removal,0.48409854423292276,0.014877526692213434,0.4646883165360209,0.5022023142963793,5
CER,unpaired,event_modification_precision,0.9140631243020663,0.012047586445215898,0.9001981009631805,0.9301446051167964,5
CER,unpaired,event_coverage,0.08943793320730939,0.003518062640460063,0.08497164461247637,0.09402646502835539,5
CER,unpaired,event_delta_f1,0.032666747349403114,0.0009065812545464013,0.03127575114337933,0.03399824690235265,5
