source_model,separation_bin,gt_pair_count,predicted_pair_count,tp_count,fp_count,fn_count,precision,recall,f1,fp_fraction_within_model,fn_fraction_within_model
rnafold,relative_q00_q25,428,473,347,126,81,0.733615221987315,0.8107476635514018,0.7702552719200888,0.5727272727272728,0.39901477832512317
rnafold,relative_q25_q50,412,390,348,42,64,0.8923076923076924,0.8446601941747572,0.8678304239401496,0.19090909090909092,0.31527093596059114
rnafold,relative_q50_q75,418,407,368,39,50,0.9041769041769042,0.8803827751196173,0.8921212121212121,0.17727272727272728,0.24630541871921183
rnafold,relative_q75_q90,251,250,243,7,8,0.972,0.9681274900398407,0.9700598802395209,0.031818181818181815,0.03940886699507389
rnafold,relative_q90_q100_long_range,167,173,167,6,0,0.9653179190751445,1.0,0.9823529411764705,0.02727272727272727,0.0
petfold,relative_q00_q25,428,474,344,130,84,0.7257383966244726,0.8037383177570093,0.7627494456762749,0.5394190871369294,0.39436619718309857
petfold,relative_q25_q50,412,396,345,51,67,0.8712121212121212,0.837378640776699,0.8539603960396039,0.21161825726141079,0.3145539906103286
petfold,relative_q50_q75,418,410,364,46,54,0.8878048780487805,0.8708133971291866,0.8792270531400966,0.1908713692946058,0.2535211267605634
petfold,relative_q75_q90,251,252,243,9,8,0.9642857142857143,0.9681274900398407,0.9662027833001988,0.03734439834024896,0.03755868544600939
petfold,relative_q90_q100_long_range,167,172,167,5,0,0.9709302325581395,1.0,0.9852507374631269,0.02074688796680498,0.0
trrosettarna2_native_ss,relative_q00_q25,428,551,345,206,83,0.6261343012704175,0.8060747663551402,0.7048008171603677,0.47685185185185186,0.386046511627907
trrosettarna2_native_ss,relative_q25_q50,412,444,342,102,70,0.7702702702702703,0.8300970873786407,0.7990654205607477,0.2361111111111111,0.32558139534883723
trrosettarna2_native_ss,relative_q50_q75,418,441,362,79,56,0.8208616780045351,0.8660287081339713,0.8428405122235157,0.18287037037037038,0.26046511627906976
trrosettarna2_native_ss,relative_q75_q90,251,275,245,30,6,0.8909090909090909,0.9760956175298805,0.9315589353612167,0.06944444444444445,0.027906976744186046
trrosettarna2_native_ss,relative_q90_q100_long_range,167,182,167,15,0,0.9175824175824175,1.0,0.9570200573065902,0.034722222222222224,0.0
