source_model,stem_state,structure_role,stem_count,stem_pair_count,mean_stem_median_sequence_separation,median_stem_median_sequence_separation,min_stem_median_sequence_separation,max_stem_median_sequence_separation,mean_stem_median_relative_separation,median_stem_median_relative_separation,min_stem_median_relative_separation,max_stem_median_relative_separation
petfold,exact,ground_truth,203,1059,22.600985221674875,15.0,5.0,214.0,0.5036063597219973,0.45714285714285713,0.04964539007092199,0.9596412556053812
petfold,exact,prediction,203,1059,22.600985221674875,15.0,5.0,214.0,0.5036063597219973,0.45714285714285713,0.04964539007092199,0.9596412556053812
petfold,isolated_complex_mismatch,ground_truth,1,2,34.0,34.0,34.0,34.0,0.5074626865671641,0.5074626865671641,0.5074626865671641,0.5074626865671641
petfold,isolated_complex_mismatch,prediction,1,2,36.0,36.0,36.0,36.0,0.5373134328358209,0.5373134328358209,0.5373134328358209,0.5373134328358209
petfold,stem_extension,ground_truth,42,216,23.904761904761905,19.0,6.0,108.0,0.5358099913084093,0.5531914893617021,0.04932735426008968,0.9818181818181818
petfold,stem_extension,prediction,42,265,23.976190476190474,18.0,6.0,107.0,0.5316547783134925,0.5638297872340425,0.053811659192825115,0.9727272727272727
petfold,stem_missing,ground_truth,48,166,36.854166666666664,21.5,5.0,201.0,0.3473476299546682,0.29752493882928666,0.03587443946188341,0.9013452914798207
petfold,stem_shift,ground_truth,2,7,15.0,15.0,15.0,15.0,0.14420448332422087,0.14420448332422087,0.1271186440677966,0.16129032258064516
petfold,stem_shift,prediction,2,12,14.0,14.0,13.0,15.0,0.13345179515217787,0.13345179515217787,0.1271186440677966,0.13978494623655913
petfold,stem_truncation,ground_truth,4,19,20.0,16.5,8.0,39.0,0.20726037928878038,0.20094086021505375,0.17391304347826086,0.2532467532467532
petfold,stem_truncation,prediction,4,15,20.0,16.5,9.0,38.0,0.21028773509488796,0.19997662459093035,0.19444444444444445,0.24675324675324672
petfold,unmatched_predicted_stem,prediction,44,149,19.84090909090909,13.0,6.0,90.0,0.23695078084627796,0.17479248163343192,0.04035874439461883,0.7634408602150538
rnafold,exact,ground_truth,227,1176,23.63876651982379,17.0,5.0,214.0,0.5096047146528725,0.4642857142857143,0.04964539007092199,0.9642857142857143
rnafold,exact,prediction,227,1176,23.63876651982379,17.0,5.0,214.0,0.5096047146528725,0.4642857142857143,0.04964539007092199,0.9642857142857143
rnafold,isolated_complex_mismatch,ground_truth,1,2,34.0,34.0,34.0,34.0,0.5074626865671641,0.5074626865671641,0.5074626865671641,0.5074626865671641
rnafold,isolated_complex_mismatch,prediction,1,2,36.0,36.0,36.0,36.0,0.5373134328358209,0.5373134328358209,0.5373134328358209,0.5373134328358209
rnafold,stem_extension,ground_truth,44,225,23.363636363636363,17.5,6.0,108.0,0.522243013471164,0.5186567164179104,0.04932735426008968,0.9818181818181818
rnafold,stem_extension,prediction,44,275,23.40909090909091,17.5,6.0,107.0,0.5169395718441204,0.511712271973466,0.053811659192825115,0.9727272727272727
rnafold,stem_missing,ground_truth,46,161,37.71739130434783,22.0,5.0,201.0,0.35036886440762527,0.29752493882928666,0.03587443946188341,0.9013452914798207
rnafold,stem_shift,ground_truth,2,7,15.0,15.0,15.0,15.0,0.14420448332422087,0.14420448332422087,0.1271186440677966,0.16129032258064516
rnafold,stem_shift,prediction,2,12,14.0,14.0,13.0,15.0,0.13345179515217787,0.13345179515217787,0.1271186440677966,0.13978494623655913
rnafold,stem_truncation,ground_truth,5,28,19.2,16.0,8.0,39.0,0.2254203043333478,0.20833333333333331,0.14545454545454545,0.34615384615384615
rnafold,stem_truncation,prediction,5,23,19.0,15.0,9.0,38.0,0.2277196233717973,0.1956521739130435,0.13636363636363635,0.3653846153846154
rnafold,unmatched_predicted_stem,prediction,42,145,23.047619047619047,14.5,5.0,128.0,0.25259108562780197,0.16530054644808745,0.04035874439461883,0.9090909090909092
trrosettarna2_native_ss,exact,ground_truth,112,619,29.660714285714285,23.5,5.0,214.0,0.6135269820913184,0.6988899167437558,0.04964539007092199,0.9596412556053812
trrosettarna2_native_ss,exact,prediction,112,619,29.660714285714285,23.5,5.0,214.0,0.6135269820913184,0.6988899167437558,0.04964539007092199,0.9596412556053812
trrosettarna2_native_ss,isolated_complex_mismatch,ground_truth,5,28,11.4,11.0,9.0,15.0,0.35208769307424015,0.3571428571428571,0.04932735426008968,0.6111111111111112
trrosettarna2_native_ss,isolated_complex_mismatch,prediction,5,32,11.8,13.0,7.0,14.0,0.35604811730372266,0.3333333333333333,0.06278026905829596,0.7222222222222222
trrosettarna2_native_ss,stem_extension,ground_truth,103,494,20.902912621359224,11.0,6.0,190.0,0.43222917369531233,0.3103448275862069,0.07142857142857142,0.9818181818181818
trrosettarna2_native_ss,stem_extension,prediction,103,647,20.446601941747574,10.0,5.0,188.0,0.41403914664067054,0.3076923076923077,0.06363636363636363,0.9727272727272727
trrosettarna2_native_ss,stem_missing,ground_truth,40,155,33.2,21.5,6.0,201.0,0.3352394095222135,0.32307692307692304,0.03587443946188341,0.9013452914798207
trrosettarna2_native_ss,stem_shift,ground_truth,6,40,16.666666666666668,15.5,12.0,26.0,0.3452959896258234,0.35620155038759693,0.0851063829787234,0.5531914893617021
trrosettarna2_native_ss,stem_shift,prediction,6,22,16.5,15.0,12.0,26.0,0.34364582460932175,0.35620155038759693,0.0851063829787234,0.5531914893617021
trrosettarna2_native_ss,stem_truncation,ground_truth,1,4,15.0,15.0,15.0,15.0,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331
trrosettarna2_native_ss,stem_truncation,prediction,1,3,14.0,14.0,14.0,14.0,0.19444444444444445,0.19444444444444445,0.19444444444444445,0.19444444444444445
trrosettarna2_native_ss,unmatched_predicted_stem,prediction,36,128,20.72222222222222,8.5,2.0,111.0,0.33074278669839846,0.18412942989214176,0.014184397163120567,0.9406779661016949
