source_model,separation_bin,false_positive_pair_count,wrong_partner_count,pure_false_positive_count,wrong_partner_fraction_within_bin_fp,wrong_partner_fraction_within_model_wrong_partner,pure_fp_fraction_within_model_pure_fp
rnafold,relative_q00_q25,126,87,39,0.6904761904761905,0.6692307692307692,0.43333333333333335
rnafold,relative_q25_q50,42,22,20,0.5238095238095238,0.16923076923076924,0.2222222222222222
rnafold,relative_q50_q75,39,18,21,0.46153846153846156,0.13846153846153847,0.23333333333333334
rnafold,relative_q75_q90,7,3,4,0.42857142857142855,0.023076923076923078,0.044444444444444446
rnafold,relative_q90_q100_long_range,6,0,6,0.0,0.0,0.06666666666666667
petfold,relative_q00_q25,130,89,41,0.6846153846153846,0.6544117647058824,0.3904761904761905
petfold,relative_q25_q50,51,25,26,0.49019607843137253,0.18382352941176472,0.24761904761904763
petfold,relative_q50_q75,46,20,26,0.43478260869565216,0.14705882352941177,0.24761904761904763
petfold,relative_q75_q90,9,2,7,0.2222222222222222,0.014705882352941176,0.06666666666666667
petfold,relative_q90_q100_long_range,5,0,5,0.0,0.0,0.047619047619047616
trrosettarna2_native_ss,relative_q00_q25,206,77,129,0.3737864077669903,0.4556213017751479,0.49049429657794674
trrosettarna2_native_ss,relative_q25_q50,102,28,74,0.27450980392156865,0.16568047337278108,0.2813688212927757
trrosettarna2_native_ss,relative_q50_q75,79,32,47,0.4050632911392405,0.1893491124260355,0.17870722433460076
trrosettarna2_native_ss,relative_q75_q90,30,22,8,0.7333333333333333,0.1301775147928994,0.030418250950570342
trrosettarna2_native_ss,relative_q90_q100_long_range,15,10,5,0.6666666666666666,0.05917159763313609,0.019011406844106463
