evidence_channel,density_percent,manifest_count,rna_count,evidence_seed_count,selected_items_all_seeds,selected_items_per_seed,minimum_one_manifest_count,minimum_one_rna_count_per_seed,zero_universe_manifest_count
POSITIVE_PAIR_EVIDENCE,0,605,121,5,0,0,0,0,0
POSITIVE_PAIR_EVIDENCE,1,605,121,5,605,121,595,119,0
POSITIVE_PAIR_EVIDENCE,5,605,121,5,650,130,265,53,0
POSITIVE_PAIR_EVIDENCE,10,605,121,5,900,180,5,1,0
POSITIVE_PAIR_EVIDENCE,20,605,121,5,1690,338,0,0,0
POSITIVE_PAIR_EVIDENCE,50,605,121,5,4375,875,0,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,605,121,5,0,0,0,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,605,121,5,605,121,595,119,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,605,121,5,670,134,240,48,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,605,121,5,925,185,20,4,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,605,121,5,1665,333,0,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,605,121,5,4365,873,0,0,0
