evidence_channel,density_percent,evidence_seed,rna_count,actual_item_count,mean_items_per_rna,min_items_per_rna,max_items_per_rna,minimum_one_rna_count,zero_item_rna_count
POSITIVE_PAIR_EVIDENCE,0,101,121,0,0.0,0,0,0,121
POSITIVE_PAIR_EVIDENCE,0,103,121,0,0.0,0,0,0,121
POSITIVE_PAIR_EVIDENCE,0,107,121,0,0.0,0,0,0,121
POSITIVE_PAIR_EVIDENCE,0,109,121,0,0.0,0,0,0,121
POSITIVE_PAIR_EVIDENCE,0,113,121,0,0.0,0,0,0,121
POSITIVE_PAIR_EVIDENCE,1,101,121,121,1.0,1,1,119,0
POSITIVE_PAIR_EVIDENCE,1,103,121,121,1.0,1,1,119,0
POSITIVE_PAIR_EVIDENCE,1,107,121,121,1.0,1,1,119,0
POSITIVE_PAIR_EVIDENCE,1,109,121,121,1.0,1,1,119,0
POSITIVE_PAIR_EVIDENCE,1,113,121,121,1.0,1,1,119,0
POSITIVE_PAIR_EVIDENCE,5,101,121,130,1.0743801652892562,1,3,53,0
POSITIVE_PAIR_EVIDENCE,5,103,121,130,1.0743801652892562,1,3,53,0
POSITIVE_PAIR_EVIDENCE,5,107,121,130,1.0743801652892562,1,3,53,0
POSITIVE_PAIR_EVIDENCE,5,109,121,130,1.0743801652892562,1,3,53,0
POSITIVE_PAIR_EVIDENCE,5,113,121,130,1.0743801652892562,1,3,53,0
POSITIVE_PAIR_EVIDENCE,10,101,121,180,1.487603305785124,1,6,1,0
POSITIVE_PAIR_EVIDENCE,10,103,121,180,1.487603305785124,1,6,1,0
POSITIVE_PAIR_EVIDENCE,10,107,121,180,1.487603305785124,1,6,1,0
POSITIVE_PAIR_EVIDENCE,10,109,121,180,1.487603305785124,1,6,1,0
POSITIVE_PAIR_EVIDENCE,10,113,121,180,1.487603305785124,1,6,1,0
POSITIVE_PAIR_EVIDENCE,20,101,121,338,2.793388429752066,1,12,0,0
POSITIVE_PAIR_EVIDENCE,20,103,121,338,2.793388429752066,1,12,0,0
POSITIVE_PAIR_EVIDENCE,20,107,121,338,2.793388429752066,1,12,0,0
POSITIVE_PAIR_EVIDENCE,20,109,121,338,2.793388429752066,1,12,0,0
POSITIVE_PAIR_EVIDENCE,20,113,121,338,2.793388429752066,1,12,0,0
POSITIVE_PAIR_EVIDENCE,50,101,121,875,7.231404958677686,2,30,0,0
POSITIVE_PAIR_EVIDENCE,50,103,121,875,7.231404958677686,2,30,0,0
POSITIVE_PAIR_EVIDENCE,50,107,121,875,7.231404958677686,2,30,0,0
POSITIVE_PAIR_EVIDENCE,50,109,121,875,7.231404958677686,2,30,0,0
POSITIVE_PAIR_EVIDENCE,50,113,121,875,7.231404958677686,2,30,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,121,0,0.0,0,0,0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,121,0,0.0,0,0,0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,121,0,0.0,0,0,0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,109,121,0,0.0,0,0,0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,113,121,0,0.0,0,0,0,121
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,101,121,121,1.0,1,1,119,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,103,121,121,1.0,1,1,119,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,107,121,121,1.0,1,1,119,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,109,121,121,1.0,1,1,119,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,113,121,121,1.0,1,1,119,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,101,121,134,1.1074380165289257,1,5,48,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,103,121,134,1.1074380165289257,1,5,48,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,107,121,134,1.1074380165289257,1,5,48,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,109,121,134,1.1074380165289257,1,5,48,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,113,121,134,1.1074380165289257,1,5,48,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,101,121,185,1.5289256198347108,1,10,4,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,103,121,185,1.5289256198347108,1,10,4,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,107,121,185,1.5289256198347108,1,10,4,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,109,121,185,1.5289256198347108,1,10,4,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,113,121,185,1.5289256198347108,1,10,4,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,101,121,333,2.7520661157024793,1,21,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,103,121,333,2.7520661157024793,1,21,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,107,121,333,2.7520661157024793,1,21,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,109,121,333,2.7520661157024793,1,21,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,113,121,333,2.7520661157024793,1,21,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,101,121,873,7.214876033057851,2,52,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,103,121,873,7.214876033057851,2,52,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,107,121,873,7.214876033057851,2,52,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,109,121,873,7.214876033057851,2,52,0,0
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,113,121,873,7.214876033057851,2,52,0,0
