condition,evidence_channel,density_percent,source_model,scope,scope_domain,scope_universe_pair_count_mean,scope_universe_pair_count_std,scope_universe_pair_count_min,scope_universe_pair_count_max,direct_evidence_item_count_mean,direct_evidence_item_count_std,direct_evidence_item_count_min,direct_evidence_item_count_max,direct_compliant_before_count_mean,direct_compliant_before_count_std,direct_compliant_before_count_min,direct_compliant_before_count_max,direct_compliant_after_count_mean,direct_compliant_after_count_std,direct_compliant_after_count_min,direct_compliant_after_count_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,micro_precision_mean,micro_precision_std,micro_precision_min,micro_precision_max,micro_recall_mean,micro_recall_std,micro_recall_min,micro_recall_max,micro_f1_mean,micro_f1_std,micro_f1_min,micro_f1_max,macro_delta_f1_mean,macro_delta_f1_std,macro_delta_f1_min,macro_delta_f1_max,micro_delta_f1_mean,micro_delta_f1_std,micro_delta_f1_min,micro_delta_f1_max,beneficial_edits_mean,beneficial_edits_std,beneficial_edits_min,beneficial_edits_max,harmful_edits_mean,harmful_edits_std,harmful_edits_min,harmful_edits_max,modified_pair_count_mean,modified_pair_count_std,modified_pair_count_min,modified_pair_count_max,correct_pair_preservation_mean,correct_pair_preservation_std,correct_pair_preservation_min,correct_pair_preservation_max
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,petfold,DIRECT_EVIDENCE_EFFECT,pair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,petfold,LOCAL_CONFLICT_EFFECT,pair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,petfold,NON_EVIDENCED_EFFECT,pair,1917.0,0.0,1917.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,rnafold,DIRECT_EVIDENCE_EFFECT,pair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,rnafold,LOCAL_CONFLICT_EFFECT,pair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,rnafold,NON_EVIDENCED_EFFECT,pair,1896.0,0.0,1896.0,1896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,pair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,pair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,pair,2108.0,0.0,2108.0,2108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,petfold,DIRECT_EVIDENCE_EFFECT,pair,121.0,0.0,121.0,121.0,121.0,0.0,121.0,121.0,111.4,1.2,110.0,113.0,111.4,1.2,110.0,113.0,0.9206611570247933,0.009917355371900844,0.9090909090909091,0.9338842975206612,0.9206611570247933,0.009917355371900844,0.9090909090909091,0.9338842975206612,0.9206611570247933,0.009917355371900844,0.9090909090909091,0.9338842975206612,1.0,0.0,1.0,1.0,0.9206611570247933,0.009917355371900844,0.9090909090909091,0.9338842975206612,0.9586641303379502,0.005380118666376076,0.9523809523809523,0.9658119658119658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
