condition,evidence_channel,density_percent,evidence_seed,source_model,actual_evidence_item_count,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,petfold,121,110,110,0.9090909090909091,0.9090909090909091,0,0,9,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,rnafold,121,113,113,0.9338842975206612,0.9338842975206612,0,0,4,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,trrosettarna2_native_ss,121,111,111,0.9173553719008265,0.9173553719008265,0,0,18,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,petfold,121,112,112,0.9256198347107438,0.9256198347107438,0,0,7,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,rnafold,121,112,112,0.9256198347107438,0.9256198347107438,0,0,7,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,trrosettarna2_native_ss,121,110,110,0.9090909090909091,0.9090909090909091,0,0,18,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,petfold,121,113,113,0.9338842975206612,0.9338842975206612,0,0,4,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,rnafold,121,113,113,0.9338842975206612,0.9338842975206612,0,0,4,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,trrosettarna2_native_ss,121,113,113,0.9338842975206612,0.9338842975206612,0,0,15,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,petfold,121,112,112,0.9256198347107438,0.9256198347107438,0,0,8,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,rnafold,121,112,112,0.9256198347107438,0.9256198347107438,0,0,8,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,trrosettarna2_native_ss,121,113,113,0.9338842975206612,0.9338842975206612,0,0,16,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,petfold,121,110,110,0.9090909090909091,0.9090909090909091,0,0,7,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,rnafold,121,111,111,0.9173553719008265,0.9173553719008265,0,0,6,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,trrosettarna2_native_ss,121,109,109,0.9008264462809917,0.9008264462809917,0,0,20,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,101,petfold,130,116,116,0.8923076923076924,0.8923076923076924,0,0,10,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,101,rnafold,130,116,116,0.8923076923076924,0.8923076923076924,0,0,11,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,101,trrosettarna2_native_ss,130,114,114,0.8769230769230769,0.8769230769230769,0,0,20,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,103,petfold,130,120,120,0.9230769230769231,0.9230769230769231,0,0,8,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,103,rnafold,130,120,120,0.9230769230769231,0.9230769230769231,0,0,6,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,103,trrosettarna2_native_ss,130,117,117,0.9,0.9,0,0,15,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,107,petfold,130,119,119,0.9153846153846154,0.9153846153846154,0,0,10,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,107,rnafold,130,119,119,0.9153846153846154,0.9153846153846154,0,0,9,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,107,trrosettarna2_native_ss,130,119,119,0.9153846153846154,0.9153846153846154,0,0,16,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,109,petfold,130,117,117,0.9,0.9,0,0,8,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,109,rnafold,130,118,118,0.9076923076923077,0.9076923076923077,0,0,8,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,109,trrosettarna2_native_ss,130,120,120,0.9230769230769231,0.9230769230769231,0,0,14,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,petfold,130,111,111,0.8538461538461538,0.8538461538461538,0,0,16,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,rnafold,130,110,110,0.8461538461538461,0.8461538461538461,0,0,14,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,trrosettarna2_native_ss,130,117,117,0.9,0.9,0,0,18,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,petfold,180,165,165,0.9166666666666666,0.9166666666666666,0,0,15,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,rnafold,180,165,165,0.9166666666666666,0.9166666666666666,0,0,14,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,101,trrosettarna2_native_ss,180,161,161,0.8944444444444445,0.8944444444444445,0,0,29,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,petfold,180,160,160,0.8888888888888888,0.8888888888888888,0,0,14,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,rnafold,180,162,162,0.9,0.9,0,0,13,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,103,trrosettarna2_native_ss,180,157,157,0.8722222222222222,0.8722222222222222,0,0,29,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,petfold,180,158,158,0.8777777777777778,0.8777777777777778,0,0,17,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,107,rnafold,180,159,159,0.8833333333333333,0.8833333333333333,0,0,15,0,0.0
