condition,evidence_channel,density_percent,evidence_seed,source_model,rna_count,actual_evidence_item_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_precision,macro_delta_recall,macro_delta_f1,micro_delta_precision,micro_delta_recall,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,modification_precision,correct_pair_preservation,modified_rna_count,modified_rna_fraction,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate,non_evidenced_changed_pair_count
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,petfold,121,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,rnafold,121,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,trrosettarna2_native_ss,121,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,petfold,121,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,rnafold,121,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,trrosettarna2_native_ss,121,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,petfold,121,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,rnafold,121,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,107,trrosettarna2_native_ss,121,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,petfold,121,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,rnafold,121,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,109,trrosettarna2_native_ss,121,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,petfold,121,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,rnafold,121,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,113,trrosettarna2_native_ss,121,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,0,0,,,0,0,0,0,,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,petfold,121,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,110,110,0.9090909090909091,0.9090909090909091,0,0,9,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,rnafold,121,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,113,113,0.9338842975206612,0.9338842975206612,0,0,4,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,101,trrosettarna2_native_ss,121,121,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,111,111,0.9173553719008265,0.9173553719008265,0,0,18,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,petfold,121,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,112,112,0.9256198347107438,0.9256198347107438,0,0,7,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,rnafold,121,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,112,112,0.9256198347107438,0.9256198347107438,0,0,7,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,103,trrosettarna2_native_ss,121,121,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,110,110,0.9090909090909091,0.9090909090909091,0,0,18,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,petfold,121,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,113,113,0.9338842975206612,0.9338842975206612,0,0,4,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,rnafold,121,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,113,113,0.9338842975206612,0.9338842975206612,0,0,4,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,107,trrosettarna2_native_ss,121,121,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,113,113,0.9338842975206612,0.9338842975206612,0,0,15,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,petfold,121,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,112,112,0.9256198347107438,0.9256198347107438,0,0,8,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,rnafold,121,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,112,112,0.9256198347107438,0.9256198347107438,0,0,8,0,0.0,0
