density_percent,evidence_seed,source_model,rna_count,actual_evidence_item_count,directly_inserted_pair_count,full_macro_delta_f1,local_only_macro_delta_f1,direct_insertion_macro_f1_contribution,direct_fraction_of_macro_f1_gain,full_micro_delta_f1,local_only_micro_delta_f1,direct_insertion_micro_f1_contribution,direct_fraction_of_micro_f1_gain
0,101,petfold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,101,rnafold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,101,trrosettarna2_native_ss,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,103,petfold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,103,rnafold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,103,trrosettarna2_native_ss,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,107,petfold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,107,rnafold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,107,trrosettarna2_native_ss,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,109,petfold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,109,rnafold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,109,trrosettarna2_native_ss,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,113,petfold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,113,rnafold,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
0,113,trrosettarna2_native_ss,121,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,
1,101,petfold,121,121,11,0.006822796345960724,0.0011925764380846804,0.005630219907876044,0.825207088470299,0.005993092564534064,0.0023112204866078123,0.0036818720779262515,0.6143526131591629
1,101,rnafold,121,121,8,0.0049860983484900645,0.0002494506854218148,0.00473664766306825,0.9499707651179091,0.0037065597924327287,0.0010394573016715425,0.0026671024907611862,0.7195627860115229
1,101,trrosettarna2_native_ss,121,121,10,0.005257893143565284,0.0005332221017233518,0.004724671041841932,0.8985863563286903,0.0074556961019367485,0.004150070710431719,0.0033056253915050293,0.4433691162179122
1,103,petfold,121,121,9,0.0049131335270045096,0.0010457527360392405,0.003867380790965269,0.7871515743890588,0.004810360453357254,0.0017965500485056518,0.0030138104048516023,0.6265248590151283
1,103,rnafold,121,121,9,0.004922318814928994,0.0010514064391238254,0.003870912375805169,0.7864001746626011,0.004820858228993696,0.0018206734637770117,0.0030001847652166846,0.6223341618247383
1,103,trrosettarna2_native_ss,121,121,11,0.0073127427859425165,0.0017973701732473257,0.005515372612695191,0.7542139487385692,0.007785237813481838,0.004150070710431719,0.0036351671030501187,0.46693077207674166
1,107,petfold,121,121,8,0.006020578538414978,0.0007419237058160499,0.005278654832598928,0.8767687023627178,0.003704869416817025,0.0010256877646597218,0.002679181652157303,0.7231514395611481
1,107,rnafold,121,121,8,0.0060236799482698,0.0007426080560940518,0.005281071892175748,0.8767185404152568,0.0037065597924327287,0.0010394573016715425,0.0026671024907611862,0.7195627860115229
1,107,trrosettarna2_native_ss,121,121,8,0.005861840325653511,0.0008879578603514515,0.00497388246530206,0.8485189273297961,0.006100790873560413,0.003455472963032946,0.002645317910527467,0.4336024566899575
1,109,petfold,121,121,9,0.0053641988326885714,0.0009321061075961978,0.004432092725092374,0.8262357275207451,0.005067825946946769,0.0020538089522486036,0.0030140169946981654,0.5947356965789307
1,109,rnafold,121,121,9,0.005381520646419502,0.0009603395075903354,0.004421181138829167,0.8215486717068938,0.0050817675207622814,0.0020813887653226004,0.003000378755439681,0.5904203100951014
1,109,trrosettarna2_native_ss,121,121,8,0.004398406648248421,0.00036752760524283445,0.004030879043005586,0.9164407398781113,0.006332416124402385,0.00368687521474631,0.0026455409096560745,0.4177774893000647
1,113,petfold,121,121,11,0.00807939956951298,0.0015185933944900087,0.006560806175022971,0.812041305616285,0.005477919062207071,0.0017965500485056518,0.0036813690137014188,0.6720378618040741
1,113,rnafold,121,121,10,0.007582351327765302,0.00134781177449117,0.006234539553274132,0.8222435605752388,0.00489244772602293,0.001560113211473979,0.0033323345145489514,0.6811180621970192
1,113,trrosettarna2_native_ss,121,121,12,0.007378022780771265,0.0019659635492568217,0.005412059231514443,0.7335378857353828,0.008578976079471223,0.004613788263593155,0.0039651878158780685,0.46219825992596403
5,101,petfold,121,130,14,0.007152011199140107,0.0009527809101076423,0.006199230289032465,0.86678140126204,0.007250968707597116,0.0025687847874562575,0.004682183920140859,0.6457321923393706
5,101,rnafold,121,130,14,0.006946817906802849,0.0007552653709318458,0.006191552535871003,0.891278945113527,0.007525702738703011,0.00286446635060833,0.0046612363880946805,0.6193755653040853
5,101,trrosettarna2_native_ss,121,130,16,0.006273363934919174,0.0005769031947990833,0.005696460740120091,0.9080392591942753,0.009894773326647566,0.004613788263593155,0.005280985063054411,0.5337146075728906
5,103,petfold,121,130,10,0.005656417872536679,0.0008467958299794853,0.004809622042557193,0.8502946831260663,0.005401726508945659,0.0020538089522486036,0.0033479175566970554,0.6197865721547835
5,103,rnafold,121,130,10,0.005530680069461891,0.0007338500359328481,0.004796830033529043,0.8673128753216333,0.00489244772602293,0.001560113211473979,0.0033323345145489514,0.6811180621970192
5,103,trrosettarna2_native_ss,121,130,13,0.005199411673968646,0.00026862365437885227,0.0049307880195897935,0.9483357596545504,0.007748088997686864,0.003455472963032946,0.004292616034653918,0.5540225513588508
5,107,petfold,121,130,11,0.00588816619580812,0.0008637007124239204,0.0050244654833841995,0.8533158399912688,0.006250907875370304,0.0025687847874562575,0.0036821230879140465,0.5890541280287094
5,107,rnafold,121,130,11,0.005855810642573234,0.0008364003419892851,0.0050194103005839485,0.8571674541679265,0.006007449744864335,0.002342259254547785,0.00366519049031655,0.6101075574456296
5,107,trrosettarna2_native_ss,121,130,11,0.005927035783451218,0.0007635876957950982,0.0051634480876561195,0.8711687049490912,0.007321431996877958,0.00368687521474631,0.0036345567821316482,0.4964270355418877
5,109,petfold,121,130,13,0.006504913178704941,0.000791284104077139,0.005713629074627802,0.8783559315337894,0.0064022445001878925,0.0020538089522486036,0.004348435547939289,0.6792048550803818
5,109,rnafold,121,130,12,0.006047774617150226,0.0007824726252517733,0.005265301991898452,0.870618090986254,0.006078335659613243,0.0020813887653226004,0.003996946894290643,0.6575725853456674
