condition,evidence_channel,density_percent,source_model,actual_evidence_item_count_mean,actual_evidence_item_count_std,actual_evidence_item_count_min,actual_evidence_item_count_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,micro_precision_mean,micro_precision_std,micro_precision_min,micro_precision_max,micro_recall_mean,micro_recall_std,micro_recall_min,micro_recall_max,micro_f1_mean,micro_f1_std,micro_f1_min,micro_f1_max,macro_delta_precision_mean,macro_delta_precision_std,macro_delta_precision_min,macro_delta_precision_max,macro_delta_recall_mean,macro_delta_recall_std,macro_delta_recall_min,macro_delta_recall_max,macro_delta_f1_mean,macro_delta_f1_std,macro_delta_f1_min,macro_delta_f1_max,micro_delta_precision_mean,micro_delta_precision_std,micro_delta_precision_min,micro_delta_precision_max,micro_delta_recall_mean,micro_delta_recall_std,micro_delta_recall_min,micro_delta_recall_max,micro_delta_f1_mean,micro_delta_f1_std,micro_delta_f1_min,micro_delta_f1_max,beneficial_edits_mean,beneficial_edits_std,beneficial_edits_min,beneficial_edits_max,harmful_edits_mean,harmful_edits_std,harmful_edits_min,harmful_edits_max,modified_pair_count_mean,modified_pair_count_std,modified_pair_count_min,modified_pair_count_max,modification_precision_mean,modification_precision_std,modification_precision_min,modification_precision_max,correct_pair_preservation_mean,correct_pair_preservation_std,correct_pair_preservation_min,correct_pair_preservation_max,modified_rna_fraction_mean,modified_rna_fraction_std,modified_rna_fraction_min,modified_rna_fraction_max,evidence_compliance_before_mean,evidence_compliance_before_std,evidence_compliance_before_min,evidence_compliance_before_max,evidence_compliance_after_mean,evidence_compliance_after_std,evidence_compliance_after_min,evidence_compliance_after_max,direct_recovery_count_mean,direct_recovery_count_std,direct_recovery_count_min,direct_recovery_count_max,directly_inserted_pair_count_mean,directly_inserted_pair_count_std,directly_inserted_pair_count_min,directly_inserted_pair_count_max,local_conflicting_pairs_before_mean,local_conflicting_pairs_before_std,local_conflicting_pairs_before_min,local_conflicting_pairs_before_max,local_conflicting_pairs_removed_mean,local_conflicting_pairs_removed_std,local_conflicting_pairs_removed_min,local_conflicting_pairs_removed_max,local_conflict_correction_rate_mean,local_conflict_correction_rate_std,local_conflict_correction_rate_min,local_conflict_correction_rate_max,non_evidenced_changed_pair_count_mean,non_evidenced_changed_pair_count_std,non_evidenced_changed_pair_count_min,non_evidenced_changed_pair_count_max
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,petfold,0.0,0.0,0.0,0.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,rnafold,0.0,0.0,0.0,0.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,trrosettarna2_native_ss,0.0,0.0,0.0,0.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,petfold,121.0,0.0,121.0,121.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9206611570247933,0.009917355371900844,0.9090909090909091,0.9338842975206612,0.9206611570247933,0.009917355371900844,0.9090909090909091,0.9338842975206612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.6733200530681511,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,rnafold,121.0,0.0,121.0,121.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9272727272727274,0.006184557664089139,0.9173553719008265,0.9338842975206612,0.9272727272727274,0.006184557664089139,0.9173553719008265,0.9338842975206612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.6,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,trrosettarna2_native_ss,121.0,0.0,121.0,121.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9190082644628099,0.013223140495867772,0.9008264462809917,0.9338842975206612,0.9190082644628099,0.013223140495867772,0.9008264462809917,0.9338842975206612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,1.7435595774162693,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,petfold,130.0,0.0,130.0,130.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8969230769230769,0.024129826371320204,0.8538461538461538,0.9230769230769231,0.8969230769230769,0.024129826371320204,0.8538461538461538,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,2.939387691339814,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,rnafold,130.0,0.0,130.0,130.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8969230769230769,0.027348290514817204,0.8461538461538461,0.9230769230769231,0.8969230769230769,0.027348290514817204,0.8461538461538461,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,2.727636339397171,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,trrosettarna2_native_ss,130.0,0.0,130.0,130.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9030769230769231,0.015839430986133857,0.8769230769230769,0.9230769230769231,0.9030769230769231,0.015839430986133857,0.8769230769230769,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,2.1540659228538015,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,petfold,180.0,0.0,180.0,180.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8855555555555557,0.021829869671542778,0.85,0.9166666666666666,0.8855555555555557,0.021829869671542778,0.85,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,2.0591260281974,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
