condition,evidence_channel,density_percent,evidence_seed,source_model,scope,rna_count,scope_domain,scope_universe_pair_count,direct_evidence_item_count,direct_compliant_before_count,direct_compliant_after_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,correct_pair_preservation
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,petfold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,petfold,NON_EVIDENCED_EFFECT,121,pair,1917,0,0,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,rnafold,NON_EVIDENCED_EFFECT,121,pair,1896,0,0,0,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,101,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,2108,0,0,0,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,petfold,LOCAL_CONFLICT_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,petfold,NON_EVIDENCED_EFFECT,121,pair,1917,0,0,0,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,0,103,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1.0
