condition,evidence_channel,density_percent,e1_macro_delta_f1_mean,e1_micro_delta_f1_mean,v3_fixed_macro_delta_f1,v3_fixed_micro_delta_f1,macro_delta_f1_difference_vs_v3,micro_delta_f1_difference_vs_v3,comparable_or_greater_on_both_delta_f1,v3_context_only_not_rerun
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,0,0.0,0.0,0.017160307374590174,0.023045759514243657,-0.017160307374590174,-0.023045759514243657,0,True
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,1,0.006020332105575767,0.005632502799411831,0.017160307374590174,0.023045759514243657,-0.011139975269014408,-0.017413256714831828,0,True
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,5,0.006640627957474371,0.007403780883801492,0.017160307374590174,0.023045759514243657,-0.010519679417115804,-0.015641978630442165,0,True
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,10,0.008648674171176604,0.011950171331349924,0.017160307374590174,0.023045759514243657,-0.00851163320341357,-0.011095588182893733,0,True
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,20,0.017094800670782416,0.02526577392199536,0.017160307374590174,0.023045759514243657,-6.55067038077585e-05,0.0022200144077517033,0,True
PAIR_HARD_ENFORCE,POSITIVE_PAIR_EVIDENCE,50,0.04504548039117656,0.06102211360406116,0.017160307374590174,0.023045759514243657,0.027885173016586388,0.037976354089817504,1,True
PAIR_PROTECT_ONLY,POSITIVE_PAIR_EVIDENCE,0,0.0,0.0,0.017160307374590174,0.023045759514243657,-0.017160307374590174,-0.023045759514243657,0,True
PAIR_PROTECT_ONLY,POSITIVE_PAIR_EVIDENCE,1,0.0010223073423045895,0.0025020390764724397,0.017160307374590174,0.023045759514243657,-0.016138000032285583,-0.020543720437771217,0,True
PAIR_PROTECT_ONLY,POSITIVE_PAIR_EVIDENCE,5,0.0009012629406599028,0.0030344391640499515,0.017160307374590174,0.023045759514243657,-0.01625904443393027,-0.020011320350193706,0,True
PAIR_PROTECT_ONLY,POSITIVE_PAIR_EVIDENCE,10,0.0012856883871989458,0.005085649895405964,0.017160307374590174,0.023045759514243657,-0.015874618987391228,-0.01796010961883769,0,True
PAIR_PROTECT_ONLY,POSITIVE_PAIR_EVIDENCE,20,0.0030240780378140977,0.01102925092200997,0.017160307374590174,0.023045759514243657,-0.014136229336776076,-0.012016508592233688,0,True
PAIR_PROTECT_ONLY,POSITIVE_PAIR_EVIDENCE,50,0.00851628198866861,0.024947062481331404,0.017160307374590174,0.023045759514243657,-0.008644025385921565,0.0019013029670877472,0,True
UNPAIRED_HARD_DELETE,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,0.0,0.0,0.017160307374590174,0.023045759514243657,-0.017160307374590174,-0.023045759514243657,0,True
UNPAIRED_HARD_DELETE,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,0.007167230024891416,0.006006446427658507,0.017160307374590174,0.023045759514243657,-0.009993077349698759,-0.01703931308658515,0,True
UNPAIRED_HARD_DELETE,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,0.007516278773539253,0.006727301407816122,0.017160307374590174,0.023045759514243657,-0.009644028601050922,-0.016318458106427534,0,True
UNPAIRED_HARD_DELETE,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,0.008690676595560956,0.00947179721245588,0.017160307374590174,0.023045759514243657,-0.008469630779029218,-0.013573962301787777,0,True
UNPAIRED_HARD_DELETE,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,0.014825097879535717,0.017157078741113163,0.017160307374590174,0.023045759514243657,-0.002335209495054457,-0.005888680773130494,0,True
UNPAIRED_HARD_DELETE,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,0.034331870419737606,0.03924660648771043,0.017160307374590174,0.023045759514243657,0.01717156304514743,0.016200846973466774,1,True
