manifest_id,rna_id,channel,density_percent,evidence_seed,eligibility_status_v1_0_2,crossing_flag,minimum_loop_flag,historical_execution_status,historical_record_preserved,entered_metric_universe
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,101,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False,R2_INELIGIBLE_CROSSING_EVIDENCE,True,False
