channel,density_percent,eligible_manifest_count,eligible_rna_count,ineligible_manifest_count,rna_count,total_manifest_count,missing_rna_count,missing_status
POSITIVE_PAIR_EVIDENCE,0,605,121,0,121,605,0,COMPLETE
POSITIVE_PAIR_EVIDENCE,1,605,121,0,121,605,0,COMPLETE
POSITIVE_PAIR_EVIDENCE,5,603,121,2,121,605,0,COMPLETE
POSITIVE_PAIR_EVIDENCE,10,595,121,10,121,605,0,COMPLETE
POSITIVE_PAIR_EVIDENCE,20,570,118,35,121,605,3,NA_MISSING_ELIGIBILITY
POSITIVE_PAIR_EVIDENCE,50,545,113,60,121,605,8,NA_MISSING_ELIGIBILITY
UNPAIRED_NUCLEOTIDE_EVIDENCE,0,605,121,0,121,605,0,COMPLETE
UNPAIRED_NUCLEOTIDE_EVIDENCE,1,605,121,0,121,605,0,COMPLETE
UNPAIRED_NUCLEOTIDE_EVIDENCE,5,605,121,0,121,605,0,COMPLETE
UNPAIRED_NUCLEOTIDE_EVIDENCE,10,605,121,0,121,605,0,COMPLETE
UNPAIRED_NUCLEOTIDE_EVIDENCE,20,605,121,0,121,605,0,COMPLETE
UNPAIRED_NUCLEOTIDE_EVIDENCE,50,605,121,0,121,605,0,COMPLETE
