source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,micro_delta_f1_vs_b0,macro_delta_f1_vs_b1,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,0,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,,,0,0.0,0.0,0.0,0.0,,,0
petfold,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,0,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,,,0,0.0,0.0,0.0,0.0,,,0
petfold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9979494190020506,0.9988624338624338,120,0.14937759336099585,0.23807657859381998,58,0.7313432835820896,0.8197916666666667,32,,,0,0.008968390659382153,0.008762981658385405,0.008968390659382153,0.008762981658385405,,,0
petfold,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,605,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.006286413378032485,-0.005010710923322503,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7363,1170,1017,7315,1205,1065,7315,0,35,1170,48,0,8485,35,48,83,0,83,605,0.8628852689558186,0.8999272013358044,121,0.8786396181384248,0.9150240818450597,121,0.8706911842961036,0.9031356346266064,121,1.0,1.0,120,0.029045643153526972,0.025682937751903268,58,1.0,1.0,26,0.05785123966942149,0.05785123966942149,121,0.006286413378032485,0.005010710923322503,0.0,0.0,8.282166815409096e-06,0.0012572826756065136,121
petfold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7315,1205,1065,7213,102,379,826,251,164,8039,481,415,630,266,896,605,0.8828956706884316,0.9201193107832284,121,0.890692124105012,0.9278662542680499,121,0.8867767613163835,0.9198106299727674,121,0.986056049213944,0.9781495989919903,120,0.3145228215767635,0.3222592924317062,58,0.703125,0.8185554987041845,48,0.6264462809917355,0.6264462809917355,121,0.0229614087241935,0.02109628794360241,0.016674995346161015,0.016085577020279906,3.4869897427442e-05,0.004592281744838715,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,7297,1205,1063,7297,1205,1063,7297,0,0,1205,0,0,8502,0,0,0,0,0,648,0.8582686426723124,0.8952556023530504,121,0.8728468899521531,0.9077787598919441,121,0.865496382398292,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.007209098517377943,-0.0070369509350414194,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,7362,1153,998,7297,1205,1063,7297,0,52,1153,65,0,8450,52,65,117,0,117,648,0.8645918966529653,0.9005461326103661,121,0.880622009569378,0.9158766924876098,121,0.8725333333333334,0.9040583197659519,121,1.0,1.0,120,0.043153526970954356,0.02332698910285117,58,1.0,1.0,23,0.08024691358024691,0.0559228650137741,121,0.007209098517377943,0.0070369509350414194,0.0,0.0,1.0859492183705894e-05,0.0013489424453134251,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,7567,887,793,7297,1205,1063,7164,133,548,657,403,230,7821,681,633,951,363,1314,648,0.8950792524248876,0.9270915357733726,121,0.9051435406698565,0.933676038689374,121,0.9000832639467111,0.9260494117362392,121,0.9817733315060984,0.9715966273005746,120,0.45477178423236514,0.3708542319749216,58,0.723744292237443,0.8146245424643559,45,0.845679012345679,0.6584022038567493,121,0.029200190487665312,0.03458688154841916,0.02199109197028737,0.027549930613377738,5.337481720435055e-05,0.0053941380782074125,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B0_ORIGINAL,595,121,0,7223,1121,964,7223,1121,964,7223,0,0,1121,0,0,8344,0,0,0,0,0,879,0.8656519654841802,0.8952556023530504,121,0.8822523512886283,0.9077787598919441,121,0.8738733288972234,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.008298855051423026,-0.010019085729552124,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B1_LOCAL_HARD,595,121,0,7312,1046,875,7223,1121,964,7223,0,75,1046,89,0,8269,75,89,164,0,164,879,0.8748504426896386,0.9014551329704544,121,0.8931232441675827,0.9170768694913503,121,0.8838924146267755,0.9051480762999969,121,1.0,1.0,120,0.06690454950936664,0.03177974324526049,58,1.0,1.0,27,0.08532423208191127,0.04947658402203856,121,0.008298855051423026,0.010019085729552124,0.0,0.0,1.1398277280491609e-05,0.0012573903231121698,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,7576,741,611,7223,1121,964,7136,87,595,526,440,215,7662,682,655,1035,302,1337,879,0.9109053745340868,0.9295059180648642,121,0.9253694882130207,0.9396936381018245,121,0.9180804653417354,0.9307761211834313,121,0.9879551432922609,0.9801600014529076,120,0.5307760927743087,0.3746062845200776,58,0.7741211667913238,0.8473924964643537,48,0.676905574516496,0.44862258953168044,121,0.033926899934857424,0.04420713644451202,0.025628044883434398,0.034188050714959894,5.029253292891015e-05,0.004769646115748591,121
petfold,POSITIVE_PAIR_EVIDENCE,20,B0_ORIGINAL,570,118,3,6921,795,581,6921,795,581,6921,0,0,795,0,0,7716,0,0,0,0,0,1514,0.8969673405909798,0.9066218356158289,118,0.9225539856038389,0.9198165861856564,118,0.9095807596267578,0.908446607180427,118,1.0,1.0,117,0.0,0.0,55,,,0,0.0,0.0,118,0.0,0.0,-0.014516357148887993,-0.013627431499522058,0.0,0.0,118
petfold,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,7033,701,469,6921,795,581,6921,0,94,701,112,0,7622,94,112,206,0,206,1514,0.9093612619601759,0.9172754026813501,118,0.9374833377765929,0.9358428126129896,118,0.9232081911262798,0.922962964329315,118,1.0,1.0,117,0.11823899371069183,0.06646280991735538,55,1.0,1.0,29,0.062087186261558784,0.04398412086971409,118,0.014516357148887993,0.013627431499522058,0.0,0.0,9.000945508270845e-06,0.001914985214703974,118
petfold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,7204,470,298,6921,795,581,6852,69,413,382,352,88,7234,482,440,765,157,922,1514,0.9387542350794892,0.9428924707714758,118,0.960277259397494,0.954210203688136,118,0.9493937796520823,0.9448497930311658,118,0.9900303424360641,0.969299150717915,117,0.519496855345912,0.41643290043290043,55,0.8297180043383948,0.8459885513240232,45,0.2727873183619551,0.2528709614302835,118,0.03640318585073876,0.0398130200253245,0.02188682870185077,0.02618558852580244,2.629657861646268e-05,0.004081744933252054,118
petfold,POSITIVE_PAIR_EVIDENCE,50,B0_ORIGINAL,545,113,8,6619,724,462,6619,724,462,6619,0,0,724,0,0,7343,0,0,0,0,0,3714,0.9014026964455945,0.9098857600741778,113,0.9347549781104364,0.9364138415603044,113,0.9177759290072102,0.9197909261793783,113,1.0,1.0,112,0.0,0.0,52,,,0,0.0,0.0,113,0.0,0.0,-0.028989271698805608,-0.028923877676026555,0.0,0.0,113
petfold,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,6856,547,225,6619,724,462,6619,0,177,547,237,0,7166,177,237,414,0,414,3714,0.9261110360664595,0.9323705243135767,113,0.9682248270018359,0.9700945377708492,113,0.9466998066832367,0.9487801978781839,113,1.0,1.0,112,0.24447513812154695,0.16288586413586412,52,1.0,1.0,32,0.04765751211631664,0.042623692389043316,113,0.028989271698805608,0.028923877676026555,0.0,0.0,7.787796897153084e-06,0.0019461737381384519,113
