source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,micro_recall,micro_f1,micro_tp_preservation,micro_fp_removal,micro_modification_precision,micro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item
petfold,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,0,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,,0.0,0.0,
petfold,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,0,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,,0.0,0.0,
petfold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.9979494190020506,0.14937759336099585,0.7313432835820896,,0.008762981658385405,0.008762981658385405,
petfold,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,605,0.8585680751173709,0.8729116945107399,0.8656804733727811,1.0,0.0,,0.0,0.0,-0.005010710923322503,0.0
petfold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7363,1170,1017,7315,1205,1065,7315,0,35,1170,48,0,8485,35,48,83,0,83,605,0.8628852689558186,0.8786396181384248,0.8706911842961036,1.0,0.029045643153526972,1.0,0.05785123966942149,0.005010710923322503,0.0,8.282166815409096e-06
petfold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7315,1205,1065,7213,102,379,826,251,164,8039,481,415,630,266,896,605,0.8828956706884316,0.890692124105012,0.8867767613163835,0.986056049213944,0.3145228215767635,0.703125,0.6264462809917355,0.02109628794360241,0.016085577020279906,3.4869897427442e-05
petfold,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,7297,1205,1063,7297,1205,1063,7297,0,0,1205,0,0,8502,0,0,0,0,0,648,0.8582686426723124,0.8728468899521531,0.865496382398292,1.0,0.0,,0.0,0.0,-0.0070369509350414194,0.0
petfold,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,7362,1153,998,7297,1205,1063,7297,0,52,1153,65,0,8450,52,65,117,0,117,648,0.8645918966529653,0.880622009569378,0.8725333333333334,1.0,0.043153526970954356,1.0,0.08024691358024691,0.0070369509350414194,0.0,1.0859492183705894e-05
petfold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,7567,887,793,7297,1205,1063,7164,133,548,657,403,230,7821,681,633,951,363,1314,648,0.8950792524248876,0.9051435406698565,0.9000832639467111,0.9817733315060984,0.45477178423236514,0.723744292237443,0.845679012345679,0.03458688154841916,0.027549930613377738,5.337481720435055e-05
petfold,POSITIVE_PAIR_EVIDENCE,10,B0_ORIGINAL,595,121,0,7223,1121,964,7223,1121,964,7223,0,0,1121,0,0,8344,0,0,0,0,0,879,0.8656519654841802,0.8822523512886283,0.8738733288972234,1.0,0.0,,0.0,0.0,-0.010019085729552124,0.0
