source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_removed_fp,sum_evidence_item_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,macro_delta_f1_vs_b0,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,35,605,0.05785123966942149,0.05785123966942149,0.005010710923322503,0.006286413378032485,8.282166815409096e-06,0.0012572826756065136,121
petfold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,379,605,0.6264462809917355,0.6264462809917355,0.02109628794360241,0.0229614087241935,3.4869897427442e-05,0.004592281744838715,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,52,648,0.08024691358024691,0.0559228650137741,0.0070369509350414194,0.007209098517377943,1.0859492183705894e-05,0.0013489424453134251,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,548,648,0.845679012345679,0.6584022038567493,0.03458688154841916,0.029200190487665312,5.337481720435055e-05,0.0053941380782074125,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B1_LOCAL_HARD,595,121,0,75,879,0.08532423208191127,0.04947658402203856,0.010019085729552124,0.008298855051423026,1.1398277280491609e-05,0.0012573903231121698,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,595,879,0.676905574516496,0.44862258953168044,0.04420713644451202,0.033926899934857424,5.029253292891015e-05,0.004769646115748591,121
petfold,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,94,1514,0.062087186261558784,0.04398412086971409,0.013627431499522058,0.014516357148887993,9.000945508270845e-06,0.001914985214703974,118
petfold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,413,1514,0.2727873183619551,0.2528709614302835,0.0398130200253245,0.03640318585073876,2.629657861646268e-05,0.004081744933252054,118
petfold,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,177,3714,0.04765751211631664,0.042623692389043316,0.028923877676026555,0.028989271698805608,7.787796897153084e-06,0.0019461737381384519,113
petfold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,448,3714,0.1206246634356489,0.11895132372340801,0.05371605961733028,0.04941664017002945,1.4463128599173474e-05,0.0031130853790242653,113
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,87,605,0.14380165289256197,0.143801652892562,0.004479521868996139,0.004571019353787453,7.404168378506015e-06,0.0009142038707575186,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,344,605,0.5685950413223141,0.568595041322314,0.01796001091182553,0.021709512834458655,2.9685968449298397e-05,0.004341902566891746,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,106,670,0.1582089552238806,0.1505785123966942,0.005463982980678517,0.0054788559183109875,8.155198478624651e-06,0.0010636309094054202,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,418,670,0.6238805970149254,0.5298071625344353,0.018367983988321734,0.02195617498787794,2.7414901475107065e-05,0.004390114875162578,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,142,925,0.1535135135135135,0.12107438016528926,0.007335399643091933,0.005589776372337707,7.930161776315604e-06,0.0008161600787775163,121
