source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9979494190020506,0.9988624338624338,120,0.14937759336099585,0.23807657859381998,58,0.7313432835820896,0.8197916666666667,32,,,0
petfold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7315,1205,1065,7213,102,379,826,251,164,8039,481,415,630,266,896,605,0.8828956706884316,0.9201193107832284,121,0.890692124105012,0.9278662542680499,121,0.8867767613163835,0.9198106299727674,121,0.986056049213944,0.9781495989919903,120,0.3145228215767635,0.3222592924317062,58,0.703125,0.8185554987041845,48,0.6264462809917355,0.6264462809917355,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,7567,887,793,7297,1205,1063,7164,133,548,657,403,230,7821,681,633,951,363,1314,648,0.8950792524248876,0.9270915357733726,121,0.9051435406698565,0.933676038689374,121,0.9000832639467111,0.9260494117362392,121,0.9817733315060984,0.9715966273005746,120,0.45477178423236514,0.3708542319749216,58,0.723744292237443,0.8146245424643559,45,0.845679012345679,0.6584022038567493,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,7576,741,611,7223,1121,964,7136,87,595,526,440,215,7662,682,655,1035,302,1337,879,0.9109053745340868,0.9295059180648642,121,0.9253694882130207,0.9396936381018245,121,0.9180804653417354,0.9307761211834313,121,0.9879551432922609,0.9801600014529076,120,0.5307760927743087,0.3746062845200776,58,0.7741211667913238,0.8473924964643537,48,0.676905574516496,0.44862258953168044,121
petfold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,7204,470,298,6921,795,581,6852,69,413,382,352,88,7234,482,440,765,157,922,1514,0.9387542350794892,0.9428924707714758,118,0.960277259397494,0.954210203688136,118,0.9493937796520823,0.9448497930311658,118,0.9900303424360641,0.969299150717915,117,0.519496855345912,0.41643290043290043,55,0.8297180043383948,0.8459885513240232,45,0.2727873183619551,0.2528709614302835,118
petfold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,7003,333,78,6619,724,462,6611,8,448,276,392,57,6887,456,449,840,65,905,3714,0.954607415485278,0.956383244125066,113,0.9889846066939698,0.985979407296024,113,0.9714919886245404,0.9692075663494077,113,0.9987913582112101,0.99527905555815,112,0.6187845303867403,0.4673260073260073,52,0.9281767955801105,0.9121119715404723,47,0.1206246634356489,0.11895132372340801,113
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9979494190020506,0.9988624338624338,120,0.14937759336099585,0.23807657859381998,58,0.7313432835820896,0.8197916666666667,32,,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7408,979,972,7315,1205,1065,7294,21,344,861,114,118,8155,365,232,458,139,597,605,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9971291866028709,0.9978660413660414,120,0.2854771784232365,0.4036180773249739,58,0.7671691792294807,0.8864509403345441,59,0.5685950413223141,0.568595041322314,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,7407,970,973,7315,1205,1065,7272,43,418,787,135,183,8059,461,318,553,226,779,670,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9941216678058783,0.9963073624718362,120,0.34688796680497924,0.40622443648305717,58,0.7098844672657253,0.8458854557982666,54,0.6238805970149254,0.5298071625344353,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,7488,862,892,7315,1205,1065,7282,33,536,669,206,193,7951,569,399,742,226,968,925,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.9954887218045113,0.9972614708158186,120,0.44481327800829873,0.4497369010300045,58,0.7665289256198347,0.8814549341037146,58,0.5794594594594594,0.4252892561983471,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,7513,736,867,7315,1205,1065,7243,72,691,514,270,222,7757,763,492,961,294,1255,1665,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.9901572112098428,0.9938180011354564,120,0.5734439834024896,0.5403452007762353,58,0.7657370517928287,0.8752402874903413,60,0.41501501501501503,0.27197756788665883,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7315,1205,1065,7254,61,985,220,357,147,7474,1046,504,1342,208,1550,4365,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.991660970608339,0.994398866880964,120,0.8174273858921162,0.8133650544857441,58,0.8658064516129033,0.9226266431157867,63,0.2256586483390607,0.1515435840321485,121
rnafold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7365,1100,1015,7277,88,208,892,187,98,8169,296,285,395,186,581,605,0.8828956706884316,0.9201193107832284,121,0.890692124105012,0.9278662542680499,121,0.8867767613163835,0.9198106299727674,121,0.9880515953835709,0.9792871651295564,120,0.1890909090909091,0.10286816748796664,51,0.6798623063683304,0.7934161062530625,24,0.343801652892562,0.343801652892562,121
