source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,macro_precision,macro_precision_defined_rna_count,macro_recall,macro_recall_defined_rna_count,macro_f1,macro_f1_defined_rna_count,macro_tp_preservation,macro_tp_preservation_defined_rna_count,macro_fp_removal,macro_fp_removal_defined_rna_count,macro_modification_precision,macro_modification_precision_defined_rna_count,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,macro_delta_f1_vs_b1,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,,0,0.0,0.0,,0
petfold,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,,0,0.0,0.0,,0
petfold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,0.9988624338624338,120,0.23807657859381998,58,0.8197916666666667,32,,0,0.008968390659382153,0.008968390659382153,,0
petfold,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.006286413378032485,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,0.8999272013358044,121,0.9150240818450597,121,0.9031356346266064,121,1.0,120,0.025682937751903268,58,1.0,26,0.05785123966942149,121,0.006286413378032485,0.0,0.0012572826756065136,121
petfold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,0.9201193107832284,121,0.9278662542680499,121,0.9198106299727674,121,0.9781495989919903,120,0.3222592924317062,58,0.8185554987041845,48,0.6264462809917355,121,0.0229614087241935,0.016674995346161015,0.004592281744838715,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.007209098517377943,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B1_LOCAL_HARD,603,121,0,0.9005461326103661,121,0.9158766924876098,121,0.9040583197659519,121,1.0,120,0.02332698910285117,58,1.0,23,0.0559228650137741,121,0.007209098517377943,0.0,0.0013489424453134251,121
petfold,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,0.9270915357733726,121,0.933676038689374,121,0.9260494117362392,121,0.9715966273005746,120,0.3708542319749216,58,0.8146245424643559,45,0.6584022038567493,121,0.029200190487665312,0.02199109197028737,0.0053941380782074125,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B0_ORIGINAL,595,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.008298855051423026,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B1_LOCAL_HARD,595,121,0,0.9014551329704544,121,0.9170768694913503,121,0.9051480762999969,121,1.0,120,0.03177974324526049,58,1.0,27,0.04947658402203856,121,0.008298855051423026,0.0,0.0012573903231121698,121
petfold,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,0.9295059180648642,121,0.9396936381018245,121,0.9307761211834313,121,0.9801600014529076,120,0.3746062845200776,58,0.8473924964643537,48,0.44862258953168044,121,0.033926899934857424,0.025628044883434398,0.004769646115748591,121
petfold,POSITIVE_PAIR_EVIDENCE,20,B0_ORIGINAL,570,118,3,0.9066218356158289,118,0.9198165861856564,118,0.908446607180427,118,1.0,117,0.0,55,,0,0.0,118,0.0,-0.014516357148887993,0.0,118
petfold,POSITIVE_PAIR_EVIDENCE,20,B1_LOCAL_HARD,570,118,3,0.9172754026813501,118,0.9358428126129896,118,0.922962964329315,118,1.0,117,0.06646280991735538,55,1.0,29,0.04398412086971409,118,0.014516357148887993,0.0,0.001914985214703974,118
petfold,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,0.9428924707714758,118,0.954210203688136,118,0.9448497930311658,118,0.969299150717915,117,0.41643290043290043,55,0.8459885513240232,45,0.2528709614302835,118,0.03640318585073876,0.02188682870185077,0.004081744933252054,118
petfold,POSITIVE_PAIR_EVIDENCE,50,B0_ORIGINAL,545,113,8,0.9098857600741778,113,0.9364138415603044,113,0.9197909261793783,113,1.0,112,0.0,52,,0,0.0,113,0.0,-0.028989271698805608,0.0,113
petfold,POSITIVE_PAIR_EVIDENCE,50,B1_LOCAL_HARD,545,113,8,0.9323705243135767,113,0.9700945377708492,113,0.9487801978781839,113,1.0,112,0.16288586413586412,52,1.0,32,0.042623692389043316,113,0.028989271698805608,0.0,0.0019461737381384519,113
petfold,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,0.956383244125066,113,0.985979407296024,113,0.9692075663494077,113,0.99527905555815,112,0.4673260073260073,52,0.9121119715404723,47,0.11895132372340801,113,0.04941664017002945,0.02042736847122384,0.0031130853790242653,113
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,,0,0.0,0.0,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,,0,0.0,0.0,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,0.9988624338624338,120,0.23807657859381998,58,0.8197916666666667,32,,0,0.008968390659382153,0.008968390659382153,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.004571019353787453,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,0.9038573136093356,121,0.9077787598919441,121,0.9014202406023614,121,1.0,120,0.14607702642185402,58,1.0,47,0.143801652892562,121,0.004571019353787453,0.0,0.0009142038707575186,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,0.9238364411583446,121,0.9222045957087484,121,0.9185587340830326,121,0.9978660413660414,120,0.4036180773249739,58,0.8864509403345441,59,0.568595041322314,121,0.021709512834458655,0.017138493480671202,0.004341902566891746,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.0054788559183109875,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,0.9051646445061988,121,0.9077787598919441,121,0.9023280771668849,121,1.0,120,0.15779855202268997,58,1.0,45,0.1505785123966942,121,0.0054788559183109875,0.0,0.0010636309094054202,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,0.9240578978741076,121,0.9217023122828926,121,0.9188053962364519,121,0.9963073624718362,120,0.40622443648305717,58,0.8458854557982666,54,0.5298071625344353,121,0.02195617498787794,0.016477319069566954,0.004390114875162578,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.005589776372337707,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,0.9054397680359245,121,0.9077787598919441,121,0.9024389976209116,121,1.0,120,0.15625242573518436,58,1.0,49,0.12107438016528926,121,0.005589776372337707,0.0,0.0008161600787775163,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,0.9304317153672138,121,0.9275756721510047,121,0.924845033184596,121,0.9972614708158186,120,0.4497369010300045,58,0.8814549341037146,58,0.4252892561983471,121,0.027995811936022075,0.022406035563684368,0.003812849149420578,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.009392233335737354,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,0.9126048041917569,121,0.9077787598919441,121,0.9062414545843113,121,1.0,120,0.2733161665920287,58,1.0,54,0.12155712973894793,121,0.009392233335737354,0.0,0.0007872851972399773,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,0.9355892875296238,121,0.9265178397858981,121,0.9271913569328215,121,0.9938180011354564,120,0.5403452007762353,58,0.8752402874903413,60,0.27197756788665883,121,0.030342135684247595,0.02094990234851024,0.0021585318379207124,121
