source_model,channel,scope,scope_domain,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,DIRECT_EVIDENCE_EFFECT,pair,3523,121,0,7360,0,0,6809,0,551,6809,0,0,0,551,0,6809,0,551,551,0,551,7360,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,42,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,LOCAL_CONFLICT_EFFECT,pair,3523,121,0,0,0,0,0,433,0,0,0,433,0,0,0,0,433,0,433,0,433,7360,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,25,1.0,1.0,25,0.058831521739130435,0.05721443373997152,121
petfold,POSITIVE_PAIR_EVIDENCE,NON_EVIDENCED_EFFECT,pair,3523,121,0,36819,4521,3711,35881,5822,4649,35467,414,2130,3692,1352,829,39159,2544,2181,3482,1243,4725,7360,0.8906386066763425,0.9135476599612314,121,0.9084381939304219,0.9262989726264776,121,0.8994503481128618,0.9148077498934287,121,0.9884618600373457,0.9793095243561459,120,0.36585365853658536,0.3307277468324713,58,0.7369312169312169,0.7784111382024712,45,0.28940217391304346,0.3456105139485712,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,DIRECT_EVIDENCE_EFFECT,nucleotide,3630,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,LOCAL_CONFLICT_EFFECT,pair,3630,121,0,0,0,0,0,1206,0,0,0,1206,0,0,0,0,1206,0,1206,0,1206,8230,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,58,1.0,1.0,58,0.14653705953827462,0.1190711115811164,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,NON_EVIDENCED_EFFECT,pair,3630,121,0,44792,5014,5488,43890,6024,6390,43645,245,1948,4076,1147,938,47721,2193,2085,3095,1183,4278,8230,0.8993293980644902,0.9301933229291496,121,0.8908512330946698,0.9241876029790382,121,0.8950702395939492,0.9231421136730454,121,0.9944178628389154,0.9964190294220917,120,0.3233731739707835,0.3158690606920936,58,0.7234689107059373,0.7499990910624922,47,0.23669501822600242,0.16400718184267563,121
rnafold,POSITIVE_PAIR_EVIDENCE,DIRECT_EVIDENCE_EFFECT,pair,3523,121,0,7360,0,0,6846,0,514,6846,0,0,0,514,0,6846,0,514,514,0,514,7360,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,36,0.0,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,LOCAL_CONFLICT_EFFECT,pair,3523,121,0,0,0,0,0,415,0,0,0,415,0,0,0,0,415,0,415,0,415,7360,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,22,1.0,1.0,22,0.05638586956521739,0.051708210900185535,121
rnafold,POSITIVE_PAIR_EVIDENCE,NON_EVIDENCED_EFFECT,pair,3523,121,0,36819,4521,3711,36131,5242,4399,35764,367,1266,3976,1055,545,39740,1633,1600,2321,912,3233,7360,0.8906386066763425,0.9135476599612314,121,0.9084381939304219,0.9262989726264776,121,0.8994503481128618,0.9148077498934287,121,0.989842517505743,0.9801477176674015,120,0.24151087371232355,0.11445090606693648,51,0.7179090627899783,0.6238387355746715,23,0.17201086956521738,0.21724162333919864,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,DIRECT_EVIDENCE_EFFECT,nucleotide,3630,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,,,121,,,121,,,121,,,0,,,0,,,0,0.0,0.0,121
