source_model,channel,density_percent,scope,scope_domain,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,0,DIRECT_EVIDENCE_EFFECT,pair,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,,,0,,,0,,,0
petfold,POSITIVE_PAIR_EVIDENCE,0,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,,,0,,,0,,,0
petfold,POSITIVE_PAIR_EVIDENCE,0,NON_EVIDENCED_EFFECT,pair,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9979494190020506,0.9988624338624338,120,0.14937759336099585,0.23807657859381998,58,0.7313432835820896,0.8197916666666667,32,,,0
petfold,POSITIVE_PAIR_EVIDENCE,1,DIRECT_EVIDENCE_EFFECT,pair,605,121,0,605,0,0,557,0,48,557,0,0,0,48,0,557,0,48,48,0,48,605,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,26,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,1,LOCAL_CONFLICT_EFFECT,pair,605,121,0,0,0,0,0,35,0,0,0,35,0,0,0,0,35,0,35,0,35,605,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,16,1.0,1.0,16,0.05785123966942149,0.05785123966942149,121
petfold,POSITIVE_PAIR_EVIDENCE,1,NON_EVIDENCED_EFFECT,pair,605,121,0,6859,990,916,6758,1170,1017,6656,102,344,826,203,164,7482,446,367,547,266,813,605,0.8738692827111734,0.9130296437252537,121,0.8821864951768489,0.9217919370970618,121,0.8780081925243216,0.9122107489210262,121,0.9849067771530039,0.9766522274555866,120,0.294017094017094,0.3071519195798506,58,0.6728167281672817,0.7796656940822112,42,0.5685950413223141,0.568595041322314,121
petfold,POSITIVE_PAIR_EVIDENCE,5,DIRECT_EVIDENCE_EFFECT,pair,603,121,0,648,0,0,583,0,65,583,0,0,0,65,0,583,0,65,65,0,65,648,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,23,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,5,LOCAL_CONFLICT_EFFECT,pair,603,121,0,0,0,0,0,52,0,0,0,52,0,0,0,0,52,0,52,0,52,648,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,,,0,1.0,1.0,13,1.0,1.0,13,0.08024691358024691,0.0559228650137741,121
petfold,POSITIVE_PAIR_EVIDENCE,5,NON_EVIDENCED_EFFECT,pair,603,121,0,6919,887,793,6714,1153,998,6581,133,496,657,338,230,7238,629,568,834,363,1197,648,0.8863694593902126,0.9199327928633605,121,0.8971732365145229,0.9273316678494317,121,0.8917386261116124,0.9181994607939653,121,0.9801906464104856,0.9697218313223916,120,0.43018213356461404,0.36073182353294425,58,0.6967418546365914,0.7946452251215598,43,0.7654320987654321,0.6024793388429752,121
petfold,POSITIVE_PAIR_EVIDENCE,10,DIRECT_EVIDENCE_EFFECT,pair,595,121,0,879,0,0,790,0,89,790,0,0,0,89,0,790,0,89,89,0,89,879,1.0,1.0,121,1.0,1.0,121,1.0,1.0,121,1.0,1.0,120,,,0,1.0,1.0,27,0.0,0.0,121
