source_model,channel,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,micro_delta_f1_vs_b0,macro_delta_f1_vs_b1,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
petfold,POSITIVE_PAIR_EVIDENCE,B0_ORIGINAL,3523,121,0,42690,6255,5200,42690,6255,5200,42690,0,0,6255,0,0,48945,0,0,0,0,0,7360,0.872203493717438,0.8952556023530504,121,0.8914178325328879,0.9077787598919441,121,0.8817059947333092,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.010069880708260093,-0.010293221381715512,0.0,0.0,121
petfold,POSITIVE_PAIR_EVIDENCE,B1_LOCAL_HARD,3523,121,0,43241,5822,4649,42690,6255,5200,42690,0,433,5822,551,0,48512,433,551,984,0,984,7360,0.8813362411593257,0.9027456739675502,121,0.9029233660471915,0.9191594978228509,121,0.8919992161150248,0.906919101956834,121,1.0,1.0,120,0.06922462030375699,0.04492260195159796,58,1.0,1.0,42,0.058831521739130435,0.05721443373997152,121,0.010069880708260093,0.010293221381715512,0.0,0.0,1.3985355138200422e-06,0.0002643868189765235,121
petfold,POSITIVE_PAIR_EVIDENCE,B2_GLOBAL_REFOLD,3523,121,0,44179,4521,3711,42690,6255,5200,42276,414,2563,3692,1903,829,45968,2977,2732,4466,1243,5709,7360,0.9071663244353183,0.9251450841621626,121,0.9225099185633744,0.9349493892319191,121,0.9147737861062222,0.9261238037453474,121,0.9903021784961349,0.9807476316208412,120,0.40975219824140685,0.35929344025708654,58,0.7822736030828517,0.850779693848161,55,0.34823369565217394,0.40282494768854266,121,0.029274582496773505,0.033067791372912936,0.019204701788513412,0.022774569991197424,4.492906436537084e-06,0.0006622200464311232,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,B0_ORIGINAL,3630,121,0,43890,7230,6390,43890,7230,6390,43890,0,0,7230,0,0,51120,0,0,0,0,0,8230,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.00788485584699894,-0.010419891918553748,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,B1_LOCAL_HARD,3630,121,0,43890,6024,6390,43890,7230,6390,43890,0,1206,6024,0,0,49914,1206,0,1206,0,1206,8230,0.8793124173578555,0.9097950713230083,121,0.8729116945107399,0.9077787598919441,121,0.8761003652913348,0.9047340770955729,121,1.0,1.0,120,0.16680497925311202,0.2279929840274668,58,1.0,1.0,58,0.14653705953827462,0.1190711115811164,121,0.00788485584699894,0.010419891918553748,0.0,0.0,1.2660865028619378e-06,0.0001307533282371397,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,B2_GLOBAL_REFOLD,3630,121,0,44792,5014,5488,43890,7230,6390,43645,245,3154,4076,1147,938,47721,3399,2085,4301,1183,5484,8230,0.8993293980644902,0.9301933229291496,121,0.8908512330946698,0.9241876029790382,121,0.8950702395939492,0.9231421136730454,121,0.9944178628389154,0.9964190294220917,120,0.43623789764868603,0.4752277081156392,58,0.7842815463165572,0.8822912417473601,63,0.38323207776427703,0.28307829342379204,121,0.026292892424471526,0.029389766221168068,0.018408036577472586,0.01896987430261432,3.5710530037871285e-06,0.0003981768750990907,121
rnafold,POSITIVE_PAIR_EVIDENCE,B0_ORIGINAL,3523,121,0,42977,5657,4913,42977,5657,4913,42977,0,0,5657,0,0,48634,0,0,0,0,0,7360,0.8836821976395115,0.9069374161618192,121,0.8974107329296304,0.9138670306547281,121,0.8904935560067962,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,0.0,0.0,121,0.0,0.0,-0.009401813314558471,-0.009726888400850009,0.0,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,B1_LOCAL_HARD,3523,121,0,43491,5242,4399,42977,5657,4913,42977,0,415,5242,514,0,48219,415,514,929,0,929,7360,0.8924342847762297,0.9138940693814981,121,0.9081436625600334,0.9244210447102567,121,0.9002204444076463,0.9152194252225145,121,1.0,1.0,120,0.07336043839490897,0.04790138891886885,51,1.0,1.0,36,0.05638586956521739,0.051708210900185535,121,0.009401813314558471,0.009726888400850009,0.0,0.0,1.3215880979415774e-06,0.0002482690854100224,121
rnafold,POSITIVE_PAIR_EVIDENCE,B2_GLOBAL_REFOLD,3523,121,0,44179,4521,3711,42977,5657,4913,42610,367,1681,3976,1569,545,46586,2048,2114,3250,912,4162,7360,0.9071663244353183,0.9251450841621626,121,0.9225099185633744,0.9349493892319191,121,0.9147737861062222,0.9261238037453474,121,0.9914605486655653,0.981462700543147,120,0.29715396853455894,0.15172716383263077,51,0.7808745795290726,0.8326571888675232,36,0.2283967391304348,0.2689498342393842,121,0.020306191837391352,0.024280230099425926,0.01090437852283288,0.014553341698575917,3.298944306987218e-06,0.0004760637610882461,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,B0_ORIGINAL,3630,121,0,44190,6600,6090,44190,6600,6090,44190,0,0,6600,0,0,50790,0,0,0,0,0,8230,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,0.0,0.0,121,0.0,0.0,-0.006736637272652168,-0.009277010126969243,0.0,0.0,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,B1_LOCAL_HARD,3630,121,0,44190,5539,6090,44190,6600,6090,44190,0,1061,5539,0,0,49729,1061,0,1061,0,1061,8230,0.8886163003478855,0.9193079817971023,121,0.8788782816229117,0.9138670306547281,121,0.8837204651581357,0.9125542491806082,121,1.0,1.0,120,0.16075757575757577,0.22933122645461237,51,1.0,1.0,51,0.12891859052247873,0.09863788539066529,121,0.006736637272652168,0.009277010126969243,0.0,0.0,1.1272187274567732e-06,0.00011070132290265435,121
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,B2_GLOBAL_REFOLD,3630,121,0,44792,5014,5488,44190,6600,6090,44008,182,2271,4329,784,685,48337,2453,1469,3055,867,3922,8230,0.8993293980644902,0.9301933229291496,121,0.8908512330946698,0.9241876029790382,121,0.8950702395939492,0.9231421136730454,121,0.9958814211360036,0.9972289275636351,120,0.3440909090909091,0.3084006712625396,51,0.7789393166751657,0.8728097269787773,51,0.2759416767922236,0.1731108010834773,121,0.017324501765089373,0.020626784562782663,0.010587864492437205,0.01134977443581342,2.5062921704474683e-06,0.00024334256297311644,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,B0_ORIGINAL,3523,121,0,43046,11513,4844,43046,11513,4844,43046,0,0,11513,0,0,54559,0,0,0,0,0,7360,0.7889807364504481,0.7905636556834104,121,0.8988515347671747,0.9120849106151278,121,0.840340071645404,0.8428713642132949,121,1.0,1.0,116,0.0,0.0,106,,,0,0.0,0.0,121,0.0,0.0,-0.007385536353801347,-0.008768336190836168,0.0,0.0,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,B1_LOCAL_HARD,3523,121,0,43451,11004,4439,43046,11513,4844,43046,0,509,11004,405,0,54050,509,405,914,0,914,7360,0.7979248921127536,0.7977088428361725,121,0.9073084151179787,0.9195383093764121,121,0.8491084078362402,0.8502569005670962,121,1.0,1.0,116,0.044210892035090765,0.02023292906020976,106,1.0,1.0,26,0.06915760869565217,0.13327823708375844,121,0.007385536353801347,0.008768336190836168,0.0,0.0,1.1913500259288271e-06,0.0002499449826820206,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,B2_GLOBAL_REFOLD,3523,121,0,44179,4521,3711,43046,11513,4844,41592,1454,10542,971,2587,3550,42563,11996,6137,13129,5004,18133,7360,0.9071663244353183,0.9251450841621626,121,0.9225099185633744,0.9349493892319191,121,0.9147737861062222,0.9261238037453474,121,0.9662221809227338,0.9694040816037943,116,0.9156605576305047,0.911099728434634,106,0.724039044835383,0.7759635723165229,110,1.4323369565217392,1.9888347526703598,121,0.08325243953205252,0.07443371446081815,0.07586690317825118,0.06566537826998198,1.0113276421306813e-05,0.0025926578406527834,121
