baseline,track,historical_seed,seed_if_applicable,variant,stratum,source,fold,channel,semantic_warning,n_events,event_pooled_brier,event_pooled_ece,rna_balanced_brier,rna_balanced_brier_defined_rnas,rna_balanced_ece,rna_balanced_ece_defined_rnas
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,POOLED,ALL,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,5290,0.14226850975456448,0.001901931956220737,0.12752264271394478,121,0.12147857579190642,121
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,SOURCE,rnafold,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1693,0.1167398252697178,0.03680137208872711,0.09126808716392563,121,0.15385167894228843,121
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,SOURCE,petfold,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1704,0.12434317528930952,0.025356892943083936,0.0989850592097571,121,0.14514306487613704,121
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,SOURCE,trrosettarna2_native_ss,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1893,0.18123566916376674,0.06105340125179354,0.16811500933125773,121,0.1344244349519589,121
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,FOLD,ALL,0,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1082,0.12101851774343174,0.04768698469192145,0.12283952285988572,25,0.11814521261255857,25
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,FOLD,ALL,1,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,853,0.1225955723576649,0.005195671623373838,0.1200221623263459,24,0.10138153374185083,24
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,FOLD,ALL,2,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1397,0.20023767801619827,0.10843108897102402,0.16099833895914306,24,0.15009338562560776,24
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,FOLD,ALL,3,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,953,0.11313375884271523,0.0621059546588861,0.11666891450309329,24,0.13765167294383865,24
R3-P0,P,,,POOLED_TRAINING_PREVALENCE,FOLD,ALL,4,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1005,0.12889139185712892,0.03489017603211361,0.11727940491517506,24,0.10025996416814908,24
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,POOLED,ALL,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,5290,0.14061928336409182,0.021830702470495813,0.12492738605320644,121,0.13681431504656388,121
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,SOURCE,rnafold,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1693,0.11507622086485125,0.007620092481979153,0.08709408815728463,121,0.13148075426515687,121
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,SOURCE,petfold,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1704,0.12337721273002732,0.0013361062161829362,0.0963996701694443,121,0.13106633992402061,121
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,SOURCE,trrosettarna2_native_ss,ALL,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1893,0.17898425598514978,0.0585911557335788,0.16792642684290587,121,0.14888535551810747,121
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,FOLD,ALL,0,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1082,0.12012469215142184,0.04747732307132478,0.12345898961658806,25,0.13351405782351283,25
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,FOLD,ALL,1,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,853,0.12269082144445347,0.027669495537342256,0.11991743966683904,24,0.12212308572823265,24
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,FOLD,ALL,2,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1397,0.19877776586945575,0.10856293350351737,0.15639110010897891,24,0.1499626520703292,24
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,FOLD,ALL,3,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,953,0.10818680536283802,0.07130505846909799,0.1112043392395239,24,0.15310856557827693,24
R3-P0,P,,,SOURCE_WISE_TRAINING_PREVALENCE,FOLD,ALL,4,ALL,CONSTANT_TRAINING_PREVALENCE_REFERENCE,1005,0.12781219598574628,0.035351316080093925,0.11372624481896138,24,0.12550072475009494,24
R3-P1,P,17,17,,POOLED,ALL,ALL,ALL,RAW_UNCALIBRATED,5290,0.1268671386267,0.12385612379061503,0.1066523800585995,121,0.16978787006318896,121
R3-P1,P,17,17,,SOURCE,rnafold,ALL,ALL,RAW_UNCALIBRATED,1693,0.14711523421343323,0.1389979348769695,0.12083207422690294,121,0.2028207215762191,121
R3-P1,P,17,17,,SOURCE,petfold,ALL,ALL,RAW_UNCALIBRATED,1704,0.13895550280352018,0.12417980844776125,0.11628245121690794,121,0.19306202425981683,121
R3-P1,P,17,17,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RAW_UNCALIBRATED,1893,0.09787685950063385,0.11473889950546622,0.08551027958377748,121,0.1483953872122755,121
R3-P1,P,17,17,,FOLD,ALL,0,ALL,RAW_UNCALIBRATED,1082,0.1552206478840189,0.1655728573606109,0.13009128312899979,25,0.17715201498688343,25
R3-P1,P,17,17,,FOLD,ALL,1,ALL,RAW_UNCALIBRATED,853,0.11640571311078388,0.11391279212392813,0.11184203512189944,24,0.18501268971693452,24
R3-P1,P,17,17,,FOLD,ALL,2,ALL,RAW_UNCALIBRATED,1397,0.15996079605205082,0.1491238592318071,0.1268887430722123,24,0.195830944424519,24
R3-P1,P,17,17,,FOLD,ALL,3,ALL,RAW_UNCALIBRATED,953,0.07977349174163247,0.11677296272390313,0.0812660775283674,24,0.15967187310561123,24
R3-P1,P,17,17,,FOLD,ALL,4,ALL,RAW_UNCALIBRATED,1005,0.10387560132014231,0.09196284570768029,0.08219714048025205,24,0.13096498871017564,24
R3-P1,P,29,29,,POOLED,ALL,ALL,ALL,RAW_UNCALIBRATED,5290,0.12298108393225028,0.12155120907189394,0.10408826115018073,121,0.16202521884258186,121
R3-P1,P,29,29,,SOURCE,rnafold,ALL,ALL,RAW_UNCALIBRATED,1693,0.14544530868731112,0.13886556634055414,0.11981618433288808,121,0.19478556631421226,121
R3-P1,P,29,29,,SOURCE,petfold,ALL,ALL,RAW_UNCALIBRATED,1704,0.1350439524439609,0.1214961148215487,0.11399914438306302,121,0.18475656139368832,121
R3-P1,P,29,29,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RAW_UNCALIBRATED,1893,0.09203176515027645,0.10611574882189216,0.08098116633022677,121,0.1386764367688038,121
R3-P1,P,29,29,,FOLD,ALL,0,ALL,RAW_UNCALIBRATED,1082,0.14734431198934447,0.15390394013830702,0.12399285925882608,25,0.17173323935226392,25
R3-P1,P,29,29,,FOLD,ALL,1,ALL,RAW_UNCALIBRATED,853,0.11568362429172407,0.12257044617396316,0.11077288074365617,24,0.17902546412988854,24
R3-P1,P,29,29,,FOLD,ALL,2,ALL,RAW_UNCALIBRATED,1397,0.15257693959312887,0.14189545284360666,0.12305783878594694,24,0.18816344469888344,24
R3-P1,P,29,29,,FOLD,ALL,3,ALL,RAW_UNCALIBRATED,953,0.07895609798088161,0.10231003609634287,0.07894725931374828,24,0.14340427217849805,24
R3-P1,P,29,29,,FOLD,ALL,4,ALL,RAW_UNCALIBRATED,1005,0.10355234917503253,0.10071650197710755,0.08284110939419918,24,0.1273951729988055,24
R3-P1,P,41,41,,POOLED,ALL,ALL,ALL,RAW_UNCALIBRATED,5290,0.12703607837504918,0.12716318026069054,0.10582179693904221,121,0.17230848534156504,121
R3-P1,P,41,41,,SOURCE,rnafold,ALL,ALL,RAW_UNCALIBRATED,1693,0.1476028573524299,0.14250904206123338,0.11904827284918137,121,0.20203485327773918,121
R3-P1,P,41,41,,SOURCE,petfold,ALL,ALL,RAW_UNCALIBRATED,1704,0.13862137602138028,0.12830047932891453,0.11419506297627009,121,0.1929007917381155,121
R3-P1,P,41,41,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RAW_UNCALIBRATED,1893,0.09821362512726382,0.11516455411610556,0.0861702844363539,121,0.15145109839535423,121
R3-P1,P,41,41,,FOLD,ALL,0,ALL,RAW_UNCALIBRATED,1082,0.15868575870164175,0.17748727935205805,0.13285104170857293,25,0.19637692992981257,25
R3-P1,P,41,41,,FOLD,ALL,1,ALL,RAW_UNCALIBRATED,853,0.11450797991487083,0.1247868197027715,0.10630657830156542,24,0.1849452819224975,24
