baseline,historical_seed,fold,selected_threshold,threshold_semantics,selected_on,test_labels_used_for_selection
R3-P2,,0,,DELETE_NONE,VALIDATION_ONLY,0
R3-P2,,1,,DELETE_NONE,VALIDATION_ONLY,0
R3-P2,,2,,DELETE_NONE,VALIDATION_ONLY,0
R3-P2,,3,,DELETE_NONE,VALIDATION_ONLY,0
R3-P2,,4,,DELETE_NONE,VALIDATION_ONLY,0
R3-P4,,0,0.8231878731257037,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P4,,1,0.9763854499621702,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P4,,2,0.9988008586076383,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P4,,3,0.9999573254638694,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P4,,4,0.999999654807324,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,17,0,0.9139948487281799,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,17,1,0.9731148481369019,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,17,2,0.9322456121444702,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,17,3,0.8711962699890137,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,17,4,0.9368484020233154,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,29,0,0.9129286408424377,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,29,1,0.9663621187210083,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,29,2,0.9499006867408752,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,29,3,0.8526366949081421,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,29,4,0.9350746273994446,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,41,0,0.8943367600440979,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,41,1,0.9705361723899841,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,41,2,0.9520300626754761,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,41,3,0.8575754761695862,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,41,4,0.9286474585533142,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,53,0,0.8859789371490479,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,53,1,0.9829917550086975,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,53,2,0.9354983568191528,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,53,3,0.8990876078605652,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,53,4,0.9461180567741394,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,67,0,0.8991758823394775,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,67,1,0.9774525165557861,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,67,2,0.9491371512413025,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,67,3,0.8779230117797852,DELETE_RISK_GTE,VALIDATION_ONLY,0
R3-P1,67,4,0.9291473627090454,DELETE_RISK_GTE,VALIDATION_ONLY,0
