track,baseline,summary_level,historical_seed,scope,source,operating_semantics,high_preservation_eligible,achieved_event_context_count,achieved_event_pair_event_count,achieved_event_tp_before,achieved_event_fp_before,achieved_event_fn_before,achieved_event_lost_tp,achieved_event_removed_fp,achieved_event_deleted_pair_count,achieved_event_tp_preservation,achieved_event_fp_removal,achieved_event_modification_precision,achieved_event_coverage,achieved_event_delete_precision,achieved_event_delete_recall,achieved_event_resulting_precision,achieved_event_resulting_recall,achieved_event_resulting_f1,achieved_event_original_precision,achieved_event_original_recall,achieved_event_original_f1,achieved_event_delta_f1,achieved_rna_balanced_rna_count,achieved_rna_balanced_tp_preservation,achieved_rna_balanced_tp_preservation_defined_rnas,achieved_rna_balanced_fp_removal,achieved_rna_balanced_fp_removal_defined_rnas,achieved_rna_balanced_modification_precision,achieved_rna_balanced_modification_precision_defined_rnas,achieved_rna_balanced_coverage,achieved_rna_balanced_coverage_defined_rnas,achieved_rna_balanced_delete_precision,achieved_rna_balanced_delete_precision_defined_rnas,achieved_rna_balanced_delete_recall,achieved_rna_balanced_delete_recall_defined_rnas,achieved_rna_balanced_resulting_precision,achieved_rna_balanced_resulting_precision_defined_rnas,achieved_rna_balanced_resulting_recall,achieved_rna_balanced_resulting_recall_defined_rnas,achieved_rna_balanced_resulting_f1,achieved_rna_balanced_resulting_f1_defined_rnas,achieved_rna_balanced_original_precision,achieved_rna_balanced_original_precision_defined_rnas,achieved_rna_balanced_original_recall,achieved_rna_balanced_original_recall_defined_rnas,achieved_rna_balanced_original_f1,achieved_rna_balanced_original_f1_defined_rnas,achieved_rna_balanced_delta_f1,achieved_rna_balanced_delta_f1_defined_rnas,achieved_rna_balanced_deleted_pair_count,achieved_rna_balanced_lost_tp,achieved_rna_balanced_removed_fp,rna_balanced_auprc,channel
P,R3-P3,SEED,17,POOLED,ALL,IMMUTABLE_V3_VETO2_FIXED,1,363,5290,4397,893,631,13,302,315,0.9970434387082101,0.3381858902575588,0.9587301587301588,0.05954631379962193,0.9587301587301588,0.3381858902575588,0.8812060301507537,0.8719172633253779,0.8765370388883335,0.8311909262759924,0.874502784407319,0.8522969567745687,0.024240082113764716,121,0.9979610299056347,121,0.4794876668133108,109,0.960133744855967,81,0.0547968629922768,121,0.960133744855967,81,0.4794876668133108,109,0.8969197648338146,121,0.9096420799982076,121,0.8990457041618496,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.020410407729756677,121,315,13,302,,
P,R3-P3,SEED,17,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121,1693,1473,220,203,4,6,10,0.9972844534962662,0.02727272727272727,0.6,0.005906674542232723,0.6,0.02727272727272727,0.8728461081402258,0.8764916467780429,0.8746650788925275,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.00022162386136104217,121,0.9986070261437908,120,0.0066748650679784105,51,0.5333333333333333,5,0.0017882652107251039,121,0.5333333333333333,5,0.0066748650679784105,51,0.9072387056888149,121,0.9129494704293277,121,0.9130683530945263,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,-0.00029773891266270857,120,10,4,6,,
P,R3-P3,SEED,17,SOURCE,petfold,IMMUTABLE_V3_VETO2_FIXED,1,121,1704,1463,241,213,4,19,23,0.9972658920027341,0.07883817427385892,0.8260869565217391,0.013497652582159625,0.8260869565217391,0.07883817427385892,0.8679357525282569,0.8705250596658711,0.8692284778075662,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0035480044347850903,121,0.9984681372549019,120,0.08438013136288999,58,0.8854166666666666,12,0.006643252745330375,121,0.8854166666666666,12,0.08438013136288999,58,0.900008129535896,121,0.9068793918802766,121,0.906423147237392,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.002100182478414062,120,23,4,19,,
P,R3-P3,SEED,17,SOURCE,trrosettarna2_native_ss,IMMUTABLE_V3_VETO2_FIXED,1,121,1893,1461,432,215,5,277,282,0.9965776865160849,0.6412037037037037,0.9822695035460993,0.14896988906497624,0.9822695035460993,0.6412037037037037,0.9037864680322781,0.8687350835322196,0.8859142074840279,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.06719748010941318,121,0.9968547777393354,116,0.6207558096015364,106,0.9690422745978302,81,0.1297872893914379,121,0.9690422745978302,81,0.6207558096015364,106,0.8839280091196663,121,0.909097377685019,121,0.9301417636008974,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.050939737137029546,116,282,5,277,,
P,R3-P3,SEED,29,POOLED,ALL,IMMUTABLE_V3_VETO2_FIXED,1,363,5290,4397,893,631,13,302,315,0.9970434387082101,0.3381858902575588,0.9587301587301588,0.05954631379962193,0.9587301587301588,0.3381858902575588,0.8812060301507537,0.8719172633253779,0.8765370388883335,0.8311909262759924,0.874502784407319,0.8522969567745687,0.024240082113764716,121,0.9983486674006923,121,0.4943411509493555,109,0.9653377270336335,81,0.0554184649695722,121,0.9653377270336335,81,0.4943411509493555,109,0.8979871024103668,121,0.9098759827457864,121,0.8996416508397804,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.021006354407687496,121,315,13,302,,
P,R3-P3,SEED,29,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121,1693,1473,220,203,3,3,6,0.9979633401221996,0.013636363636363636,0.5,0.0035440047253396337,0.5,0.013636363636363636,0.8713692946058091,0.8770883054892601,0.8742194469223907,0.8700531600708801,0.8788782816229117,0.8744434550311665,-0.00022400810877576394,121,0.999250645994832,120,0.004005576937188606,51,0.5,4,0.0009644038295881808,121,0.5,4,0.004005576937188606,51,0.9070560813142584,121,0.9133936941123333,121,0.9131928692878251,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,-0.0001732227193637914,120,6,3,3,,
P,R3-P3,SEED,29,SOURCE,petfold,IMMUTABLE_V3_VETO2_FIXED,1,121,1704,1463,241,213,3,18,21,0.9979494190020506,0.07468879668049792,0.8571428571428571,0.01232394366197183,0.8571428571428571,0.07468879668049792,0.8674985145573381,0.8711217183770883,0.869306341172968,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0036258678001869216,121,0.9992396810825512,120,0.09891215106732348,58,0.8653846153846154,13,0.006517554143695945,121,0.8653846153846154,13,0.09891215106732348,58,0.9004454537930456,121,0.9073054233495494,121,0.9068441457133801,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0025211809544018462,120,21,3,18,,
P,R3-P3,SEED,29,SOURCE,trrosettarna2_native_ss,IMMUTABLE_V3_VETO2_FIXED,1,121,1893,1461,432,215,7,281,288,0.9952087611225188,0.6504629629629629,0.9756944444444444,0.15213946117274169,0.9756944444444444,0.6504629629629629,0.9059190031152647,0.8675417661097852,0.8863151478207864,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.06759842044617159,121,0.9966500495173658,116,0.6362825391612847,106,0.97119341563786,81,0.13221519894744663,121,0.97119341563786,81,0.6362825391612847,106,0.8861338783193373,121,0.9089288307754773,121,0.9312888733660751,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.052086846902207315,116,288,7,281,,
P,R3-P3,SEED,41,POOLED,ALL,IMMUTABLE_V3_VETO2_FIXED,1,363,5290,4397,893,631,16,317,333,0.9963611553331817,0.35498320268757,0.9519519519519519,0.06294896030245746,0.9519519519519519,0.35498320268757,0.8838006858987291,0.8713206046141607,0.8775162744116174,0.8311909262759924,0.874502784407319,0.8522969567745687,0.025219317637048655,121,0.9956485935022891,121,0.5012238366616423,109,0.9553058968087502,83,0.05750032911865919,121,0.9553058968087502,83,0.5012238366616423,109,0.8983741215498915,121,0.9086676043201747,121,0.899322482720187,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.020687186288094083,121,333,16,317,,
P,R3-P3,SEED,41,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121,1693,1473,220,203,6,12,18,0.9959266802443992,0.05454545454545454,0.6666666666666666,0.010632014176018901,0.6666666666666666,0.05454545454545454,0.8758208955223881,0.8752983293556086,0.8755595344673232,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0011160794361566584,121,0.9980660054719562,120,0.02274513484460878,51,0.6904761904761905,7,0.0031859058371864453,121,0.6904761904761905,7,0.02274513484460878,51,0.9078795252010666,121,0.9126320671474977,121,0.9132346597688763,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,-0.0001314322383125834,120,18,6,12,,
P,R3-P3,SEED,41,SOURCE,petfold,IMMUTABLE_V3_VETO2_FIXED,1,121,1704,1463,241,213,3,25,28,0.9979494190020506,0.1037344398340249,0.8928571428571429,0.01643192488262911,0.8928571428571429,0.1037344398340249,0.8711217183770883,0.8711217183770883,0.8711217183770883,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.005441245004307205,121,0.9989687832497339,120,0.1113095238095238,58,0.8958333333333333,14,0.008031864133941764,121,0.8958333333333333,14,0.1113095238095238,58,0.9013426906187156,121,0.9069752117389424,121,0.9071464411198306,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0028234763608524114,120,28,3,25,,
P,R3-P3,SEED,41,SOURCE,trrosettarna2_native_ss,IMMUTABLE_V3_VETO2_FIXED,1,121,1893,1461,432,215,7,280,287,0.9952087611225188,0.6481481481481481,0.975609756097561,0.15161119915478077,0.975609756097561,0.6481481481481481,0.9053549190535491,0.8675417661097852,0.8860450944546009,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.06732836707998613,121,0.9940364753520674,116,0.6474583544644585,106,0.9637641474990871,83,0.13491220805820645,121,0.9637641474990871,83,0.6474583544644585,106,0.887324128593231,121,0.9063955340740845,121,0.9305685666538446,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.051366540189976745,116,287,7,280,,
P,R3-P3,SEED,53,POOLED,ALL,IMMUTABLE_V3_VETO2_FIXED,1,363,5290,4397,893,631,13,315,328,0.9970434387082101,0.3527435610302352,0.9603658536585366,0.06200378071833648,0.9603658536585366,0.3527435610302352,0.8835147118097542,0.8719172633253779,0.8776776776776778,0.8311909262759924,0.874502784407319,0.8522969567745687,0.025380720903109055,121,0.9979104162754756,121,0.47978341748088044,109,0.9643141945773526,80,0.055858867359583175,121,0.9643141945773526,80,0.47978341748088044,109,0.8978453383646615,121,0.9096656372099257,121,0.8993700523778887,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.02073475594579547,121,328,13,315,,
P,R3-P3,SEED,53,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121,1693,1473,220,203,3,11,14,0.9979633401221996,0.05,0.7857142857142857,0.008269344359125812,0.7857142857142857,0.05,0.8755211435378202,0.8770883054892601,0.8763040238450075,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0018605688138410015,121,0.998954248366013,120,0.01163692215820384,51,0.6458333333333334,6,0.0024253314937244014,121,0.6458333333333334,6,0.01163692215820384,51,0.9077075762839352,121,0.9130872114761598,121,0.9133720198850067,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,5.927877817825389e-06,120,14,3,11,,
P,R3-P3,SEED,53,SOURCE,petfold,IMMUTABLE_V3_VETO2_FIXED,1,121,1704,1463,241,213,3,24,27,0.9979494190020506,0.0995850622406639,0.8888888888888888,0.01584507042253521,0.8888888888888888,0.0995850622406639,0.8706022659511031,0.8711217183770883,0.8708619147032508,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.005181441330469716,121,0.9988153594771242,120,0.08893678160919541,58,0.9059829059829061,13,0.007361492838570469,121,0.9059829059829061,13,0.08893678160919541,58,0.9004918347273936,121,0.9070171329271085,121,0.9067304597901809,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.002407495031202754,120,27,3,24,,
P,R3-P3,SEED,53,SOURCE,trrosettarna2_native_ss,IMMUTABLE_V3_VETO2_FIXED,1,121,1893,1461,432,215,7,280,287,0.9952087611225188,0.6481481481481481,0.975609756097561,0.15161119915478077,0.975609756097561,0.6481481481481481,0.9053549190535491,0.8675417661097852,0.8860450944546009,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.06732836707998613,121,0.9959795514330746,116,0.616174895232886,106,0.9713636363636364,80,0.13084147811138136,121,0.9713636363636364,80,0.616174895232886,106,0.8844309857924291,121,0.9088925672265087,121,0.9301463054127957,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.05094427894892785,116,287,7,280,,
