track,baseline,historical_seed,variant,stratum,source,fold,channel,aggregation,n_events,positive_count,positive_prevalence,auprc,auroc
P,R3-P1,17,,POOLED,ALL,ALL,ALL,EVENT_POOLED,5290,893,0.16880907372400755,0.697015263618245,0.8609542646021758
P,R3-P1,17,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,1693,220,0.1299468399291199,0.33704897289001523,0.7686431525026229
P,R3-P1,17,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,1704,241,0.1414319248826291,0.4239405716545956,0.7941463428469325
P,R3-P1,17,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,1893,432,0.22820919175911253,0.8990255170110233,0.9400540598778108
P,R3-P1,17,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.596907002974187,0.8029305768359265
P,R3-P1,17,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.6513176279479326,0.8310084994729878
P,R3-P1,17,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.7429846349171005,0.8640930839495433
P,R3-P1,17,,FOLD,ALL,3,ALL,EVENT_POOLED,953,119,0.1248688352570829,0.778206491391734,0.9277754267174496
P,R3-P1,17,,FOLD,ALL,4,ALL,EVENT_POOLED,1005,151,0.15024875621890546,0.6769955685129863,0.8556694635296307
P,R3-P1,29,,POOLED,ALL,ALL,ALL,EVENT_POOLED,5290,893,0.16880907372400755,0.6955788366090763,0.8639212677074692
P,R3-P1,29,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,1693,220,0.1299468399291199,0.32210638923647866,0.7672514349194594
P,R3-P1,29,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,1704,241,0.1414319248826291,0.41385925551335323,0.7982304875731389
P,R3-P1,29,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,1893,432,0.22820919175911253,0.9001128406556121,0.9436237229700611
P,R3-P1,29,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.6002518561744775,0.8151736837940684
P,R3-P1,29,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.64026207414534,0.8283173734610123
P,R3-P1,29,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.7502649259021317,0.8705021204871684
P,R3-P1,29,,FOLD,ALL,3,ALL,EVENT_POOLED,953,119,0.1248688352570829,0.7586318183607458,0.9223646293049594
P,R3-P1,29,,FOLD,ALL,4,ALL,EVENT_POOLED,1005,151,0.15024875621890546,0.6802742779259882,0.8551343890069327
P,R3-P1,41,,POOLED,ALL,ALL,ALL,EVENT_POOLED,5290,893,0.16880907372400755,0.6969744712875332,0.8633515521755774
P,R3-P1,41,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,1693,220,0.1299468399291199,0.33572961648292654,0.7738489785842128
P,R3-P1,41,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,1704,241,0.1414319248826291,0.4280959626357824,0.7998471281939288
P,R3-P1,41,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,1893,432,0.22820919175911253,0.8989946997825531,0.9394567394225163
P,R3-P1,41,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.6145304871228828,0.8200004316018904
P,R3-P1,41,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.6503560945614184,0.8391827947343634
P,R3-P1,41,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.7412423348448076,0.8590066333188343
P,R3-P1,41,,FOLD,ALL,3,ALL,EVENT_POOLED,953,119,0.1248688352570829,0.7767700494023974,0.9274126916953832
P,R3-P1,41,,FOLD,ALL,4,ALL,EVENT_POOLED,1005,151,0.15024875621890546,0.6772463228706844,0.8572979512074073
P,R3-P1,53,,POOLED,ALL,ALL,ALL,EVENT_POOLED,5290,893,0.16880907372400755,0.7042881255809368,0.8659224030636791
P,R3-P1,53,,SOURCE,rnafold,ALL,ALL,EVENT_POOLED,1693,220,0.1299468399291199,0.3439358725589541,0.7738644078257113
P,R3-P1,53,,SOURCE,petfold,ALL,ALL,EVENT_POOLED,1704,241,0.1414319248826291,0.4451831412122048,0.8003888446124742
P,R3-P1,53,,SOURCE,trrosettarna2_native_ss,ALL,ALL,EVENT_POOLED,1893,432,0.22820919175911253,0.90142891537688,0.9438906951098943
P,R3-P1,53,,FOLD,ALL,0,ALL,EVENT_POOLED,1082,149,0.1377079482439926,0.6036914494900946,0.8160368875749009
P,R3-P1,53,,FOLD,ALL,1,ALL,EVENT_POOLED,853,122,0.14302461899179367,0.6506381689977718,0.8282949474109125
P,R3-P1,53,,FOLD,ALL,2,ALL,EVENT_POOLED,1397,352,0.25196850393700787,0.7551790238304131,0.87242143323184
