track,baseline,historical_seed,variant,stratum,source,fold,channel,aggregation,n_rnas,auprc,auprc_defined_rnas,auroc,auroc_defined_rnas,positive_prevalence,prevalence_defined_rnas
P,R3-P1,17,,POOLED,ALL,ALL,ALL,RNA_BALANCED,121,0.8480295585506916,109,0.9102252983078805,109,0.14780537404819033,121
P,R3-P1,17,,SOURCE,rnafold,ALL,ALL,RNA_BALANCED,121,0.582913612108526,51,0.7727987113249941,50,0.09306258383818085,121
P,R3-P1,17,,SOURCE,petfold,ALL,ALL,RNA_BALANCED,121,0.6685656248239059,58,0.8125148863902991,57,0.10474439764694966,121
P,R3-P1,17,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RNA_BALANCED,121,0.9333078710084319,106,0.9525646603012964,101,0.20943634431658956,121
P,R3-P1,17,,FOLD,ALL,0,ALL,RNA_BALANCED,25,0.8082591862947157,23,0.8887865171270085,23,0.14060206106526604,25
P,R3-P1,17,,FOLD,ALL,1,ALL,RNA_BALANCED,24,0.7315367594677563,20,0.8491295815521234,20,0.13947186399851194,24
P,R3-P1,17,,FOLD,ALL,2,ALL,RNA_BALANCED,24,0.8989538864126186,22,0.9269789325031759,22,0.19692859132835616,24
P,R3-P1,17,,FOLD,ALL,3,ALL,RNA_BALANCED,24,0.9331135142519706,22,0.9673369488534075,22,0.13051559396292414,24
P,R3-P1,17,,FOLD,ALL,4,ALL,RNA_BALANCED,24,0.8595019360577659,22,0.9143148454886565,22,0.13180889792684877,24
P,R3-P1,29,,POOLED,ALL,ALL,ALL,RNA_BALANCED,121,0.846013864705593,109,0.9126940830348748,109,0.14780537404819033,121
P,R3-P1,29,,SOURCE,rnafold,ALL,ALL,RNA_BALANCED,121,0.5948462051499683,51,0.7731501295719251,50,0.09306258383818085,121
P,R3-P1,29,,SOURCE,petfold,ALL,ALL,RNA_BALANCED,121,0.6769774733490205,58,0.8134772237203715,57,0.10474439764694966,121
P,R3-P1,29,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RNA_BALANCED,121,0.929753520075259,106,0.9568151785649334,101,0.20943634431658956,121
P,R3-P1,29,,FOLD,ALL,0,ALL,RNA_BALANCED,25,0.8432941080213164,23,0.9090177344958267,23,0.14060206106526604,25
P,R3-P1,29,,FOLD,ALL,1,ALL,RNA_BALANCED,24,0.7666500807440405,20,0.8520923654499569,20,0.13947186399851194,24
P,R3-P1,29,,FOLD,ALL,2,ALL,RNA_BALANCED,24,0.8764724932498009,22,0.9243067340572174,22,0.19692859132835616,24
P,R3-P1,29,,FOLD,ALL,3,ALL,RNA_BALANCED,24,0.8712132120905828,22,0.9586378815525493,22,0.13051559396292414,24
P,R3-P1,29,,FOLD,ALL,4,ALL,RNA_BALANCED,24,0.8653481652750051,22,0.9140735593174242,22,0.13180889792684877,24
P,R3-P1,41,,POOLED,ALL,ALL,ALL,RNA_BALANCED,121,0.8487616166219599,109,0.9108978186716473,109,0.14780537404819033,121
P,R3-P1,41,,SOURCE,rnafold,ALL,ALL,RNA_BALANCED,121,0.6022367314306417,51,0.7757420844105276,50,0.09306258383818085,121
P,R3-P1,41,,SOURCE,petfold,ALL,ALL,RNA_BALANCED,121,0.6770082838676212,58,0.8154940373198449,57,0.10474439764694966,121
P,R3-P1,41,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RNA_BALANCED,121,0.9263445246056458,106,0.9530121803471214,101,0.20943634431658956,121
P,R3-P1,41,,FOLD,ALL,0,ALL,RNA_BALANCED,25,0.8347612282764247,23,0.9001261351961057,23,0.14060206106526604,25
P,R3-P1,41,,FOLD,ALL,1,ALL,RNA_BALANCED,24,0.7383698807513314,20,0.8554042304486208,20,0.13947186399851194,24
P,R3-P1,41,,FOLD,ALL,2,ALL,RNA_BALANCED,24,0.8757373285617931,22,0.9172570013915206,22,0.19692859132835616,24
P,R3-P1,41,,FOLD,ALL,3,ALL,RNA_BALANCED,24,0.9345729347753448,22,0.9662675200131114,22,0.13051559396292414,24
P,R3-P1,41,,FOLD,ALL,4,ALL,RNA_BALANCED,24,0.8509674796814639,22,0.910878956628401,22,0.13180889792684877,24
P,R3-P1,53,,POOLED,ALL,ALL,ALL,RNA_BALANCED,121,0.8476990372634856,109,0.9133247834530084,109,0.14780537404819033,121
P,R3-P1,53,,SOURCE,rnafold,ALL,ALL,RNA_BALANCED,121,0.5835337156081499,51,0.770313553996755,50,0.09306258383818085,121
P,R3-P1,53,,SOURCE,petfold,ALL,ALL,RNA_BALANCED,121,0.6649457263833984,58,0.8091877433031773,57,0.10474439764694966,121
P,R3-P1,53,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RNA_BALANCED,121,0.9298880068760701,106,0.9580206945966441,101,0.20943634431658956,121
P,R3-P1,53,,FOLD,ALL,0,ALL,RNA_BALANCED,25,0.826124960396506,23,0.8965561635594932,23,0.14060206106526604,25
P,R3-P1,53,,FOLD,ALL,1,ALL,RNA_BALANCED,24,0.7266205266639544,20,0.8415952694845762,20,0.13947186399851194,24
P,R3-P1,53,,FOLD,ALL,2,ALL,RNA_BALANCED,24,0.8956467433330458,22,0.9272735685308244,22,0.19692859132835616,24
P,R3-P1,53,,FOLD,ALL,3,ALL,RNA_BALANCED,24,0.9098650000251304,22,0.9682793416886863,22,0.13051559396292414,24
P,R3-P1,53,,FOLD,ALL,4,ALL,RNA_BALANCED,24,0.8702114584291518,22,0.9271609190903992,22,0.13180889792684877,24
P,R3-P1,67,,POOLED,ALL,ALL,ALL,RNA_BALANCED,121,0.8549693633372356,109,0.9107415035482077,109,0.14780537404819033,121
P,R3-P1,67,,SOURCE,rnafold,ALL,ALL,RNA_BALANCED,121,0.6256402359390333,51,0.7737852909219965,50,0.09306258383818085,121
P,R3-P1,67,,SOURCE,petfold,ALL,ALL,RNA_BALANCED,121,0.6814964276180678,58,0.8088665472146995,57,0.10474439764694966,121
P,R3-P1,67,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RNA_BALANCED,121,0.92847125631449,106,0.9526286722367789,101,0.20943634431658956,121
P,R3-P1,67,,FOLD,ALL,0,ALL,RNA_BALANCED,25,0.8395744256866027,23,0.9035163497652038,23,0.14060206106526604,25
P,R3-P1,67,,FOLD,ALL,1,ALL,RNA_BALANCED,24,0.7595116404052444,20,0.8441636805843551,20,0.13947186399851194,24
P,R3-P1,67,,FOLD,ALL,2,ALL,RNA_BALANCED,24,0.9025012449160492,22,0.9295663978678325,22,0.19692859132835616,24
P,R3-P1,67,,FOLD,ALL,3,ALL,RNA_BALANCED,24,0.9022771415848809,22,0.957290024245846,22,0.13051559396292414,24
P,R3-P1,67,,FOLD,ALL,4,ALL,RNA_BALANCED,24,0.8630041591746122,22,0.9134469519984961,22,0.13180889792684877,24
P,R3-P2,,,POOLED,ALL,ALL,ALL,RNA_BALANCED,121,0.8601122874986565,109,0.9219905965496082,109,0.14780537404819033,121
P,R3-P2,,,SOURCE,rnafold,ALL,ALL,RNA_BALANCED,121,0.6520704777240075,51,0.8000719260147026,50,0.09306258383818085,121
P,R3-P2,,,SOURCE,petfold,ALL,ALL,RNA_BALANCED,121,0.7150801485782164,58,0.8343032392671789,57,0.10474439764694966,121
P,R3-P2,,,SOURCE,trrosettarna2_native_ss,ALL,ALL,RNA_BALANCED,121,0.8555582815005344,106,0.9295242335683036,101,0.20943634431658956,121
P,R3-P2,,,FOLD,ALL,0,ALL,RNA_BALANCED,25,0.8694791071206214,23,0.8986707852485007,23,0.14060206106526604,25
P,R3-P2,,,FOLD,ALL,1,ALL,RNA_BALANCED,24,0.8476968566861249,20,0.9171352495250182,20,0.13947186399851194,24
P,R3-P2,,,FOLD,ALL,2,ALL,RNA_BALANCED,24,0.8471721410617569,22,0.9130192347901622,22,0.19692859132835616,24
