source,support_other_count,risk,pair_count,fp_count,fp_prevalence
ALL,0,2,504,424,0.8412698412698413
ALL,1,1,586,370,0.6313993174061433
ALL,2,0,4200,99,0.023571428571428573
rnafold,0,2,16,15,0.9375
rnafold,1,1,277,172,0.6209386281588448
rnafold,2,0,1400,33,0.023571428571428573
petfold,0,2,23,23,1.0
petfold,1,1,281,185,0.6583629893238434
petfold,2,0,1400,33,0.023571428571428573
trrosettarna2_native_ss,0,2,465,386,0.8301075268817204
trrosettarna2_native_ss,1,1,28,13,0.4642857142857143
trrosettarna2_native_ss,2,0,1400,33,0.023571428571428573
