track,baseline,summary_level,historical_seed,scope,source,operating_semantics,high_preservation_eligible,achieved_event_context_count,achieved_event_pair_event_count,achieved_event_tp_before,achieved_event_fp_before,achieved_event_fn_before,achieved_event_lost_tp,achieved_event_removed_fp,achieved_event_deleted_pair_count,achieved_event_tp_preservation,achieved_event_fp_removal,achieved_event_modification_precision,achieved_event_coverage,achieved_event_delete_precision,achieved_event_delete_recall,achieved_event_resulting_precision,achieved_event_resulting_recall,achieved_event_resulting_f1,achieved_event_original_precision,achieved_event_original_recall,achieved_event_original_f1,achieved_event_delta_f1,achieved_rna_balanced_rna_count,achieved_rna_balanced_tp_preservation,achieved_rna_balanced_tp_preservation_defined_rnas,achieved_rna_balanced_fp_removal,achieved_rna_balanced_fp_removal_defined_rnas,achieved_rna_balanced_modification_precision,achieved_rna_balanced_modification_precision_defined_rnas,achieved_rna_balanced_coverage,achieved_rna_balanced_coverage_defined_rnas,achieved_rna_balanced_delete_precision,achieved_rna_balanced_delete_precision_defined_rnas,achieved_rna_balanced_delete_recall,achieved_rna_balanced_delete_recall_defined_rnas,achieved_rna_balanced_resulting_precision,achieved_rna_balanced_resulting_precision_defined_rnas,achieved_rna_balanced_resulting_recall,achieved_rna_balanced_resulting_recall_defined_rnas,achieved_rna_balanced_resulting_f1,achieved_rna_balanced_resulting_f1_defined_rnas,achieved_rna_balanced_original_precision,achieved_rna_balanced_original_precision_defined_rnas,achieved_rna_balanced_original_recall,achieved_rna_balanced_original_recall_defined_rnas,achieved_rna_balanced_original_f1,achieved_rna_balanced_original_f1_defined_rnas,achieved_rna_balanced_delta_f1,achieved_rna_balanced_delta_f1_defined_rnas,achieved_rna_balanced_deleted_pair_count,achieved_rna_balanced_lost_tp,achieved_rna_balanced_removed_fp
P,R3-P2,BASELINE,,SOURCE,rnafold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1693,1473,220,203,0,0,0,1.0,0.0,,0.0,,0.0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,121,1.0,120,0.0,51,,0,0.0,121,,0,0.0,51,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.0,120,0,0,0
P,R3-P2,BASELINE,,SOURCE,petfold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1704,1463,241,213,0,0,0,1.0,0.0,,0.0,,0.0,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,121,1.0,120,0.0,58,,0,0.0,121,,0,0.0,58,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0,120,0,0,0
P,R3-P2,BASELINE,,SOURCE,trrosettarna2_native_ss,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1893,1461,432,215,0,0,0,1.0,0.0,,0.0,,0.0,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,121,1.0,116,0.0,106,,0,0.0,121,,0,0.0,106,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.0,116,0,0,0
P,R3-P4,BASELINE,,SOURCE,rnafold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1693,1473,220,203,0,0,0,1.0,0.0,,0.0,,0.0,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,121,1.0,120,0.0,51,,0,0.0,121,,0,0.0,51,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,0.0,120,0,0,0
P,R3-P4,BASELINE,,SOURCE,petfold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,1,121,1704,1463,241,213,0,17,17,1.0,0.07053941908713693,1.0,0.009976525821596244,1.0,0.07053941908713693,0.8672199170124482,0.8729116945107399,0.8700564971751413,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0043760238023602405,121,1.0,120,0.12083333333333333,58,1.0,12,0.007287868124860596,121,1.0,12,0.12083333333333333,58,0.9021392975382934,121,0.9077787598919441,121,0.9080360062011259,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0037130414421477718,120,17,0,17
P,R3-P4,BASELINE,,SOURCE,trrosettarna2_native_ss,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,121,1893,1461,432,215,28,371,399,0.9808350444900753,0.8587962962962963,0.9298245614035088,0.21077654516640254,0.9298245614035088,0.8587962962962963,0.9591700133868809,0.8550119331742243,0.9041009463722398,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.08538421899762505,121,0.9793137657361796,116,0.8669643914926934,106,0.9460955710955711,104,0.19734957613439477,121,0.9460955710955711,104,0.8669643914926934,106,0.9517131719393427,117,0.8924524026142665,121,0.94582597520578,115,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.06670818232821654,115,399,28,371
P,R3-P1,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,rnafold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,121.0,1693.0,1473.0,220.0,203.0,20.8,12.8,33.6,0.9858791581805837,0.05818181818181818,0.3722459011965535,0.01984642646190195,0.3722459011965535,0.05818181818181818,0.875144269151299,0.8664677804295943,0.8707791214669104,0.87005316007088,0.8788782816229117,0.8744434550311665,-0.003664333564255928,121.0,0.9928130142867347,120.0,0.028090533905933236,51.0,0.2853253968253968,14.4,0.008275323646574904,121.0,0.2853253968253968,14.4,0.028090533905933236,51.0,0.9077710508773448,121.0,0.9076911944379971,121.0,0.9106279506775573,120.0,0.9069374161618189,121.0,0.913867030654728,121.0,0.913366092007189,120.0,-0.002738141329631553,120.0,33.6,20.8,12.8
P,R3-P1,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,petfold,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,121.0,1704.0,1463.0,241.0,213.0,23.0,28.2,51.2,0.9842788790157211,0.11701244813278008,0.5521827608784131,0.03004694835680751,0.5521827608784131,0.11701244813278008,0.871257508228895,0.8591885441527447,0.8651757041649659,0.8585680751173708,0.87291169451074,0.865680473372781,-0.00050476920781517,121.0,0.9919518561138224,120.0,0.1335236602477982,58.0,0.6113522622476378,22.2,0.015020532606651937,121.0,0.6113522622476378,22.2,0.1335236602477982,58.0,0.9017313647772797,121.0,0.9008441294799077,121.0,0.9040905819304875,120.0,0.8952556023530501,121.0,0.9077787598919441,121.0,0.9043229647589779,120.0,-0.00023238282849051412,120.0,51.2,23.0,28.2
P,R3-P1,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,trrosettarna2_native_ss,VALIDATION_SELECTED_THRESHOLD_BY_FOLD,0,121.0,1893.0,1461.0,432.0,215.0,20.2,322.8,343.0,0.9861738535249829,0.7472222222222221,0.9411266719818491,0.18119387216059166,0.9411266719818491,0.7472222222222221,0.929549779213092,0.8596658711217184,0.893242454792061,0.7717908082408875,0.8717183770883054,0.8187167273746148,0.0745257274174463,121.0,0.9893126510957888,116.0,0.7479244507088568,106.0,0.9444819682481171,95.8,0.1619587914759727,121.0,0.9444819682481171,95.8,0.7479244507088568,106.0,0.903032030944037,121.0,0.902575131840764,121.0,0.936813203020046,116.0,0.7905636556834099,121.0,0.912084910615128,121.0,0.8792020264638676,116.0,0.05761117655617807,116.0,343.0,20.2,322.8
P,R3-P3,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121.0,1693.0,1473.0,220.0,203.0,4.4,8.4,12.8,0.9970128988458928,0.038181818181818185,0.6354761904761904,0.0075605434140578855,0.6354761904761904,0.038181818181818185,0.8740667656421074,0.8762529832935562,0.8751570728349934,0.87005316007088,0.8788782816229117,0.8744434550311665,0.0007136178038269936,121.0,0.9986164517205601,120.0,0.013109372516354823,51.0,0.5822619047619048,6.0,0.0023004389883083945,121.0,0.5822619047619048,6.0,0.013109372516354823,51.0,0.9075411523813717,121.0,0.9128862011402971,121.0,0.9131921402746617,120.0,0.9069374161618189,121.0,0.913867030654728,121.0,0.913366092007189,120.0,-0.00017395173252724607,120.0,12.8,4.4,8.4
