source_model,condition,n_samples,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_precision,macro_delta_recall,macro_delta_f1,micro_delta_precision,micro_delta_recall,micro_delta_f1,total_modified_pairs,total_beneficial_edits,total_harmful_edits,pooled_beneficial_edit_fraction,pooled_harmful_edit_fraction,pooled_correct_pair_preservation_rate,n_rnas_modified,fraction_rnas_modified,pilot_outcome
rnafold,ORIGINAL,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,1.0,0,0.0,REFERENCE
rnafold,R1,121,1466,214,210,0.9090606860123617,0.909408408722591,0.9043917229932346,0.8726190476190476,0.8747016706443914,0.8736591179976162,0.002123269850542453,-0.004458621932137086,-0.001425888914721507,0.002565887548167556,-0.00417661097852029,-0.0007843370335502975,13,6,7,0.46153846153846156,0.5384615384615384,0.9952477936184657,11,0.09090909090909091,NO USEFUL SIGNAL
rnafold,R2,121,1432,189,244,0.9175337436023471,0.8889072581483141,0.8966339733572587,0.8834053053670574,0.8544152744630071,0.8686684865028814,0.010596327440527853,-0.024959772506414013,-0.00918363855069737,0.013352145296177342,-0.02446300715990457,-0.005774968528285074,72,31,41,0.4305555555555556,0.5694444444444444,0.9721656483367278,28,0.23140495867768596,NO USEFUL SIGNAL
rnafold,R3,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,1.0,0,0.0,NO USEFUL SIGNAL
rnafold,R1_R2,121,1425,183,251,0.9196815602068273,0.8844486362161771,0.8950881846945455,0.8861940298507462,0.8502386634844868,0.8678440925700366,0.012744144045008121,-0.029418394438550988,-0.010729427213410525,0.016140869779866174,-0.02863961813842486,-0.0065993624611299095,85,37,48,0.43529411764705883,0.5647058823529412,0.9674134419551935,35,0.2892561983471074,NO USEFUL SIGNAL
rnafold,R1_R3,121,1466,214,210,0.9090606860123617,0.909408408722591,0.9043917229932346,0.8726190476190476,0.8747016706443914,0.8736591179976162,0.002123269850542453,-0.004458621932137086,-0.001425888914721507,0.002565887548167556,-0.00417661097852029,-0.0007843370335502975,13,6,7,0.46153846153846156,0.5384615384615384,0.9952477936184657,11,0.09090909090909091,NO USEFUL SIGNAL
petfold,ORIGINAL,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,1.0,0,0.0,REFERENCE
petfold,R1,121,1461,233,215,0.8982866226101099,0.9074668933708152,0.898303560784444,0.8624557260920898,0.8717183770883055,0.8670623145400593,0.003031020257059591,-0.0003118665211289118,0.0014543395358700417,0.0038876509747188814,-0.0011933174224344478,0.0013818411672782416,10,8,2,0.8,0.2,0.9986329460013671,8,0.06611570247933884,USEFUL SIGNAL
petfold,R2,121,1430,206,246,0.9080727520365622,0.8873191827686747,0.891037208611278,0.8740831295843521,0.8532219570405728,0.8635265700483091,0.012817149683511886,-0.0204595771232694,-0.005812012637295916,0.015515054466981204,-0.019689737470167112,-0.002153903324471962,68,35,33,0.5147058823529411,0.4852941176470588,0.9774436090225563,28,0.23140495867768596,TRADE-OFF
petfold,R3,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,1.0,0,0.0,NO USEFUL SIGNAL
