variant,fold,seed,mode,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count,modification_precision,delete_recall,beneficial_harmful_ratio,correct_pair_preservation
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_UNGATED,0.9066120023767082,0.7773410084658167,0.8245192662933991,0.9123505976095617,0.6897590361445783,0.7855917667238422,-0.0782729893036313,-0.12725904568383872,94,17,14,80,0.14893617021276595,0.3888888888888889,0.175,0.7411003236245954
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_SELECTIVE,0.8867580061264272,0.9217598343685299,0.9023273433163287,0.8953488372093024,0.927710843373494,0.9112426035502958,-0.0004649122807017569,-0.0016082088573851072,1,1,0,1,0.0,0.0,0.0,0.9967637540453075
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_UNGATED,0.9041428571428571,0.7701501075792636,0.8144077499678651,0.9135802469135802,0.6686746987951807,0.7721739130434783,-0.08838450562916517,-0.1406768993642027,102,15,15,87,0.14705882352941177,0.4166666666666667,0.1724137931034483,0.7184466019417476
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_SELECTIVE,0.8890671329486507,0.906420135590468,0.8956744155970214,0.9,0.8945783132530121,0.8972809667673716,-0.007117840000009035,-0.015569845640309388,15,5,3,12,0.2,0.08333333333333333,0.25,0.9611650485436893
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_UNGATED,0.9093600517129928,0.7711586227356048,0.818660992062142,0.921161825726141,0.6686746987951807,0.774869109947644,-0.08413126353488845,-0.13798170246003694,104,19,17,87,0.16346153846153846,0.4722222222222222,0.19540229885057472,0.7184466019417476
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_SELECTIVE,0.8877103870788082,0.9129675638371291,0.8982423447235901,0.8978978978978979,0.9006024096385542,0.8992481203007519,-0.004549910873440286,-0.013602692106929104,12,2,2,10,0.16666666666666666,0.05555555555555555,0.2,0.9676375404530745
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_UNGATED,0.9134034690799396,0.7655337861342977,0.8186748714289626,0.9214876033057852,0.6716867469879518,0.7770034843205574,-0.08411738416806791,-0.13584732808712352,103,19,17,86,0.1650485436893204,0.4722222222222222,0.19767441860465115,0.7216828478964401
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_SELECTIVE,0.8874722918407129,0.9194068931920595,0.9014914819026397,0.8976608187134503,0.9246987951807228,0.9109792284866469,-0.0013007736943907177,-0.0018715839210340368,3,2,1,2,0.3333333333333333,0.027777777777777776,0.5,0.9935275080906149
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_UNGATED,0.9131470588235294,0.7701705885475707,0.8203952004813501,0.921161825726141,0.6686746987951807,0.774869109947644,-0.08239705511568043,-0.13798170246003694,104,18,17,87,0.16346153846153846,0.4722222222222222,0.19540229885057472,0.7184466019417476
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_SELECTIVE,0.8867580061264272,0.9217598343685299,0.9023273433163287,0.8953488372093024,0.927710843373494,0.9112426035502958,-0.0004649122807017569,-0.0016082088573851072,1,1,0,1,0.0,0.0,0.0,0.9967637540453075
MODEL_SPECIFIC_RNAFOLD,1,17,LEARNED_UNGATED,0.927533749833521,0.7839000120250118,0.8445510359208793,0.9241071428571429,0.7666666666666667,0.8380566801619433,-0.055614352507566044,-0.05205320994794671,52,23,16,36,0.3076923076923077,0.48484848484848486,0.4444444444444444,0.8518518518518519
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_UNGATED,0.9233587440824284,0.7636983676046176,0.829094131748516,0.9245283018867925,0.725925925925926,0.8132780082987552,-0.07107125667992949,-0.07683188181113487,64,22,17,47,0.265625,0.5151515151515151,0.3617021276595745,0.8065843621399177
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_SELECTIVE,0.8914944859501311,0.9164964375901876,0.9001653884284454,0.8804347826086957,0.9,0.8901098901098901,0.0,0.0,0,0,0,0,,0.0,,1.0
