variant,fold,seed,mode,source_model,macro_delta_f1,micro_delta_f1,modification_precision,correct_pair_preservation,modified_pair_count,modified_rna_count
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_UNGATED,rnafold,-0.0782729893036313,-0.12725904568383872,0.14893617021276595,0.7411003236245954,94,17
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_SELECTIVE,rnafold,-0.0004649122807017569,-0.0016082088573851072,0.0,0.9967637540453075,1,1
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,17,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_UNGATED,rnafold,-0.08838450562916517,-0.1406768993642027,0.14705882352941177,0.7184466019417476,102,15
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_SELECTIVE,rnafold,-0.007117840000009035,-0.015569845640309388,0.2,0.9611650485436893,15,5
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,29,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_UNGATED,rnafold,-0.08413126353488845,-0.13798170246003694,0.16346153846153846,0.7184466019417476,104,19
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_SELECTIVE,rnafold,-0.004549910873440286,-0.013602692106929104,0.16666666666666666,0.9676375404530745,12,2
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,41,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_UNGATED,rnafold,-0.08411738416806791,-0.13584732808712352,0.1650485436893204,0.7216828478964401,103,19
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_SELECTIVE,rnafold,-0.0013007736943907177,-0.0018715839210340368,0.3333333333333333,0.9935275080906149,3,2
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,53,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_UNGATED,rnafold,-0.08239705511568043,-0.13798170246003694,0.16346153846153846,0.7184466019417476,104,18
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_SELECTIVE,rnafold,-0.0004649122807017569,-0.0016082088573851072,0.0,0.9967637540453075,1,1
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,0,67,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,17,LEARNED_UNGATED,rnafold,-0.055614352507566044,-0.05205320994794671,0.3076923076923077,0.8518518518518519,52,23
MODEL_SPECIFIC_RNAFOLD,1,17,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_UNGATED,rnafold,-0.07107125667992949,-0.07683188181113487,0.265625,0.8065843621399177,64,22
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_SELECTIVE,rnafold,0.0,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,29,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,41,LEARNED_UNGATED,rnafold,-0.057364037550777576,-0.06153846153846143,0.2857142857142857,0.8353909465020576,56,22
MODEL_SPECIFIC_RNAFOLD,1,41,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,53,LEARNED_UNGATED,rnafold,-0.05576235994931694,-0.055079340211723005,0.3090909090909091,0.8436213991769548,55,21
MODEL_SPECIFIC_RNAFOLD,1,53,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,67,LEARNED_UNGATED,rnafold,-0.061979956237258695,-0.061243910728446704,0.3114754098360656,0.8271604938271605,61,23
MODEL_SPECIFIC_RNAFOLD,1,67,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,1,67,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_UNGATED,rnafold,-0.10895526250646327,-0.10602860826324512,0.4175257731958763,0.6789772727272727,194,24
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_SELECTIVE,rnafold,-0.00039144141599881344,0.0015674248232387944,0.7142857142857143,0.9943181818181818,7,2
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_UNGATED,rnafold,-0.13401819883782587,-0.12773402235158615,0.39215686274509803,0.6477272727272727,204,24
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_SELECTIVE,rnafold,0.0002601626016260165,0.001704022849397302,1.0,1.0,2,1
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,41,LEARNED_UNGATED,rnafold,-0.15528265631149502,-0.14826614307882324,0.375,0.6164772727272727,216,24
MODEL_SPECIFIC_RNAFOLD,2,41,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_UNGATED,rnafold,-0.11440983795975596,-0.10974910723864706,0.40932642487046633,0.6761363636363636,193,23
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_SELECTIVE,rnafold,0.0005946401484937918,0.003288165774292251,0.7777777777777778,0.9943181818181818,9,3
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_UNGATED,rnafold,-0.11202651701583227,-0.11064294821200904,0.3978494623655914,0.6818181818181818,186,23
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_SELECTIVE,rnafold,-0.00028924419912831206,0.001429305660931468,0.6666666666666666,0.9886363636363636,12,4
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_UNGATED,rnafold,-0.05291180530711342,-0.05367903606695057,0.16666666666666666,0.8780487804878049,42,16
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,3,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
