variant,fold,seed,selected_threshold,status
MODEL_SPECIFIC_RNAFOLD,0,17,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,0,17,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,0,29,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,0,29,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,0,41,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,0,41,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,0,53,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,0,53,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,0,67,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,0,67,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,1,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,29,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,1,29,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,2,17,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,17,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,29,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,29,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,2,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_RNAFOLD,2,53,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,53,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,67,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,2,67,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,3,17,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,17,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,29,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,29,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,41,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,3,41,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,3,53,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,53,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,67,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,3,67,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,4,17,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,17,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,29,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,29,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,41,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,41,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,53,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,53,0.95,PASS
MODEL_SPECIFIC_RNAFOLD,4,67,0.9,PASS
MODEL_SPECIFIC_RNAFOLD,4,67,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,17,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,17,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,29,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,29,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,41,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,41,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,53,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,53,0.9,PASS
MODEL_SPECIFIC_PETFOLD,0,67,0.95,PASS
MODEL_SPECIFIC_PETFOLD,0,67,0.95,PASS
MODEL_SPECIFIC_PETFOLD,1,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,2,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,3,17,0.85,PASS
MODEL_SPECIFIC_PETFOLD,3,17,0.85,PASS
MODEL_SPECIFIC_PETFOLD,3,29,0.95,PASS
MODEL_SPECIFIC_PETFOLD,3,29,0.95,PASS
MODEL_SPECIFIC_PETFOLD,3,41,0.95,PASS
MODEL_SPECIFIC_PETFOLD,3,41,0.95,PASS
MODEL_SPECIFIC_PETFOLD,3,53,0.85,PASS
MODEL_SPECIFIC_PETFOLD,3,53,0.85,PASS
MODEL_SPECIFIC_PETFOLD,3,67,0.85,PASS
MODEL_SPECIFIC_PETFOLD,3,67,0.85,PASS
MODEL_SPECIFIC_PETFOLD,4,17,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,17,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,29,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,29,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,41,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,41,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,4,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_PETFOLD,4,67,0.95,PASS
MODEL_SPECIFIC_PETFOLD,4,67,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,17,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,17,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,29,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,29,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,41,0.9,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,41,0.9,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,53,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,53,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,67,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,0,67,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,1,17,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,1,17,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,1,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,2,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,3,17,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,3,17,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,3,29,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,3,29,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,3,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,3,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,3,53,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,3,53,0.95,PASS
MODEL_SPECIFIC_TRROSETTARNA2,3,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,3,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD
MODEL_SPECIFIC_TRROSETTARNA2,4,17,0.85,PASS
MODEL_SPECIFIC_TRROSETTARNA2,4,17,0.85,PASS
MODEL_SPECIFIC_TRROSETTARNA2,4,29,0.9,PASS
