scope,source_model,fold,seed,cross_deployable,base_deployable,precision_cross,precision_base,precision_gain,recall_gain,preservation_gain,macro_delta_gain,micro_delta_gain
pooled,ALL,0,17,True,True,0.967741935483871,0.7631578947368421,NA,0.01342281879194629,0.017148981779206873,0.0047723509263461646,0.009525197025197052
pooled,ALL,0,29,True,True,0.9125,0.7317073170731707,NA,0.08724832214765105,0.01607717041800638,0.007834129022991736,0.01410127562432173
pooled,ALL,0,41,True,True,0.9036144578313253,0.6804123711340206,NA,0.06040268456375841,0.024651661307609873,0.008244035939337278,0.016667109469787444
pooled,ALL,0,53,True,True,0.875,0.6818181818181818,NA,0.06711409395973156,0.019292604501607746,0.008660790281676056,0.014376185230456584
pooled,ALL,0,67,False,True,,0.7,NA,-0.4228187919463087,0.02893890675241162,-0.01495564932020601,-0.013489987083230792
pooled,ALL,1,17,False,False,,,NA,0.0,0.0,0.0,0.0
pooled,ALL,1,29,False,False,,,NA,0.0,0.0,0.0,0.0
pooled,ALL,1,41,False,False,,,NA,0.0,0.0,0.0,0.0
pooled,ALL,1,53,False,False,,,NA,0.0,0.0,0.0,0.0
pooled,ALL,1,67,False,False,,,NA,0.0,0.0,0.0,0.0
pooled,ALL,2,17,False,True,,0.8513513513513513,NA,-0.35795454545454547,0.021052631578947323,-0.018610471379540732,-0.02563194681958647
pooled,ALL,2,29,False,True,,0.9,NA,-0.35795454545454547,0.013397129186602852,-0.020797734162694186,-0.02933845367487875
pooled,ALL,2,41,False,True,,0.8662420382165605,NA,-0.38636363636363635,0.020095693779904278,-0.02075044540094824,-0.029068658308295747
pooled,ALL,2,53,False,True,,0.8709677419354839,NA,-0.3835227272727273,0.019138755980861233,-0.018979546045367224,-0.029235188141009005
pooled,ALL,2,67,True,True,0.8695652173913043,0.8670886075949367,NA,0.23579545454545453,-0.011483253588516762,0.00818819841042958,0.01992388912185661
pooled,ALL,3,17,False,True,,0.8987341772151899,NA,-0.5966386554621849,0.00959232613908878,-0.01670136441388999,-0.030034141788840674
pooled,ALL,3,29,True,True,1.0,0.8554216867469879,NA,-0.12605042016806722,0.014388489208633115,-5.155227626801526e-05,-0.0003844126175204243
pooled,ALL,3,41,True,True,0.9411764705882353,0.8875,NA,0.0756302521008404,0.004796163069544446,0.004867380232153051,0.007010213556174594
pooled,ALL,3,53,False,True,,0.8674698795180723,NA,-0.6050420168067226,0.013189448441247031,-0.015381552538522561,-0.028737020329390628
pooled,ALL,3,67,True,True,1.0,0.875,NA,-0.10084033613445381,0.011990407673860948,-0.0012065546812704189,-7.805829979268264e-05
pooled,ALL,4,17,False,True,,0.9803921568627451,NA,-0.33112582781456956,0.0011709601873536313,-0.02280597183597385,-0.02320425361155698
pooled,ALL,4,29,False,True,,0.98,NA,-0.32450331125827814,0.0011709601873536313,-0.02336539327120178,-0.02271613190730848
pooled,ALL,4,41,False,True,,0.98,NA,-0.32450331125827814,0.0011709601873536313,-0.02215619925637671,-0.02271613190730848
pooled,ALL,4,53,False,True,,0.9272727272727272,NA,-0.33774834437086093,0.004683840749414525,-0.023272225349930113,-0.021944816800715028
pooled,ALL,4,67,False,True,,0.9803921568627451,NA,-0.33112582781456956,0.0011709601873536313,-0.023061448352412108,-0.02320425361155698
source,rnafold,0,17,True,True,0.6666666666666666,0.125,NA,0.027777777777777776,0.01941747572815533,0.0048767318702802554,0.011106527746359562
source,rnafold,0,29,True,True,0.6666666666666666,0.1111111111111111,NA,0.1388888888888889,0.016181229773462813,0.007172831942141404,0.014970059880239472
source,rnafold,0,41,True,True,0.6666666666666666,0.2,NA,0.1388888888888889,0.02588996763754048,0.007189624790398379,0.020012266315335148
source,rnafold,0,53,True,True,0.5454545454545454,0.15384615384615385,NA,0.1111111111111111,0.01941747572815533,0.00575442973993992,0.015322551467129797
source,rnafold,0,67,False,True,,0.21428571428571427,NA,-0.08333333333333333,0.035598705501618144,0.00631631515482447,0.01390661934584081
source,rnafold,1,17,False,False,,,NA,0.0,0.0,0.0,0.0
source,rnafold,1,29,False,False,,,NA,0.0,0.0,0.0,0.0
source,rnafold,1,41,False,False,,,NA,0.0,0.0,0.0,0.0
source,rnafold,1,53,False,False,,,NA,0.0,0.0,0.0,0.0
source,rnafold,1,67,False,False,,,NA,0.0,0.0,0.0,0.0
source,rnafold,2,17,False,True,,0.4166666666666667,NA,-0.05102040816326531,0.019886363636363646,0.0024286287125712077,0.005252208815683224
source,rnafold,2,29,False,True,,0.5,NA,-0.030612244897959183,0.008522727272727293,0.00043182739697099115,0.0015024798210638846
source,rnafold,2,41,False,True,,0.5555555555555556,NA,-0.10204081632653061,0.022727272727272707,0.002492789458303867,0.002325925195880374
source,rnafold,2,53,False,True,,0.6428571428571429,NA,-0.09183673469387756,0.014204545454545414,0.0010956564974365184,-0.0009271978021977434
source,rnafold,2,67,True,True,0.8103448275862069,0.5,NA,0.40816326530612246,-0.011363636363636354,0.010774644552348046,0.030380197853789426
source,rnafold,3,17,False,True,,0.0,NA,0.0,0.0034843205574912606,0.0008768746976294169,0.0017386171554291119
source,rnafold,3,29,True,True,,0.0,NA,0.0,0.006968641114982632,0.002420084574172629,0.0034829440552111013
source,rnafold,3,41,True,True,0.8333333333333334,0.0,NA,0.3333333333333333,0.0,0.003778195742481459,0.007749627421758554
source,rnafold,3,53,False,True,,0.0,NA,0.0,0.006968641114982632,0.002420084574172629,0.0034829440552111013
source,rnafold,3,67,True,True,,0.0,NA,0.0,0.006968641114982632,0.002420084574172629,0.0034829440552111013
source,rnafold,4,17,False,True,,1.0,NA,-0.02631578947368421,0.0,-0.00047274387063119444,-0.0014461538461538748
source,rnafold,4,29,False,True,,,NA,0.0,0.0,0.0,0.0
source,rnafold,4,41,False,True,,1.0,NA,-0.02631578947368421,0.0,-0.00047274387063119444,-0.0014461538461538748
source,rnafold,4,53,False,True,,0.3333333333333333,NA,-0.02631578947368421,0.007092198581560294,0.0012299229387189674,0.0020784565916398545
source,rnafold,4,67,False,True,,0.5,NA,-0.02631578947368421,0.0035460992907800915,0.00023148148148148065,0.0003133226324237848
source,petfold,0,17,True,True,0.8333333333333334,0.3,NA,0.047619047619047616,0.01948051948051943,0.006771468712385515,0.012450690335305659
source,petfold,0,29,True,True,0.7692307692307693,0.3333333333333333,NA,0.14285714285714285,0.016233766233766267,0.008190468872663993,0.016286281596501806
source,petfold,0,41,True,True,0.7142857142857143,0.3333333333333333,NA,0.09523809523809523,0.025974025974025983,0.007393317044907328,0.018613375658321885
source,petfold,0,53,True,True,0.6428571428571429,0.26666666666666666,NA,0.11904761904761904,0.01948051948051943,0.0076557347265443585,0.01663090610383433
source,petfold,0,67,False,True,,0.3888888888888889,NA,-0.16666666666666666,0.0357142857142857,0.0019982761756890313,0.008647493198600809
source,petfold,1,17,False,False,,,NA,0.0,0.0,0.0,0.0
source,petfold,1,29,False,False,,,NA,0.0,0.0,0.0,0.0
source,petfold,1,41,False,False,,,NA,0.0,0.0,0.0,0.0
source,petfold,1,53,False,False,,,NA,0.0,0.0,0.0,0.0
source,petfold,1,67,False,False,,,NA,0.0,0.0,0.0,0.0
source,petfold,2,17,False,True,,0.5263157894736842,NA,-0.0970873786407767,0.025862068965517238,0.0007747964327242327,0.0039059231219820134
source,petfold,2,29,False,True,,0.6428571428571429,NA,-0.08737864077669903,0.014367816091954033,-0.0014950403884415736,-0.0007758512029976128
source,petfold,2,41,False,True,,0.6666666666666666,NA,-0.13592233009708737,0.02011494252873558,-0.0006898326121157067,-0.0022965256108239407
source,petfold,2,53,False,True,,0.6666666666666666,NA,-0.13592233009708737,0.02011494252873558,-0.0006349559317473848,-0.0022965256108239407
source,petfold,2,67,True,True,0.8571428571428571,0.6190476190476191,NA,0.33980582524271846,0.0,0.011868444780396715,0.03127669360667584
source,petfold,3,17,False,True,,0.42857142857142855,NA,-0.15789473684210525,0.014084507042253502,0.001726262391775174,0.002484740452654899
source,petfold,3,29,True,True,1.0,0.375,NA,-0.05263157894736842,0.017605633802816878,0.005261866448212568,0.007306481380957464
source,petfold,3,41,True,True,0.8,0.42857142857142855,NA,0.2631578947368421,0.007042253521126751,0.0064623544246240104,0.011257241701216336
source,petfold,3,53,False,True,,0.375,NA,-0.15789473684210525,0.017605633802816878,0.003269472268318386,0.004263515560749664
source,petfold,3,67,True,True,1.0,0.375,NA,-0.05263157894736842,0.017605633802816878,0.005261866448212568,0.007306481380957464
source,petfold,4,17,False,True,,1.0,NA,-0.0975609756097561,0.0,-0.0036778237865194435,-0.005754938930574549
source,petfold,4,29,False,True,,1.0,NA,-0.07317073170731707,0.0,-0.003160225442834142,-0.004309287204024015
source,petfold,4,41,False,True,,1.0,NA,-0.0975609756097561,0.0,-0.0036778237865194435,-0.005754938930574549
source,petfold,4,53,False,True,,1.0,NA,-0.0975609756097561,0.0,-0.0036778237865194435,-0.005754938930574549
source,petfold,4,67,False,True,,1.0,NA,-0.0975609756097561,0.0,-0.0036778237865194435,-0.005754938930574549
source,trrosettarna2_native_ss,0,17,True,True,1.0,0.9310344827586207,NA,-0.014084507042253502,0.012658227848101222,0.002668852196372716,0.0049247432000836255
source,trrosettarna2_native_ss,0,29,True,True,0.9827586206896551,0.9016393442622951,NA,0.028169014084507116,0.015822784810126556,0.008139086254169814,0.01085212145179315
source,trrosettarna2_native_ss,0,41,True,True,1.0,0.890625,NA,0.0,0.022151898734177222,0.010149165982706126,0.011171329074514014
source,trrosettarna2_native_ss,0,53,True,True,1.0,0.9,NA,0.014084507042253502,0.01898734177215189,0.012572206378543893,0.010987805546922136
source,trrosettarna2_native_ss,0,67,False,True,,0.9137931034482759,NA,-0.7464788732394366,0.015822784810126556,-0.053181539291131535,-0.06199987796128004
source,trrosettarna2_native_ss,1,17,False,False,,,NA,0.0,0.0,0.0,0.0
source,trrosettarna2_native_ss,1,29,False,False,,,NA,0.0,0.0,0.0,0.0
source,trrosettarna2_native_ss,1,41,False,False,,,NA,0.0,0.0,0.0,0.0
source,trrosettarna2_native_ss,1,53,False,False,,,NA,0.0,0.0,0.0,0.0
source,trrosettarna2_native_ss,1,67,False,False,,,NA,0.0,0.0,0.0,0.0
source,trrosettarna2_native_ss,2,17,False,True,,0.9487179487179487,NA,-0.7350993377483444,0.017391304347826098,-0.05903483928391764,-0.0863475645942321
source,trrosettarna2_native_ss,2,29,False,True,,0.95,NA,-0.7549668874172185,0.017391304347826098,-0.061329989496611975,-0.08924746251326299
source,trrosettarna2_native_ss,2,41,False,True,,0.9491525423728814,NA,-0.7417218543046358,0.017391304347826098,-0.06405429304903287,-0.08731189023476904
source,trrosettarna2_native_ss,2,53,False,True,,0.9333333333333333,NA,-0.7417218543046358,0.023188405797101463,-0.05739933870179081,-0.08446277351804776
source,trrosettarna2_native_ss,2,67,True,True,0.8992805755395683,0.9512195121951219,NA,0.052980132450331174,-0.023188405797101463,0.0019215058985439654,-0.0036440524802331398
source,trrosettarna2_native_ss,3,17,False,True,,0.9577464788732394,NA,-0.8,0.011406844106463865,-0.05270723033107457,-0.08676318564578889
source,trrosettarna2_native_ss,3,29,True,True,1.0,0.9315068493150684,NA,-0.16470588235294126,0.019011406844106515,-0.007836607851189233,-0.011256502873759011
source,trrosettarna2_native_ss,3,41,True,True,0.9710144927536232,0.9444444444444444,NA,-0.01176470588235301,0.0076045627376426506,0.004361590529353691,0.00228501657073088
source,trrosettarna2_native_ss,3,53,False,True,,0.9452054794520548,NA,-0.8117647058823529,0.01520912547528519,-0.05183421445805869,-0.08637747336377477
source,trrosettarna2_native_ss,3,67,True,True,1.0,0.9571428571428572,NA,-0.12941176470588234,0.011406844106463865,-0.011301615066196452,-0.010652319955100409
source,trrosettarna2_native_ss,4,17,False,True,,0.9782608695652174,NA,-0.625,0.0034364261168384758,-0.06426734785077091,-0.06121839921443284
source,trrosettarna2_native_ss,4,29,False,True,,0.9787234042553191,NA,-0.6388888888888888,0.0034364261168384758,-0.06693595437077121,-0.06271997068664603
source,trrosettarna2_native_ss,4,41,False,True,,0.9777777777777777,NA,-0.6111111111111112,0.0034364261168384758,-0.062318030111979485,-0.059721648196384036
source,trrosettarna2_native_ss,4,53,False,True,,0.9583333333333334,NA,-0.6388888888888888,0.0068728522336769515,-0.06736877520198988,-0.061000579486188866
source,trrosettarna2_native_ss,4,67,False,True,,1.0,NA,-0.625,0.0,-0.06573800275219836,-0.06293192106957834
