condition,scope,source_model,fold,seed,deployable,deployment_status,global_or_source_thresholds,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,original_fp_count,original_fn_count,tp_after_count,fp_after_count,fn_after_count
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,0,17,True,APPLY_THRESHOLD,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.9}",0.01681565551852269,0.016107088291881344,0.7631578947368421,0.38926174496644295,0.9807073954983923,76,28,75,58,18,933,149,63,915,91,81
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,0,29,True,APPLY_THRESHOLD,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.9}",0.017186925690374923,0.014846825508572414,0.7317073170731707,0.40268456375838924,0.9764201500535906,82,29,75,60,22,933,149,63,911,89,85
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,0,41,True,APPLY_THRESHOLD,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.9}",0.01593609634028906,0.01267236047552811,0.6804123711340206,0.4429530201342282,0.9667738478027867,97,31,75,66,31,933,149,63,902,83,94
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,0,53,True,APPLY_THRESHOLD,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.9}",0.01333469359866912,0.011568912899434625,0.6818181818181818,0.40268456375838924,0.969989281886388,88,30,75,60,28,933,149,63,905,89,91
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,0,67,True,APPLY_THRESHOLD,"{""petfold"": 0.9, ""rnafold"": 0.9, ""trrosettarna2_native_ss"": 0.9}",0.01495564932020601,0.013489987083230792,0.7,0.4228187919463087,0.9710610932475884,90,30,75,63,27,933,149,63,906,86,90
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,1,17,False,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}",0.0,0.0,,0.0,1.0,0,0,72,0,0,731,122,79,731,122,79
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,1,29,False,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}",0.0,0.0,,0.0,1.0,0,0,72,0,0,731,122,79,731,122,79
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,1,41,False,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}",0.0,0.0,,0.0,1.0,0,0,72,0,0,731,122,79,731,122,79
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,1,53,False,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}",0.0,0.0,,0.0,1.0,0,0,72,0,0,731,122,79,731,122,79
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,1,67,False,ABSTAIN_NO_REFINEMENT,"{""petfold"": null, ""rnafold"": null, ""trrosettarna2_native_ss"": null}",0.0,0.0,,0.0,1.0,0,0,72,0,0,731,122,79,731,122,79
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,ALL,2,17,True,APPLY_THRESHOLD,"{""petfold"": 0.95, ""rnafold"": 0.95, ""trrosettarna2_native_ss"": 0.95}",0.018610471379540732,0.02563194681958647,0.8513513513513513,0.35795454545454547,0.9789473684210527,148,28,72,126,22,1045,352,335,1023,226,357
