condition,scope,modification_precision,delete_recall,correct_pair_preservation,macro_delta_f1,micro_delta_f1,beneficial_edit_count,harmful_edit_count,modified_pair_count,modified_rna_count,eligible_rna_count,source_model
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,pooled,0.847814355099838,0.35184770436730123,0.9871730725494655,0.01476131037602014,0.01877045942751641,1571,282,1853,557,1815,
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,0.34782608695652173,0.04363636363636364,0.9877800407331976,-0.002059408290652911,-0.0036606767253209373,48,90,138,57,605,rnafold
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,0.5221238938053098,0.0979253112033195,0.9852358168147641,-0.0003457141870711852,-0.001479707226883238,118,108,226,95,605,petfold
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,0.9435862995298858,0.6504629629629629,0.9885010266940452,0.04668905360578452,0.05959785717485346,1405,84,1489,405,605,trrosettarna2_native_ss
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,pooled,0.9141347424042272,0.15498320268757,0.9970434387082101,0.006780141437153418,0.010043276032588526,692,65,757,230,1815,
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,0.7474747474747475,0.06727272727272728,0.9966055668703326,0.00037918054761836435,0.0016708507512270953,74,25,99,29,605,rnafold
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,0.8034188034188035,0.07800829875518672,0.9968557758031442,0.0014920049811383068,0.002829567922988381,94,23,117,44,605,petfold
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,0.9685767097966729,0.24259259259259258,0.9976728268309377,0.01846923878270358,0.024580472936876083,524,17,541,157,605,trrosettarna2_native_ss
V2A_BASE_SOURCE_AWARE_GLOBAL,pooled,0.8660990712074303,0.25061590145576707,0.9921309984080054,0.011709389296405859,0.015266044602214826,1119,173,1292,447,1815,
V2A_BASE_SOURCE_AWARE_GLOBAL,source,0.2972972972972973,0.02,0.992939579090292,-0.0017132917586576643,-0.0024955352842271285,22,52,74,40,605,rnafold
V2A_BASE_SOURCE_AWARE_GLOBAL,source,0.5157232704402516,0.06804979253112033,0.9894736842105263,-0.00031806134443311177,-0.0010377013203186226,82,77,159,82,605,petfold
V2A_BASE_SOURCE_AWARE_GLOBAL,source,0.9584513692162417,0.4699074074074074,0.9939767282683094,0.037159520992308355,0.04751745416779528,1015,44,1059,325,605,trrosettarna2_native_ss
V2A_CROSS_SOURCE_AWARE_GLOBAL,pooled,0.9107505070993914,0.10055991041433371,0.99799863543325,0.004397121538522523,0.006439413840212218,449,44,493,152,1815,
V2A_CROSS_SOURCE_AWARE_GLOBAL,source,0.8205128205128205,0.02909090909090909,0.9990495587236932,0.0005401867061569047,0.0011516958805449827,32,7,39,20,605,rnafold
V2A_CROSS_SOURCE_AWARE_GLOBAL,source,0.7966101694915254,0.03900414937759336,0.9983595352016404,0.001099421661397455,0.0016051119805185455,47,12,59,29,605,petfold
V2A_CROSS_SOURCE_AWARE_GLOBAL,source,0.9367088607594937,0.1712962962962963,0.9965776865160849,0.011551756248013207,0.01590693080295095,370,25,395,103,605,trrosettarna2_native_ss
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,pooled,0.8619302949061662,0.14400895856662935,0.9953149874914714,0.008540312477383927,0.009666683015838857,643,103,746,308,1815,
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,source,0.2127659574468085,0.00909090909090909,0.9949762389680923,-0.0009051997062103224,-0.0018807266618266327,10,37,47,22,605,rnafold
