condition,scope,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,original_fp_count,original_fn_count,tp_after_count,fp_after_count,fn_after_count
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,17,True,-0.004581032945549075,-0.010010752616948504,0.125,0.027777777777777776,0.9773462783171522,8,4,25,1,7,309,36,23,302,35,30
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,17,True,-0.0019606066985091266,-0.007392473118279508,0.3,0.07142857142857142,0.9772727272727273,10,5,25,3,7,308,42,24,301,39,31
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,17,True,0.05698860619962627,0.0650255965694495,0.9310344827586207,0.7605633802816901,0.9873417721518988,58,19,25,54,4,316,71,16,312,17,20
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,29,True,-0.005067241454197977,-0.01165320761726174,0.1111111111111111,0.027777777777777776,0.9741100323624595,9,4,25,1,8,309,36,23,301,35,31
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,29,True,-0.001159458885318947,-0.007703418391911354,0.3333333333333333,0.09523809523809523,0.974025974025974,12,6,25,4,8,308,42,24,300,38,32
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,29,True,0.05778747741064169,0.06325063094216465,0.9016393442622951,0.7746478873239436,0.9810126582278481,61,19,25,55,6,316,71,16,310,16,22
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,41,True,-0.006151610404513814,-0.015569845640309388,0.2,0.08333333333333333,0.9611650485436893,15,4,25,3,12,309,36,23,297,33,35
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,41,True,-0.002243827835634784,-0.01165954139137193,0.3333333333333333,0.14285714285714285,0.961038961038961,18,6,25,6,12,308,42,24,296,36,36
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,41,True,0.05620372726101579,0.06451284120226353,0.890625,0.8028169014084507,0.9778481012658228,64,21,25,57,7,316,71,16,309,14,23
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,53,True,-0.007948477409646824,-0.015260450961897876,0.15384615384615385,0.05555555555555555,0.9644012944983819,13,5,25,2,11,309,36,23,298,34,34
