condition,fold,seed,delete_precision,delete_recall,delete_f1,tp,fp,fn
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,0,17,0.31756756756756754,0.6308724832214765,0.42247191011235957,94,202,55
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,0,29,0.34965034965034963,0.6711409395973155,0.45977011494252873,100,186,49
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,0,41,0.3226837060702875,0.6778523489932886,0.43722943722943725,101,212,48
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,0,53,0.336734693877551,0.6644295302013423,0.4469525959367946,99,195,50
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,0,67,0.3402777777777778,0.6577181208053692,0.448512585812357,98,190,51
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,1,17,0.45180722891566266,0.6147540983606558,0.5208333333333334,75,91,47
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,1,29,0.46107784431137727,0.6311475409836066,0.532871972318339,77,90,45
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,1,41,0.45664739884393063,0.6475409836065574,0.535593220338983,79,94,43
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,1,53,0.4866666666666667,0.5983606557377049,0.5367647058823529,73,77,49
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,1,67,0.4936708860759494,0.639344262295082,0.5571428571428572,78,80,44
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,2,17,0.5415860735009671,0.7954545454545454,0.6444188722669736,280,237,72
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,2,29,0.561122244488978,0.7954545454545454,0.6580493537015276,280,219,72
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,2,41,0.5562248995983936,0.7869318181818182,0.6517647058823529,277,221,75
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,2,53,0.5638506876227898,0.8153409090909091,0.6666666666666666,287,222,65
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,2,67,0.5752577319587628,0.7926136363636364,0.6666666666666666,279,206,73
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,3,17,0.5321637426900585,0.7647058823529411,0.6275862068965518,91,80,28
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,3,29,0.5568181818181818,0.8235294117647058,0.6644067796610169,98,78,21
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,3,41,0.5866666666666667,0.7394957983193278,0.654275092936803,88,62,31
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,3,53,0.5421686746987951,0.7563025210084033,0.631578947368421,90,76,29
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,3,67,0.5426829268292683,0.7478991596638656,0.6289752650176679,89,75,30
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,4,17,0.5157894736842106,0.6490066225165563,0.5747800586510264,98,92,53
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,4,29,0.5051546391752577,0.6490066225165563,0.5681159420289855,98,96,53
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,4,41,0.5125628140703518,0.6754966887417219,0.5828571428571429,102,97,49
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,4,53,0.4880382775119617,0.6754966887417219,0.5666666666666667,102,107,49
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,4,67,0.5153061224489796,0.6688741721854304,0.5821325648414986,101,95,50
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,0,17,0.6310160427807486,0.7919463087248322,0.7023809523809523,118,69,31
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,0,29,0.6304347826086957,0.7785234899328859,0.6966966966966966,116,68,33
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,0,41,0.6236559139784946,0.7785234899328859,0.6925373134328359,116,70,33
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,0,53,0.6408839779005525,0.7785234899328859,0.703030303030303,116,65,33
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,0,67,0.6113989637305699,0.7919463087248322,0.6900584795321637,118,75,31
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,1,17,0.6358024691358025,0.8442622950819673,0.7253521126760564,103,59,19
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,1,29,0.6521739130434783,0.860655737704918,0.7420494699646644,105,56,17
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,1,41,0.6407185628742516,0.8770491803278688,0.740484429065744,107,60,15
