scope,source_model,condition,total_predicted_pairs,tp_count,fp_count,fp_fraction,beneficial_deletion_potential_count,beneficial_deletion_potential_fraction
source,rnafold,support_other_count_0,16,1,15,0.9375,15,0.9375
source,petfold,support_other_count_0,23,0,23,1.0,23,1.0
source,trrosettarna2_native_ss,support_other_count_0,465,79,386,0.8301075268817204,386,0.8301075268817204
source,rnafold,support_other_count_1,277,105,172,0.6209386281588448,172,0.6209386281588448
source,petfold,support_other_count_1,281,96,185,0.6583629893238434,185,0.6583629893238434
source,trrosettarna2_native_ss,support_other_count_1,28,15,13,0.4642857142857143,13,0.4642857142857143
source,rnafold,support_other_count_2,1400,1367,33,0.023571428571428573,33,0.023571428571428573
source,petfold,support_other_count_2,1400,1367,33,0.023571428571428573,33,0.023571428571428573
source,trrosettarna2_native_ss,support_other_count_2,1400,1367,33,0.023571428571428573,33,0.023571428571428573
source,rnafold,no_exact_support_plus_partner_conflict,10,1,9,0.9,9,0.9
source,petfold,no_exact_support_plus_partner_conflict,20,0,20,1.0,20,1.0
source,trrosettarna2_native_ss,no_exact_support_plus_partner_conflict,242,59,183,0.756198347107438,183,0.756198347107438
source,rnafold,no_exact_support_plus_singleton,7,1,6,0.8571428571428571,6,0.8571428571428571
source,petfold,no_exact_support_plus_singleton,6,0,6,1.0,6,1.0
source,trrosettarna2_native_ss,no_exact_support_plus_singleton,61,12,49,0.8032786885245902,49,0.8032786885245902
source,rnafold,exact_support_by_one_other_model,277,105,172,0.6209386281588448,172,0.6209386281588448
source,petfold,exact_support_by_one_other_model,281,96,185,0.6583629893238434,185,0.6583629893238434
source,trrosettarna2_native_ss,exact_support_by_one_other_model,28,15,13,0.4642857142857143,13,0.4642857142857143
source,rnafold,exact_support_by_both_other_models,1400,1367,33,0.023571428571428573,33,0.023571428571428573
source,petfold,exact_support_by_both_other_models,1400,1367,33,0.023571428571428573,33,0.023571428571428573
source,trrosettarna2_native_ss,exact_support_by_both_other_models,1400,1367,33,0.023571428571428573,33,0.023571428571428573
