variant,fold,seed,train_pairs,validation_pairs,test_pairs,selected_threshold,status
POOLED_SOURCE_AGNOSTIC,0,17,3355,853,1082,0.9,PASS
POOLED_SOURCE_AGNOSTIC,0,29,3355,853,1082,0.9,PASS
POOLED_SOURCE_AGNOSTIC,0,41,3355,853,1082,0.9,PASS
POOLED_SOURCE_AGNOSTIC,0,53,3355,853,1082,0.9,PASS
POOLED_SOURCE_AGNOSTIC,0,67,3355,853,1082,0.9,PASS
POOLED_SOURCE_AGNOSTIC,1,17,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AGNOSTIC,1,29,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AGNOSTIC,1,41,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AGNOSTIC,1,53,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AGNOSTIC,1,67,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AGNOSTIC,2,17,2940,953,1397,0.95,PASS
POOLED_SOURCE_AGNOSTIC,2,29,2940,953,1397,0.95,PASS
POOLED_SOURCE_AGNOSTIC,2,41,2940,953,1397,0.95,PASS
POOLED_SOURCE_AGNOSTIC,2,53,2940,953,1397,0.95,PASS
POOLED_SOURCE_AGNOSTIC,2,67,2940,953,1397,0.95,PASS
POOLED_SOURCE_AGNOSTIC,3,17,3332,1005,953,0.9,PASS
POOLED_SOURCE_AGNOSTIC,3,29,3332,1005,953,0.9,PASS
POOLED_SOURCE_AGNOSTIC,3,41,3332,1005,953,0.9,PASS
POOLED_SOURCE_AGNOSTIC,3,53,3332,1005,953,0.9,PASS
POOLED_SOURCE_AGNOSTIC,3,67,3332,1005,953,0.9,PASS
POOLED_SOURCE_AGNOSTIC,4,17,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AGNOSTIC,4,29,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AGNOSTIC,4,41,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AGNOSTIC,4,53,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AGNOSTIC,4,67,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AWARE,0,17,3355,853,1082,0.9,PASS
POOLED_SOURCE_AWARE,0,29,3355,853,1082,0.95,PASS
POOLED_SOURCE_AWARE,0,41,3355,853,1082,0.95,PASS
POOLED_SOURCE_AWARE,0,53,3355,853,1082,0.9,PASS
POOLED_SOURCE_AWARE,0,67,3355,853,1082,0.95,PASS
POOLED_SOURCE_AWARE,1,17,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,1,29,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,1,41,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,1,53,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,1,67,3040,1397,853,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,2,17,2940,953,1397,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,2,29,2940,953,1397,0.95,PASS
POOLED_SOURCE_AWARE,2,41,2940,953,1397,0.95,PASS
POOLED_SOURCE_AWARE,2,53,2940,953,1397,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,2,67,2940,953,1397,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,3,17,3332,1005,953,0.85,PASS
POOLED_SOURCE_AWARE,3,29,3332,1005,953,0.85,PASS
POOLED_SOURCE_AWARE,3,41,3332,1005,953,0.9,PASS
POOLED_SOURCE_AWARE,3,53,3332,1005,953,0.9,PASS
POOLED_SOURCE_AWARE,3,67,3332,1005,953,0.9,PASS
POOLED_SOURCE_AWARE,4,17,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AWARE,4,29,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AWARE,4,41,3203,1082,1005,,BASE_ABSTAIN_REFERENCE
POOLED_SOURCE_AWARE,4,53,3203,1082,1005,0.95,PASS
POOLED_SOURCE_AWARE,4,67,3203,1082,1005,0.95,PASS
