failure_component,variant,source_model,metric,observed,required,margin_observed_minus_required,status,responsible_source,macro_delta_f1,micro_delta_f1
A_PRESERVATION,POOLED_SOURCE_AWARE,pooled,correct_pair_preservation,0.9880795569112636,0.99,-0.001920443088736401,FAIL,pooled aggregate,,
A_PRESERVATION,POOLED_SOURCE_AWARE,rnafold,correct_pair_preservation,0.9894022667006428,0.98,0.009402266700642814,PASS,rnafold,,
A_PRESERVATION,POOLED_SOURCE_AWARE,petfold,correct_pair_preservation,0.9841404421828779,0.98,0.0041404421828779014,PASS,petfold,,
A_PRESERVATION,POOLED_SOURCE_AWARE,trrosettarna2_native_ss,correct_pair_preservation,0.9906783150064489,0.98,0.01067831500644889,PASS,trrosettarna2_native_ss,,
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AWARE,rnafold,macro_and_micro_delta_f1_positive,0,1,-1,FAIL,rnafold,-0.002677018372902601,-0.003899273881604888
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AWARE,petfold,macro_and_micro_delta_f1_positive,0,1,-1,FAIL,petfold,-0.0004969708506767372,-0.0016214083129978477
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AWARE,trrosettarna2_native_ss,macro_and_micro_delta_f1_positive,1,1,0,PASS,trrosettarna2_native_ss,0.05806175155048181,0.07424602213718012
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AWARE,pooled_gate,sources_with_positive_macro_and_micro_delta_f1,1,2,-1,FAIL,rnafold;petfold,,
A_PRESERVATION,POOLED_SOURCE_AGNOSTIC,pooled,correct_pair_preservation,0.9850926072157197,0.99,-0.004907392784280318,FAIL,pooled aggregate,,
A_PRESERVATION,POOLED_SOURCE_AGNOSTIC,rnafold,correct_pair_preservation,0.985884190658026,0.98,0.005884190658026034,PASS,rnafold,,
A_PRESERVATION,POOLED_SOURCE_AGNOSTIC,petfold,correct_pair_preservation,0.9828237449777033,0.98,0.002823744977703324,PASS,petfold,,
A_PRESERVATION,POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,correct_pair_preservation,0.9864606652641544,0.98,0.006460665264154453,PASS,trrosettarna2_native_ss,,
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AGNOSTIC,rnafold,macro_and_micro_delta_f1_positive,0,1,-1,FAIL,rnafold,-0.0025742603633161385,-0.004575845906651171
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AGNOSTIC,petfold,macro_and_micro_delta_f1_positive,0,1,-1,FAIL,petfold,-0.00043214273383898144,-0.0018496340336040472
B_PER_SOURCE_DELTA_F1,POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,macro_and_micro_delta_f1_positive,1,1,0,PASS,trrosettarna2_native_ss,0.05836131700723065,0.07449732146856683
