variant,fold,seed,selected_threshold,v1_status,deployable,v2_0_1_matched_behavior
POOLED_SOURCE_AGNOSTIC,0,17,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,0,29,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,0,41,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,0,53,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,0,67,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,1,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AGNOSTIC,1,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AGNOSTIC,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AGNOSTIC,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AGNOSTIC,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AGNOSTIC,2,17,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,2,29,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,2,41,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,2,53,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,2,67,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,3,17,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,3,29,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,3,41,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,3,53,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,3,67,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,4,17,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,4,29,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,4,41,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,4,53,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AGNOSTIC,4,67,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,0,17,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,0,29,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,0,41,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,0,53,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,0,67,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,1,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,1,29,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,1,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,1,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,1,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,2,17,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,2,29,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,2,41,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,2,53,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,2,67,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,3,17,0.85,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,3,29,0.85,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,3,41,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,3,53,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,3,67,0.9,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,4,17,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,4,29,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,4,41,,NO_DEPLOYABLE_SELECTIVE_THRESHOLD,false,ABSTAIN_NO_REFINEMENT
POOLED_SOURCE_AWARE,4,53,0.95,PASS,true,APPLY_THRESHOLD
POOLED_SOURCE_AWARE,4,67,0.95,PASS,true,APPLY_THRESHOLD
