fold,seed,comparison,base_deployable,condition_deployable,preservation_gain,macro_delta_f1_gain,micro_delta_f1_gain,beneficial_gain,harmful_gain
0,17,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.017148981779206873,0.0034023484200905625,0.008152817959653058,-1,-16
0,29,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.02143622722400851,0.004983355212756089,0.010327546515937258,-1,-20
0,41,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.027867095391211127,0.005370474069236134,0.013651602575060595,-1,-26
0,53,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.027867095391211127,0.006557052708194979,0.013605459125075048,-1,-26
0,67,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.022508038585209,0.005174442077099101,0.010919246824228956,-1,-21
1,17,V3_VETO2_FIXED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
1,29,V3_VETO2_FIXED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
1,41,V3_VETO2_FIXED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
1,53,V3_VETO2_FIXED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
1,67,V3_VETO2_FIXED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
2,17,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.011483253588516651,0.002437320339150336,0.004958230234756056,-2,-12
2,29,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.004784688995215336,0.0009698822421049698,0.0014156546399105574,-3,-5
2,41,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.011483253588516762,0.002539045781202367,0.0043600644047770976,-4,-12
2,53,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.010526315789473717,0.0024319644299934454,0.004491841765125626,-2,-11
2,67,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.010526315789473606,0.004156472014989393,0.004496309990935976,-2,-11
3,17,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.00959232613908878,0.003458100370189541,0.004788200400919762,0,-8
3,29,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.013189448441247031,0.005001310246732751,0.006602080163103707,0,-11
3,41,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.00959232613908878,0.003458100370189541,0.0047935103244838295,0,-8
3,53,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.011990407673860948,0.004486906954551678,0.00599905333213846,0,-10
3,67,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.011990407673860948,0.004486906954551678,0.00599140577041124,0,-10
4,17,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.0,0.0,0.0,0,0
4,29,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.0,0.0,0.0,0,0
4,41,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.0,0.0,0.0,0,0
4,53,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.003512880562060894,0.000826500989180752,0.0017480811293349996,0,-3
4,67,V3_VETO2_FIXED_vs_V3_BASE,True,True,0.0011709601873536313,0.00023474178403755722,0.0005813970123289547,0,-1
