fold,seed,comparison,base_deployable,condition_deployable,preservation_gain,macro_delta_f1_gain,micro_delta_f1_gain,beneficial_gain,harmful_gain
0,17,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.011789924973204746,0.007493264520033106,0.01098901098901095,11,-11
0,29,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.010718113612004254,0.0065851434746159974,0.011873143878117665,14,-10
0,41,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.02357984994640938,0.009341885276801846,0.016594172486083858,10,-22
0,53,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.020364415862808127,0.010208486105933293,0.015840343429717407,12,-19
0,67,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.016077170418006492,0.009336713548440243,0.014159327826254064,13,-15
1,17,V3_VETO2_RECALIBRATED_vs_V3_BASE,False,True,-0.001367989056087593,0.015812898038613354,0.02210047289221473,42,1
1,29,V3_VETO2_RECALIBRATED_vs_V3_BASE,False,True,-0.002735978112175075,0.014886972112687425,0.020865904990980177,41,2
1,41,V3_VETO2_RECALIBRATED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
1,53,V3_VETO2_RECALIBRATED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
1,67,V3_VETO2_RECALIBRATED_vs_V3_BASE,False,False,0.0,0.0,0.0,0,0
2,17,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.017224880382775143,0.005828570934715619,0.027368544620621993,116,18
2,29,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.000956937799043045,0.004259863128702929,0.007947485814125299,25,-1
2,41,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.016267942583732098,0.0033479474628614336,0.02424297963460198,104,17
2,53,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.010526315789473717,0.005780456936654032,0.022596762329914588,90,11
2,67,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.02392344497607657,0.005770029140216834,0.026929028448290482,124,25
3,17,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.0011990407673861947,0.0020120603447348166,0.004180283624541703,7,-1
3,29,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.007194244604316613,0.002619701094290258,0.00412081549159804,1,-6
3,41,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.004796163069544446,0.001704687107380854,0.0034221235664076977,2,-4
3,53,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.008393285371702697,0.0036459798983468437,0.004716679768554832,1,-7
3,67,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.003597122302158362,0.0037022425904726184,0.005892912411018303,8,-3
4,17,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.0023419203747072626,0.002487922379274827,0.004732628688532969,12,2
4,29,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.0011709601873536313,0.003637009250510463,0.007290389049698254,16,1
4,41,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.003512880562060894,0.004723466296118754,0.007116435246107833,18,3
4,53,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,0.0,0.0039198456406376835,0.006894324204147262,14,0
4,67,V3_VETO2_RECALIBRATED_vs_V3_BASE,True,True,-0.0023419203747072626,0.0028552305575857036,0.005227515536231686,13,2
