fold,seed,base_threshold,veto2_recalibrated_threshold,base_deployable,primary_deployable,base_abstention_converted,validation_delete_f1,validation_preservation,validation_forced_keep_pairs,validation_deletion_candidates,threshold_relation
0,17,0.9,0.85,True,True,False,0.5664739884393064,0.9972640218878249,708,51,LOWER
0,29,0.9,0.8,True,True,False,0.6086956521739131,0.9917920656634747,708,62,LOWER
0,41,0.9,0.8,True,True,False,0.6310160427807486,0.9917920656634747,708,65,LOWER
0,53,0.9,0.85,True,True,False,0.6033519553072626,0.9958960328317373,708,57,LOWER
0,67,0.9,0.8,True,True,False,0.6349206349206349,0.9904240766073872,708,67,LOWER
1,17,,0.95,False,True,True,0.5432595573440644,0.9904306220095693,978,145,BASE_ABSTAIN_CONVERTED
1,29,,0.95,False,True,True,0.5163934426229508,0.9904306220095693,978,136,BASE_ABSTAIN_CONVERTED
1,41,,,False,False,False,,,978,419,PRIMARY_ABSTAIN
1,53,,,False,False,False,,,978,419,PRIMARY_ABSTAIN
1,67,,,False,False,False,,,978,419,PRIMARY_ABSTAIN
2,17,0.95,0.65,True,True,False,0.7788461538461539,0.9904076738609112,783,89,LOWER
2,29,0.95,0.9,True,True,False,0.7575757575757576,0.9952038369304557,783,79,LOWER
2,41,0.95,0.65,True,True,False,0.8018867924528302,0.9904076738609112,783,93,LOWER
2,53,0.95,0.75,True,True,False,0.7669902912621359,0.9904076738609112,783,87,LOWER
2,67,0.95,0.55,True,True,False,0.8130841121495327,0.9904076738609112,783,95,LOWER
3,17,0.9,0.65,True,True,False,0.6804979253112033,0.990632318501171,825,90,LOWER
3,29,0.9,0.75,True,True,False,0.6351931330472103,0.990632318501171,825,82,LOWER
3,41,0.9,0.75,True,True,False,0.6523605150214592,0.9929742388758782,825,82,LOWER
3,53,0.9,0.85,True,True,False,0.579185520361991,0.9929742388758782,825,70,LOWER
3,67,0.9,0.65,True,True,False,0.6694560669456067,0.990632318501171,825,88,LOWER
4,17,0.95,0.85,True,True,False,0.6036036036036037,0.9935691318327974,906,73,LOWER
4,29,0.95,0.85,True,True,False,0.6044444444444445,0.9914255091103966,906,76,LOWER
4,41,0.95,0.8,True,True,False,0.62882096069869,0.9914255091103966,906,80,LOWER
4,53,0.95,0.85,True,True,False,0.6379310344827587,0.9903536977491961,906,83,LOWER
4,67,0.95,0.85,True,True,False,0.5982142857142857,0.9914255091103966,906,75,LOWER
