scope,source_model,support_other_count,candidate_deletion_events,beneficial_deletions,harmful_deletions,deletion_precision,fraction_of_scope_harmful_deletions,fraction_of_scope_beneficial_deletions
pooled,ALL,0,1403,1384,19,0.9864575908766928,0.0673758865248227,0.8809675366008911
pooled,ALL,1,221,169,52,0.7647058823529411,0.18439716312056736,0.10757479312539783
pooled,ALL,2,229,18,211,0.07860262008733625,0.74822695035461,0.011457670273711012
source,rnafold,0,9,9,0,1.0,0.0,0.1875
source,rnafold,1,55,33,22,0.6,0.24444444444444444,0.6875
source,rnafold,2,74,6,68,0.08108108108108109,0.7555555555555555,0.125
source,petfold,0,26,26,0,1.0,0.0,0.22033898305084745
source,petfold,1,104,86,18,0.8269230769230769,0.16666666666666666,0.7288135593220338
source,petfold,2,96,6,90,0.0625,0.8333333333333334,0.05084745762711865
source,trrosettarna2_native_ss,0,1368,1349,19,0.9861111111111112,0.2261904761904762,0.9601423487544484
source,trrosettarna2_native_ss,1,62,50,12,0.8064516129032258,0.14285714285714285,0.03558718861209965
source,trrosettarna2_native_ss,2,59,6,53,0.1016949152542373,0.6309523809523809,0.004270462633451958
