scope,source_model,metric,base,cross,cross_minus_base,required,pass
pooled,ALL,beneficial_edit_count,1571,692,-879,,
pooled,ALL,harmful_edit_count,282,65,-217,,
pooled,ALL,modification_precision,0.847814355099838,0.9141347424042272,0.06632038730438916,,
pooled,ALL,delete_recall,0.35184770436730123,0.15498320268757,-0.19686450167973124,,
pooled,ALL,correct_pair_preservation,0.9871730725494655,0.9970434387082101,0.009870366158744592,,
pooled,ALL,macro_delta_f1,0.01476131037602014,0.006780141437153418,-0.007981168938866723,,
pooled,ALL,micro_delta_f1,0.01877045942751641,0.010043276032588526,-0.008727183394927885,,
source,rnafold,beneficial_edit_count,48,74,26,,
source,rnafold,harmful_edit_count,90,25,-65,,
source,rnafold,modification_precision,0.34782608695652173,0.7474747474747475,0.3996486605182258,,
source,rnafold,delete_recall,0.04363636363636364,0.06727272727272728,0.023636363636363636,,
source,rnafold,correct_pair_preservation,0.9877800407331976,0.9966055668703326,0.008825526137135054,,
source,rnafold,macro_delta_f1,-0.002059408290652911,0.0003791805476183644,0.0024385888382712755,,
source,rnafold,micro_delta_f1,-0.0036606767253209373,0.0016708507512270953,0.005331527476548033,,
source,petfold,beneficial_edit_count,118,94,-24,,
source,petfold,harmful_edit_count,108,23,-85,,
source,petfold,modification_precision,0.5221238938053098,0.8034188034188035,0.2812949096134937,,
source,petfold,delete_recall,0.0979253112033195,0.07800829875518672,-0.01991701244813278,,
source,petfold,correct_pair_preservation,0.9852358168147641,0.9968557758031442,0.011619958988380086,,
source,petfold,macro_delta_f1,-0.00034571418707118515,0.0014920049811383068,0.001837719168209492,,
source,petfold,micro_delta_f1,-0.001479707226883238,0.002829567922988381,0.004309275149871619,,
source,trrosettarna2_native_ss,beneficial_edit_count,1405,524,-881,,
source,trrosettarna2_native_ss,harmful_edit_count,84,17,-67,,
source,trrosettarna2_native_ss,modification_precision,0.9435862995298858,0.9685767097966729,0.024990410266787055,,
source,trrosettarna2_native_ss,delete_recall,0.6504629629629629,0.24259259259259258,-0.4078703703703703,,
source,trrosettarna2_native_ss,correct_pair_preservation,0.9885010266940452,0.9976728268309377,0.00917180013689256,,
source,trrosettarna2_native_ss,macro_delta_f1,0.04668905360578452,0.01846923878270358,-0.02821981482308094,,
source,trrosettarna2_native_ss,micro_delta_f1,0.05959785717485346,0.024580472936876083,-0.03501738423797738,,
gate,ALL,cross_global_deployable_runs,NA,8,NA,25,False
gate,ALL,delete_recall_drop_limit,0.35184770436730123,0.15498320268757,-0.19686450167973124,>=-0.02,False
gate,ALL,paired_mean_macro_delta_f1_gain,paired,-0.007981168938866723,-0.007981168938866723,>0,False
gate,ALL,paired_mean_micro_delta_f1_gain,paired,-0.008727183394927885,-0.008727183394927885,>0,False
