record_id,rna_id,source_model,condition,sequence_length,gt_pair_count,original_predicted_pair_count,refined_predicted_pair_count,tp_before,fp_before,fn_before,tp,fp,fn,precision,recall,f1,delta_precision,delta_recall,delta_f1,modified_pair_count,beneficial_edit_count,harmful_edit_count,beneficial_edit_fraction,harmful_edit_fraction,correct_pair_preservation_rate
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,ORIGINAL,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,R1,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,R2,21,7,8,6,7,1,0,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,-0.04166666666666663,-0.2857142857142857,-0.16410256410256407,2,0,2,0.0,1.0,0.7142857142857143
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,R3,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,R1_R2,21,7,8,6,7,1,0,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,-0.04166666666666663,-0.2857142857142857,-0.16410256410256407,2,0,2,0.0,1.0,0.7142857142857143
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,R1_R3,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,ORIGINAL,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,R1,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,R2,21,7,8,6,7,1,0,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,-0.04166666666666663,-0.2857142857142857,-0.16410256410256407,2,0,2,0.0,1.0,0.7142857142857143
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,R3,21,7,8,8,7,1,0,7,1,0,0.875,1.0,0.9333333333333333,0.0,0.0,0.0,0,0,0,,,1.0
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,R1_R2,21,7,8,6,7,1,0,5,1,2,0.8333333333333334,0.7142857142857143,0.7692307692307693,-0.04166666666666663,-0.2857142857142857,-0.16410256410256407,2,0,2,0.0,1.0,0.7142857142857143
