sequence_id,length,contains_ambiguous_n,max_global_identity_to_legacy121,nearest_legacy_rna_id,exact_legacy_sequence_match,at_or_above_0_80_identity,eligible_external77_gt_con_v1_candidate,exclusion_reason
EXTSEQ0002,219,True,0.27149321266968324,2KRL_102_3wj_nmr_A,False,False,False,contains_N
EXTSEQ0003,204,False,0.7321428571428571,9G7C_224_4wj_cryoEM_A,False,False,True,
EXTSEQ0004,158,False,0.5094339622641509,6UES_119_4wjpseudoknot_cryoEM_A,False,False,True,
EXTSEQ0005,155,True,0.6455696202531646,7LYG_142_4wj_xray_A,False,False,False,contains_N
EXTSEQ0006,148,False,0.5302013422818792,6UES_119_4wjpseudoknot_cryoEM_A,False,False,True,
EXTSEQ0007,146,False,0.6842105263157895,7LYG_142_4wj_xray_A,False,False,True,
EXTSEQ0008,142,False,1.0,7LYG_142_4wj_xray_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0009,139,False,0.8082191780821918,7LYG_142_4wj_xray_A,False,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0010,135,False,0.5367647058823529,7LVA_103_3wj_nmr_A,False,False,True,
EXTSEQ0011,134,False,0.7291666666666666,7LYG_142_4wj_xray_A,False,False,True,
EXTSEQ0012,126,False,0.5192307692307693,2N1Q_155_4wj_nmr_A,False,False,True,
EXTSEQ0013,124,False,0.5555555555555556,7LVA_103_3wj_nmr_A,False,False,True,
EXTSEQ0014,101,False,1.0,1S9S_101_3wj_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0015,101,False,0.4957983193277311,6UES_119_4wjpseudoknot_cryoEM_A,False,False,True,
EXTSEQ0016,96,False,0.5454545454545454,6UES_119_4wjpseudoknot_cryoEM_A,False,False,True,
EXTSEQ0017,94,False,1.0,7SHX_94_4wj_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0018,92,False,0.5473684210526316,1P5O_77_hpbulge_nmr_A,False,False,True,
EXTSEQ0019,89,True,0.449438202247191,2MHI_53_3wj_nmr_A,False,False,False,contains_N
EXTSEQ0020,89,False,0.5111111111111111,8FCS_71_hp_nmr_A,False,False,True,
EXTSEQ0021,84,False,0.5232558139534884,7UMC_70_hpbulge_nmr_A,False,False,True,
EXTSEQ0022,75,False,0.5263157894736842,2NC1_67_3wj_nmr_A,False,False,True,
EXTSEQ0023,72,False,0.5394736842105263,2MQT_68_hpbulge_nmr_A,False,False,True,
EXTSEQ0024,72,False,0.5555555555555556,2MTJ_47_3wj_nmr_A,False,False,True,
EXTSEQ0025,72,False,0.5416666666666666,2MTJ_47_3wj_nmr_A,False,False,True,
EXTSEQ0026,71,False,1.0,8FCS_71_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0027,69,False,0.5217391304347826,2KZL_55_hpbulge_nmr_A,False,False,True,
EXTSEQ0028,69,False,0.5217391304347826,2KZL_55_hpbulge_nmr_A,False,False,True,
EXTSEQ0029,68,False,1.0,2MQT_68_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0030,64,False,0.5,1P5M_55_hpbulge_nmr_A,False,False,True,
EXTSEQ0031,59,False,0.5230769230769231,6VAR_61_hpbulge_nmr_A,False,False,True,
EXTSEQ0032,58,True,0.5932203389830508,5V16_41_hpbulge_nmr_A,False,False,False,contains_N
EXTSEQ0033,57,False,0.5714285714285714,6VAR_61_hpbulge_nmr_A,False,False,True,
EXTSEQ0034,54,False,0.5,7KUB_60_hp_nmr_A,False,False,True,
EXTSEQ0035,51,False,0.5686274509803921,1R7W_34_hpbulge_nmr_A,False,False,True,
EXTSEQ0036,49,False,0.56,2MXL_39_hp_nmr_A,False,False,True,
EXTSEQ0037,49,False,1.0,2LU0_49_3wj_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0038,48,False,1.0,2M8K_48_pseudoknot_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0039,47,False,1.0,5KH8_47_3wj_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0040,43,False,0.627906976744186,1YLG_31_hp_nmr_A,False,False,True,
EXTSEQ0041,43,False,1.0,7UGA_43_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0042,42,False,1.0,2L2J_42_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0043,41,False,1.0,6W3M_41_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0044,40,False,1.0,2HUA_40_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0045,38,False,1.0,1B36_38_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0046,38,False,1.0,2KHY_38_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0047,37,False,1.0,6U79_37_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0048,36,False,1.0,1E95_36_pseudoknot_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0049,36,False,0.5641025641025641,7K4L_36_hp_nmr_A,False,False,True,
EXTSEQ0050,36,False,0.6388888888888888,1YLG_31_hp_nmr_A,False,False,True,
EXTSEQ0051,36,False,1.0,7DD4_35_dumbbell_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0052,35,False,0.5833333333333334,1LDZ_30_hpbulge_nmr_A,False,False,True,
EXTSEQ0053,35,False,1.0,2PCV_35_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0054,35,False,0.6153846153846154,6U79_37_hp_nmr_A,False,False,True,
EXTSEQ0055,34,False,0.5945945945945946,2KPV_34_hpbulge_nmr_A,False,False,True,
EXTSEQ0056,34,False,1.0,2RVO_34_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0057,32,False,1.0,1Z31_32_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0058,32,False,1.0,2LI4_32_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0059,31,False,0.5806451612903226,9OD4_23_hp_nmr_A,False,False,True,
EXTSEQ0060,31,False,1.0,5UZT_31_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0061,31,False,1.0,6HYK_31_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0062,30,False,0.6666666666666666,2GIO_29_hp_nmr_A,False,False,True,
EXTSEQ0063,30,False,0.5,2K95_48_pseudoknot_nmr_A,False,False,True,
EXTSEQ0064,29,False,1.0,2K5Z_29_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0065,29,False,0.6285714285714286,2RVO_34_hp_nmr_A,False,False,True,
EXTSEQ0066,28,False,1.0,7UME_28_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0067,26,False,1.0,387D_26_hpbulge_xray_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0068,24,False,0.625,1IKD_22_hp_nmr_A,False,False,True,
EXTSEQ0069,24,False,0.7142857142857143,2LUN_28_hp_nmr_A,False,False,True,
EXTSEQ0070,24,False,1.0,2LK3_24_hpbulge_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0071,23,False,1.0,1BVJ_23_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0072,23,False,0.56,1RHT_24_hp_nmr_A,False,False,True,
EXTSEQ0073,23,False,0.6333333333333333,1LDZ_30_hpbulge_nmr_A,False,False,True,
EXTSEQ0074,23,False,1.0,2M12_23_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0075,23,False,0.72,2LK3_24_hpbulge_nmr_A,False,False,True,
EXTSEQ0076,22,False,0.7083333333333334,2GV3_22_hp_nmr_A,False,False,True,
EXTSEQ0077,21,False,1.0,17RA_21_hp_nmr_A,True,True,False,global_identity_to_Legacy121_ge_0.80
EXTSEQ0080,14,False,0.6470588235294118,2KVN_17_hp_nmr_A,False,False,True,
