rna_id,realization_count,channel_count,evidence_seed_count,unique_folding_input_count,unique_output_count,identity_pass
17RA_21_hp_nmr_A,10,2,5,1,1,True
1A60_44_pseudknot_nmr_A,10,2,5,1,1,True
1A9L_38_hpbulge_nmr_A,10,2,5,1,1,True
1B36_38_hp_nmr_A,10,2,5,1,1,True
1BGZ_23_hp_nmr_A,10,2,5,1,1,True
1BVJ_23_hp_nmr_A,10,2,5,1,1,True
1E4P_24_hpbulge_nmr_A,10,2,5,1,1,True
1E95_36_pseudoknot_nmr_A,10,2,5,1,1,True
1F9L_22_hp_nmr_A,10,2,5,1,1,True
1HLX_20_hp_nmr_A,10,2,5,1,1,True
1IKD_22_hp_nmr_A,10,2,5,1,1,True
1JUR_22_hp_nmr_A,10,2,5,1,1,True
1K2G_22_dumbbell_nmr_A,10,2,5,1,1,True
1K6H_22_hp_nmr_A,10,2,5,1,1,True
1LDZ_30_hpbulge_nmr_A,10,2,5,1,1,True
1M82_25_hp_nmr_A,10,2,5,1,1,True
1MT4_24_hp_nmr_A,10,2,5,1,1,True
1P5M_55_hpbulge_nmr_A,10,2,5,1,1,True
1P5O_77_hpbulge_nmr_A,10,2,5,1,1,True
1QWA_21_hp_nmr_A,10,2,5,1,1,True
1QWB_26_hp_nmr_A,10,2,5,1,1,True
1R7W_34_hpbulge_nmr_A,10,2,5,1,1,True
1RHT_24_hp_nmr_A,10,2,5,1,1,True
1RNK_36_pseudoknot_nmr_A,10,2,5,1,1,True
1S2F_23_hp_nmr_A,10,2,5,1,1,True
1S9S_101_3wj_nmr_A,10,2,5,1,1,True
1T28_34_hpbulge_nmr_A,10,2,5,1,1,True
1TBK_17_hp_nmr_A,10,2,5,1,1,True
1TJZ_26_hp_nmr_A,10,2,5,1,1,True
1TLR_23_hp_nmr_A,10,2,5,1,1,True
1UUU_19_hp_nmr_A,10,2,5,1,1,True
1XWU_16_hp_nmr_A,10,2,5,1,1,True
1YLG_31_hp_nmr_A,10,2,5,1,1,True
1Z31_32_hpbulge_nmr_A,10,2,5,1,1,True
2AHT_27_hp_nmr_A,10,2,5,1,1,True
2ES5_23_hp_nmr_A,10,2,5,1,1,True
2EUY_34_hp_nmr_A,10,2,5,1,1,True
2FDT_35_hp_nmr_A,10,2,5,1,1,True
2GIO_29_hp_nmr_A,10,2,5,1,1,True
2GV3_22_hp_nmr_A,10,2,5,1,1,True
2HUA_40_hpbulge_nmr_A,10,2,5,1,1,True
2JTP_34_hp_nmr_A,10,2,5,1,1,True
2K5Z_29_hp_nmr_A,10,2,5,1,1,True
2K95_48_pseudoknot_nmr_A,10,2,5,1,1,True
2KD8_22_hp_nmr_A,10,2,5,1,1,True
2KE6_49_hp_nmr_A,10,2,5,1,1,True
2KHY_38_hpbulge_nmr_A,10,2,5,1,1,True
2KPV_34_hpbulge_nmr_A,10,2,5,1,1,True
2KRL_102_3wj_nmr_A,10,2,5,1,1,True
2KVN_17_hp_nmr_A,10,2,5,1,1,True
2KZL_55_hpbulge_nmr_A,10,2,5,1,1,True
2L2J_42_hp_nmr_A,10,2,5,1,1,True
2L3E_35_hpbulge_nmr_A,10,2,5,1,1,True
2L5Z_26_hpbulge_nmr_A,10,2,5,1,1,True
2LBL_17_hp_nmr_A,10,2,5,1,1,True
2LDL_27_hp_nmr_A,10,2,5,1,1,True
2LDT_31_hp_nmr_A,10,2,5,1,1,True
2LHP_37_hp_nmr_A,10,2,5,1,1,True
2LI4_32_hp_nmr_A,10,2,5,1,1,True
2LJJ_27_hpbulge_nmr_A,10,2,5,1,1,True
2LK3_24_hpbulge_nmr_A,10,2,5,1,1,True
2LKR_110_3wj_nmr_A,10,2,5,1,1,True
2LQZ_27_hpbulge_nmr_A,10,2,5,1,1,True
2LU0_49_3wj_nmr_A,10,2,5,1,1,True
2LUN_28_hp_nmr_A,10,2,5,1,1,True
2M12_23_hp_nmr_A,10,2,5,1,1,True
2M21_21_hp_nmr_A,10,2,5,1,1,True
2M8K_48_pseudoknot_nmr_A,10,2,5,1,1,True
2MEQ_19_hp_nmr_A,10,2,5,1,1,True
2MHI_53_3wj_nmr_A,10,2,5,1,1,True
2MQT_68_hpbulge_nmr_A,10,2,5,1,1,True
2MTJ_47_3wj_nmr_A,10,2,5,1,1,True
2MXL_39_hp_nmr_A,10,2,5,1,1,True
2N1Q_155_4wj_nmr_A,10,2,5,1,1,True
2N2P_23_hpbulge_nmr_A,10,2,5,1,1,True
2N3Q_62_3wj_nmr_A,10,2,5,1,1,True
2N4L_53_hpbulge_nmr_A,10,2,5,1,1,True
2N6W_68_hpbulge_nmr_A,10,2,5,1,1,True
2NC1_67_3wj_nmr_A,10,2,5,1,1,True
2NCI_28_hpbulge_nmr_A,10,2,5,1,1,True
2PCV_35_hpbulge_nmr_A,10,2,5,1,1,True
2QH2_24_hp_nmr_A,10,2,5,1,1,True
2RO2_23_hp_nmr_A,10,2,5,1,1,True
2RVO_34_hp_nmr_A,10,2,5,1,1,True
2TPK_35_pseudoknot_nmr_A,10,2,5,1,1,True
387D_26_hpbulge_xray_A,10,2,5,1,1,True
5A17_32_hp_nmr_A,10,2,5,1,1,True
5KH8_47_3wj_nmr_A,10,2,5,1,1,True
5KQE_35_hpbulge_nmr_A,10,2,5,1,1,True
5LSN_28_hp_nmr_A,10,2,5,1,1,True
5UF3_23_hp_nmr_A,10,2,5,1,1,True
5UZT_31_hp_nmr_A,10,2,5,1,1,True
5V16_41_hpbulge_nmr_A,10,2,5,1,1,True
5WQ1_23_hp_nmr_A,10,2,5,1,1,True
6HYK_31_hpbulge_nmr_A,10,2,5,1,1,True
6NOA_56_hp_nmr_A,10,2,5,1,1,True
6PK9_20_hp_nmr_A,10,2,5,1,1,True
6U79_37_hp_nmr_A,10,2,5,1,1,True
6UES_119_4wjpseudoknot_cryoEM_A,10,2,5,1,1,True
6VAR_61_hpbulge_nmr_A,10,2,5,1,1,True
6W3M_41_hp_nmr_A,10,2,5,1,1,True
7DD4_35_dumbbell_nmr_A,10,2,5,1,1,True
7K4L_36_hp_nmr_A,10,2,5,1,1,True
7KUB_60_hp_nmr_A,10,2,5,1,1,True
7LVA_103_3wj_nmr_A,10,2,5,1,1,True
7LYG_142_4wj_xray_A,10,2,5,1,1,True
7SHX_94_4wj_nmr_A,10,2,5,1,1,True
7UGA_43_hpbulge_nmr_A,10,2,5,1,1,True
7UMC_70_hpbulge_nmr_A,10,2,5,1,1,True
7UME_28_hp_nmr_A,10,2,5,1,1,True
7V06_43_hpbulge_nmr_A,10,2,5,1,1,True
8BWT_26_hp_nmr_A,10,2,5,1,1,True
8CQ1_43_hp_nmr_A,10,2,5,1,1,True
8FCS_71_hp_nmr_A,10,2,5,1,1,True
8JHP_27_hpbulge_nmr_A,10,2,5,1,1,True
8K8B_20_hp_nmr_A,10,2,5,1,1,True
8SCH_68_hpbulge_nmr_A,10,2,5,1,1,True
9FO9_33_hp_nmr_A,10,2,5,1,1,True
9G7C_224_4wj_cryoEM_A,10,2,5,1,1,True
9OBM_73_hp_nmr_A,10,2,5,1,1,True
9OD4_23_hp_nmr_A,10,2,5,1,1,True
